term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
regalo,True,regalo,gift,noun,gift,"shopping,celebrations",,,masculine,singular,,,False,False,False,,,,,base lemma,Cerco regalo originale.,I am looking for an original gift.,26cdb2422da8e92279b3b7251650da4ec952fd8a0d7a0266edafa8459ddb1e28,1056.0,8a5e54880062e9e91239f9ee5a94ce755b7f508b63e7053297848a77402baee4,1440.0
un regalo,False,regalo,gift,noun,a gift,"shopping,celebrations",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ti porto un regalo.,I am bringing you a gift.,79fb5230fdf03e4c31f78454c55b94edfa4eb893272ed698851375273b8b674a,1152.0,f7b1b26dbfbfcb5dee3736be20abd723d6715dc7347f8694a2e4b68bda6aa32f,1536.0
il regalo,False,regalo,gift,noun,the gift,"shopping,celebrations",,,masculine,singular,,,False,False,False,definite,il,il,,,Il regalo è sul tavolo.,The gift is on the table.,3b5c009c4bbed01bd928ea0fc3cde06cfbc0ecb64d706a886c0f83a0d54921a8,1200.0,b693f38f40141ccf5895a26cc1f066864daabd6e9aae2f0bb258ee5120a691d6,1560.0
regali,False,regalo,gift,noun,gifts,"shopping,celebrations",,,masculine,plural,,,False,False,False,,,,,plural form,Regali utili piacciono a tutti.,Useful gifts please everyone.,ae571810eba6c9ab496b93dd18d09c2302854826646349bbe0009402381d1955,1152.0,16b864c9b76fd5f96122a42a30ce9b3d02f4b301d155a9fa1dbe9283474cf62b,1416.0
i regali,False,regalo,gift,noun,the gifts,"shopping,celebrations",,,masculine,plural,,,False,False,False,definite,i,i,,,I regali sono pronti.,The gifts are ready.,440fec87d5cfc1478dcbce67bd6382c50f5f7b8a0ee97eb89df13e6dbd012afd,1296.0,8d6e6df10900ee272fec863ea328754fe0a49fac748425a46b2a80c17431c5c3,1464.0
dei regali,False,regalo,gift,noun,some gifts,"shopping,celebrations",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho comprato dei regali.,I bought some gifts.,690c245866af2c460c01db1e8600631e39de3745fe6492801fb7a1d4a0009d0b,1416.0,a5a8a6cd0477cddf6ff76b236ef31d50be81b1cc0c729abbf3aff31b3641a15f,1608.0
del regalo,False,regalo,gift,noun,of the gift,"shopping,celebrations",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il prezzo del regalo è alto.,The price of the gift is high.,dcfb1dce606f07db67608a12421504ecf22be2a7aebf6f19d6a9e0a77805df09,1296.0,a560fb51672bd287679685abd785b099bcf18200e71d3caba5177e8dda09031b,1632.0
al regalo,False,regalo,gift,noun,to the gift,"shopping,celebrations",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Penso al regalo perfetto.,I am thinking about the perfect gift.,c331427280245216a85ec4dbc54a8e07b68743a5a515e7f44ae9e0ae284a93a7,1296.0,183fda5d663962a925b0f9f1487180b4dcbe951391238bf4765cf80b1d51474b,1536.0
ai regali,False,regalo,gift,noun,to the gifts,"shopping,celebrations",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Penso ai regali per i bambini.,I am thinking about the gifts for the children.,4d4ec2ca9dd36e824b0670c4f41aa1b33d349ac8cc4fa62b4dc5fefc2b925fa0,1392.0,c39d12b0d60b05cea561290e9217acb31d625422633046f20d8e34f28881e17d,1536.0
dal regalo,False,regalo,gift,noun,from the gift,"shopping,celebrations",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Tolgo l'etichetta dal regalo.,I remove the tag from the gift.,4965af3ca7d7b36c07e2d02bbbdf440c0f4c18b750be99a05a7ba1fe934c3ef8,1368.0,dc0dc8a9257558eed16ba998bfd1fccba6b202f85b82fa6cef7c0ade7bac5f5e,1632.0
dai regali,False,regalo,gift,noun,from the gifts,"shopping,celebrations",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Tolgo i nastri dai regali.,I remove the ribbons from the gifts.,4fd8eaf67dc242afef8166e28af7aa487d098c2b57b1c37f463385fc41c9583a,1464.0,9a5b244ae47c560198ecdc7ba9a5a1fcffbdedde1fbd2ad64645e9e205bf7bbf,1632.0
nel regalo,False,regalo,gift,noun,in the gift,"shopping,celebrations",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Metto un biglietto nel regalo.,I put a card in the gift.,6f3d2aa38da31aebbcd428c74b2116c44341cd7113e9b8ce4eacf66736c9a3a5,1296.0,974d4d16d9ca3d1109ad8665566fe869cad9f43ee340aeb25718752270c18add,1656.0
