term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
tetto,True,tetto,roof,noun,roof,"home,architecture",,,masculine,singular,,,False,False,False,,,,,base lemma,Cerco tetto nuovo.,I am looking for a new roof.,6df5a9df1d456d4dfbec996fcf85a201651c5168de743f036b2349c254206314,af8d242f4a4daf3154feace45b5b3844babf52cd26b8007519255b0cda941211,1008.0,1248.0
un tetto,False,tetto,roof,noun,a roof,"home,architecture",,,masculine,singular,,,False,False,False,indefinite,un,un,,indefinite singular form,Serve un tetto subito.,We need a roof right away.,bc8905384c975fc5acf36bbb2569b1ec371775a357909a93dfe1551b583db05b,d5928a1e950c900b53eb8ac8e848e35c71788bb6e27948f61d50940b305c0658,1128.0,1512.0
il tetto,False,tetto,roof,noun,the roof,"home,architecture",,,masculine,singular,,,False,False,False,definite,il,il,,definite singular form,Il tetto perde acqua.,The roof leaks.,0c5ddab31b0683dc19a20e68a0891ae596cbbbe813340d279b534ae8562942af,3929fca021223f9eb69954f8ada6519abe1aa908bb68447f79fcb41a56354040,1176.0,1512.0
tetti,False,tetto,roof,noun,roofs,"home,architecture",,,masculine,plural,,,False,False,False,,,,,plural form,Tetti vecchi richiedono lavori.,Old roofs require work.,6ab17258be7625f673c3fc43ce6731ca7b808d7f0ef6ba9b55a1ef0409aca919,01461d5ed52fc22fdab4d48477953c169a23eece4829e978126afff465f213ee,1104.0,1272.0
i tetti,False,tetto,roof,noun,the roofs,"home,architecture",,,masculine,plural,,,False,False,False,definite,i,i,,definite plural form,I tetti sono rossi.,The roofs are red.,531ca384a86a615ef44c974f01d6d40019d300a3a6883d24b3330b8219d8a672,0ca1fb199f225469963987a0765e49e5e489c27aa89a2e4b2935cce68144699c,1248.0,1416.0
dei tetti,False,tetto,roof,noun,some roofs,"home,architecture",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Vedo dei tetti lontani.,I see some distant roofs.,aad40f7bf71b8fa242c219c4c83763068c1da112ee83e0d5f1f6d17d23997fa4,1b483e1d44a412b37dc88d61e979880b0de20d019b243e35a365adb815f13ef8,1392.0,1560.0
del tetto,False,tetto,roof,noun,of the roof,"home,architecture",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il colore del tetto è scuro.,The color of the roof is dark.,2c477b9a982789d979dc1867a845eef80966f0ec4ee0bd4521f85abd488ce7c3,020ab90c3889c2c1ef651af17dc4d7f9ec921bb4a49f2516358313fb1ac0f416,1296.0,1560.0
al tetto,False,tetto,roof,noun,to the roof,"home,architecture",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Arrivo al tetto.,I arrive at the roof.,743574ccfe77916534503d30ffb54772728a6d4245bc32ed6975fc528d159dad,af0d7daa69f572c426dc0233a306e07bbc62b7b6d0b8b58f76ab3059e4410302,1296.0,1488.0
dal tetto,False,tetto,roof,noun,from the roof,"home,architecture",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Scendo dal tetto.,I go down from the roof.,d16e9a9b2feebcee8dc29b3ead71556f49df24d01b021c4b24934a2547d0869e,932f4f9a3510217d9bf4285669ec482b948b4cdf358ec1e6eafabd063ba5001b,1368.0,1584.0
nel tetto,False,tetto,roof,noun,in the roof,"home,architecture",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,C'è un buco nel tetto.,There is a hole in the roof.,94ff685ee3d1cf458cc748b25b5dad6e33baa9ce21a6e01da5f1f17aba3c2055,862ce13aec238381336d3a0e82d252e3d88bdc60b6670e24e73c6ba8e395c75f,1272.0,1584.0
