term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
destra,True,destra,right,noun,right,"direction,politics",,,feminine,singular,,,False,False,False,,,,,can mean the right-hand side or the political right,La destra ha vinto le elezioni.,The right won the elections.,5aa47ccb03395d081e731a61f056e86b890a621df78e0bef11099b6e169320ca,984.0,0bb21a8b812fbae7b68878e0791eef2239c010014a2bfcf136e8921caeb50427,1392.0
una destra,False,destra,right,noun,a right,"direction,politics",indefinite,,feminine,singular,,,False,False,False,indefinite,una,una,,,Non è facile trovare una destra unita.,It is not easy to find a united right.,db195902bca63df680ccebde5925b34c490728b1b52fef2610c00c10854ae87a,1104.0,25d8fa06c4ed1ca2dc3d1ec6c150840a9fba8ca310b58cc6f28914aebb970ba4,1584.0
la destra,False,destra,right,noun,the right,"direction,politics",,,feminine,singular,,,False,False,False,definite,la,la,,,La destra ha proposto una riforma.,The right proposed a reform.,2e2d440f69c98b5bc8a0e401d3ff383196badcb2db70397d337e8947fb2a3ff8,1128.0,1cb5820e94ffe8eaec595f7b2c0c5e8308ceb4e1873f13c380c4aa89d75fc8af,1512.0
destre,False,destra,right,noun,right wings,"direction,politics",,,feminine,plural,,,False,False,False,,,,,,Le destre locali si sono espresse.,The local right-wing parties spoke out.,28c2ba0e327bcda642719fe8490c766335fd90f024436b8d3b63e253490897ea,1392.0,7e5c7e94b166bb2315ddd23f9c0551368b80a2af897bc49774d5dd9bbeab25af,1344.0
le destre,False,destra,right,noun,the right wings,"direction,politics",,,feminine,plural,,,False,False,False,definite,le,le,,,Le destre europee si sono incontrate.,The European right-wing parties met.,aec099575bf050ad0839d12d20b6bdb08bdd1db6054f6edaac5e98bfa45a62c7,1512.0,272beb7e99c3dc548397653be270f9f927684f294e4a446873d6a48470b745de,1488.0
delle destre,False,destra,right,noun,some right wings,"direction,politics",indefinite,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Delle destre hanno criticato la proposta.,Some right-wing parties criticized the proposal.,37c0a7793f3081bc90248594178c9d8dbf170b747f0391fbf6a2f0ae21a7e232,1632.0,35a19937c0408a8a73f5a43e864f37cc74e31c65ad883cc4f3e9cd0b1c7f60a4,1680.0
della destra,False,destra,right,noun,of the right,"direction,politics",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il programma della destra è chiaro.,The program of the right is clear.,9ad4db8a5377ea87c2127387cf373a64f23e44962fdb61285be23b823aea138d,1272.0,0e96e6c12031a73f909fd8d63bc24962c11bec0d980e2ff4255226ed27a9cec4,1656.0
alla destra,False,destra,right,noun,to the right,"direction,politics",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,La sedia è alla destra del tavolo.,The chair is to the right of the table.,fe4ab501c693471c10e6f447de583294a32bd4f2f492accccdbea8f6bb26be8c,1272.0,4d04c877056f8f7a46128770111ba6ad9f555e24492dc39cc8db945213382a4a,1608.0
alle destre,False,destra,right,noun,to the right wings,"direction,politics",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Alle destre mancano risorse.,The right-wing groups lack resources.,6bb6ed5d5535d422266b6cb7e9873f649f306fce79547669968d263084c02c97,1632.0,edb9bcdbd80771047ab026c7ef8157e216bb08d0af2ba3f99a586e1a20559c99,1584.0
dalla destra,False,destra,right,noun,from the right,"direction,politics",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Il commento arriva dalla destra.,The comment comes from the right.,47a84bdfa45a149c0bbfe6d35da2353a329504c5c52f78606632d1cdb927de07,1320.0,9c6e4e35389d33768cb7e43bc7e0baab8b63e6271d9db188561d8c459ea48e84,1680.0
dalle destre,False,destra,right,noun,from the right wings,"direction,politics",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Le critiche vengono dalle destre.,The criticisms come from the right-wing parties.,926f541a7d9d56f4eab6d788251e4434bf8d68a89826e450f0c54878a160e99f,1728.0,6b217afa5c6628670a25c84e70f75912aff669e1be44bc74e252fb1da3350db0,1680.0
nella destra,False,destra,right,noun,in the right,"direction,politics",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Nella destra ci sono posizioni diverse.,Within the right there are different positions.,e9f81e316aed73755116e920820f3e4b87aa1535d7e3027dc5aa5f42417bb78a,1248.0,7ad6f81c6039de6645b418862bc797ce6cb248bfa83d8d75a437d8c0598672e5,1680.0
nelle destre,False,destra,right,noun,in the right wings,"direction,politics",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Nelle destre si discute spesso.,There is often discussion within the right-wing groups.,6318967a903efb5de650ae1acd374eaa7f426b8d4476160da04fdce97030dbc8,1632.0,ba60680727e0f8f68867736b246f141b32a7b72f03cd1875b9ad147a58f98b02,1704.0
sulla destra,False,destra,right,noun,on the right,"direction,politics",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,C'è un tavolino sulla destra.,There is a small table on the right.,d0998b3cad00cd95f164e4c0c7a83cacf0c1a43f5ec8abce82a13357596e0b5d,1272.0,aa73246414a4e898a8bb2f329aff34bbb5cf0fece4bbcb505ae43a0026364a60,1728.0
sulle destre,False,destra,right,noun,on the right wings,"direction,politics",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Sulle destre si parla di economia.,On the right-wing parties they talk about the economy.,a4b8c5231328071f1461840cb2f6d664a06b3eb2b54759dfbab3e37c02f228dd,1632.0,68535b06befb27e1397491bc65b83a6325c4115f2c9491495541621f9910d0cd,1752.0
con la destra,False,destra,right,noun,with the right,"direction,politics",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction,Ha colpito con la destra.,He hit with his right hand.,39ed8c6084c1c2c82b3b38f27ed12f152997ad522adac512f5e26db86f4401ec,1320.0,4109e5a4453fe6a7685b5652d0dbb4b1b9e3323c5c8328277eb2c72d3489214a,1704.0
con le destre,False,destra,right,noun,with the right wings,"direction,politics",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction,Collaborano con le destre locali.,They collaborate with the local right-wing parties.,8756a09ed7a73ef28f7245e685a3dbec883aefe851991421310a252aa2ae5f68,1728.0,6542183079b61841d2041d74d7523b6b8dd975c2bfe9cea0f9376436148c364b,1680.0
