term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
essere,True,essere,being,noun,being,"core,concepts",,,masculine,singular,,,False,False,False,,,,,masculine noun; plural esseri,Ogni essere cerca calore.,Every being seeks warmth.,fbce91babd01859c9d0c1dea45b87d1c7055ad2a42da129bebbb8b704e7f4d10,e0b02f8d4f44cb8fbd822a581e55fa4358080d94e27974d62764a86f3e30f261
un essere,False,essere,being,noun,a being,"core,concepts",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ho visto un essere strano.,I saw a strange being.,c51b77deb37f8f2aee7ca9c29dc655212556ab50a18bee83d9078db8a1dc4c93,f6bc4f00029a1dadbbb3b2c407284e9f3d237dd03579d5222496cd2a652a5c5f
l'essere,False,essere,being,noun,the being,"core,concepts",,,masculine,singular,,,False,False,False,definite,l',l',,,L'essere è complesso.,The being is complex.,6db22f1ee74bfb357234f7589211c050f786a392fc3927f1d790638bf41add19,d90b921f32cd89a5784273a743a230a7d14d17af1f3cc3d83d57395e3a153dc5
esseri,False,essere,being,noun,beings,"core,concepts",,,masculine,plural,,,False,False,False,,,,,plural form,Esseri diversi convivono.,Different beings coexist.,daef30e8c22d95e1a6f9df9117366bb7538ad065b43d5e2c083dafbf7c3a06b4,ba16a2fd10dcabc2314d080ecc31870735fefe4281afc7d643057b35226bf68c
gli esseri,False,essere,being,noun,the beings,"core,concepts",,,masculine,plural,,,False,False,False,definite,gli,gli,,,Gli esseri soffrono.,The beings suffer.,36816b03f56bfd802a9e49c6da75de5448a2849326d9c45b6766f18c30d4d4c8,07b3717233cf7c5ff322bcb91839496056883443dfc5e82623acd64282d215dc
degli esseri,False,essere,being,noun,some beings,"core,concepts",,,masculine,plural,,,False,False,False,indefinite,gli,degli,di,partitive plural form,Studio degli esseri marini.,I study some marine beings.,ec738354fc4903ad00b418d7a898bdd936eea63104f2b47a500cdb51cf10b97a,e4d386351367c82235afe75d0e66ca429498d56286969985f8d0617390ae2f8d
dell'essere,False,essere,being,noun,of being,"core,concepts",,,masculine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',Parliamo dell'essere umano.,We talk about being human.,becedb59f149257f1d4e995f37e06851866e1aa31e28ab8a1d14e9c8dd8728a7,703ef6f24ceba48c1d676eb84277f407b2fb3c1f06e659afcf5ab2ead17199e1
all'essere,False,essere,being,noun,to being,"core,concepts",,,masculine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',Penso all'essere interiore.,I think about being within.,8833cc3b082d3892ca6b5c2fe7e950cb42085891b545fa77c894e14d92e9bfaf,d36df7b86bd4864532d7a421e9f820c2eaa7cc9406a5a3ec515a4e1430487c3c
dall'essere,False,essere,being,noun,from being,"core,concepts",,,masculine,singular,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',Tutto nasce dall'essere.,Everything is born from being.,3c299bcc27733e26f24839e7dc4de0fc52abb1cdd24a216084cb982878b8707f,87fbe0ec57c44a7f10ecbde6b01e06bf94fa5df26e7808347cd9b377d8e054e7
nell'essere,False,essere,being,noun,in being,"core,concepts",,,masculine,singular,,,False,False,False,articulated_preposition,l',nell',in,contraction of in + l',Trova pace nell'essere.,Find peace in being.,f969b315c85203b45e6376f6dc71d497cd3c9578aae923a72696014d4f922403,188e930a516b79aeb9e5f2783ca56b7d6f7f996bac8786eb89682edbfef1d1e3
