term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
modo,True,modo,way/manner,noun,way/manner,"manner,abstract",,,masculine,singular,,,False,False,False,,,,,base lemma,Cambio modo di studiare.,I change the way I study.,a4a0ec8a30269b254c7841af17b5949a5c8d3e387242f32acbbe726713a561be,2a2689e4b4959f9f42912e2bc152a6019e109386b844d082d34ad6dc1fd60781,1992.0,1248.0
un modo,False,modo,way/manner,noun,a way,"manner,abstract",,,masculine,singular,,,False,False,False,indefinite,un,un,,,C'è un modo per farlo.,There is a way to do it.,13a2e0757c0ac6c4812ca17623bd0a461af142ef1beab19b406b3a9643417f1e,73979169e8b2d90b6c1472c01a4812b69fe2fff1376264ebbc4c55cadd4d771f,1080.0,1368.0
il modo,False,modo,way/manner,noun,the way,"manner,abstract",,,masculine,singular,,,False,False,False,definite,il,il,,,Conosco il modo giusto.,I know the right way.,6b2d174471f3bbf003fc650902306844a266737485a0d91ca0fbcc244b389e81,333d06f833a97d3e2b83a0c28fe7eccbc6ee98b32c9205fe0e82646b7f22ba4f,1080.0,1392.0
modi,False,modo,way/manner,noun,ways,"manner,abstract",,,masculine,plural,,,False,False,False,,,,,plural form,Ci sono modi diversi.,There are different ways.,4dfbfe53a6fd3a80ebd9645e2b39fa05b95579b6a03b8f43b1dcabc860232a46,43b59d8fb749c649d5e82c35b7aa0a1030c4e59e3cc9b2496c59b454c6c47e14,1080.0,1224.0
i modi,False,modo,way/manner,noun,the ways,"manner,abstract",,,masculine,plural,,,False,False,False,definite,i,i,,,Capisco i modi locali.,I understand the local ways.,2c528844bb2d5d93f73bcd3e9851c37ed155dd29f70311e8cd6d62df3e37e61a,5ea08f85fad80b6f4f36ea86a376c58bc402fd72749b667afac9e6a8432a4622,1224.0,1296.0
dei modi,False,modo,way/manner,noun,some ways,"manner,abstract",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Esistono dei modi alternativi.,There are some alternative ways.,3b6eeb28e716a0a88e958cc85bf17c7c6dd06ffc15364ab6c6d1e263c5ecec67,05503b618624a694bddb39e9f2e2096dc7ebf1eb135db6389a9d10d4aea05882,1320.0,1440.0
del modo,False,modo,way/manner,noun,of the way,"manner,abstract",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Parliamo del modo corretto.,We talk about the correct way.,29dca7d6f6d429785c55a8605d3e97843f8efa77ec5b11bf506496137472e158,60f39225e7d2dae71fc152e799a6d07be169add16afc5a80a046cac41d28db57,1200.0,1464.0
al modo,False,modo,way/manner,noun,to the way,"manner,abstract",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Preferisco questo approccio al modo vecchio.,I prefer this approach to the old way.,165e5e170905ce00eb2f91376a8dc3d9f0c906ca247f7ec2dccace24bb8856f3,f9d210b4df7ffad337d9135b6c253c73aa2abd35660825e2216d875ec4f3a2b0,1200.0,1368.0
ai modi,False,modo,way/manner,noun,to the ways,"manner,abstract",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Sono abituato ai modi locali.,I am used to the local ways.,788b81d249fdb070bded470eb49250fead65f8a9a186965cf4b4db664335110e,6097c9898e0fee7c50e1c6c684b55d4e36162131f62002d64da7d62feda130bd,1344.0,1368.0
dal modo,False,modo,way/manner,noun,from the way,"manner,abstract",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Non giudicare dal modo in cui parla.,Do not judge by the way he speaks.,8105a061b3b2faf30b0fc6dc47f082dc2e0bda3e8203b746c15093fdd4061ba6,6cd607a70866212b83e3216c1198e8c734ea1e56504410271ce0686db399a1d1,1272.0,1464.0
dai modi,False,modo,way/manner,noun,from the ways,"manner,abstract",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Impari molto dai modi delle persone.,You learn a lot from people's ways.,0b72963090051271207157d5d9b67b622284849d056c71bf7d1aa440d5ff1eba,84da0d596cf032c7d1bb7c72fa4ba7396face8e324ea22c948132f51c9e47c3c,1416.0,1440.0
nel modo,False,modo,way/manner,noun,in the way,"manner,abstract",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Fallo nel modo giusto.,Do it in the right way.,13706f845711e3d0f0cd724fe06d22992ecb004b5c5607ee988ded814d6998d0,b52f241e61f926524fd81c9bc6f26ac5f8d1683c375429254bdd7bc28c3a2bd8,1176.0,1488.0
nei modi,False,modo,way/manner,noun,in the ways,"manner,abstract",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Agiamo nei modi previsti.,We act in the expected ways.,96819ddca8ffb33a7e24441a1cd2a9733b808cbf09005f4368046fcf5280aaa0,32b9843b3d0f4db23feb32e3bdcbdd45ac9bb01cfc7655b943f38900f6e6ecc8,1344.0,1440.0
sul modo,False,modo,way/manner,noun,about the way,"manner,abstract",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Ho letto un articolo sul modo di lavorare.,I read an article about the way of working.,d3f1fc3665ba51b9c66a152637feba8c7657ab99cee5601b82a45f91d1ad7d70,9a2409cb2ed8e557c1fab08bb25796891bfd4f075e527c8ca9ce47f4e0fdd0fa,1344.0,1536.0
sui modi,False,modo,way/manner,noun,about the ways,"manner,abstract",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Faccio ricerca sui modi di dire.,I do research on idioms.,27e90f4f3a621159fbbf02ac214b4d1d67e48e04c7def5b173ef9190e3acbc01,ea8178b9c2cbc0b263b2ded2b0219242a198eb5b7086836f24729e71af42947b,1488.0,1536.0
col modo,False,modo,way/manner,noun,with the way,"manner,abstract",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Risolvi il problema col modo più semplice.,Solve the problem with the simplest way.,03cc7af7b50dd5ec6ca09ecc821d5932c2f308a091466b484ce3d29472a7ffa5,914d56ec818e6a725a21361a3cf4c400eab50ff934858bf4ed7be66ef1bb3a08,1248.0,1440.0
coi modi,False,modo,way/manner,noun,with the ways,"manner,abstract",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Parla coi modi giusti.,Speak with the right manners.,b79f748c2aaabd6065119c053d959c542400d337f02c3b4a2bb26b7f2f0e0511,792c8f92fe93ac5e6421cfa815cb49d0298298b4f2a2151a017ca132e17534ee,1392.0,1464.0
