term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
carrozza,True,carrozza,train carriage,noun,train carriage,"travel,transport",,,feminine,singular,,,False,False,False,,,,,base lemma,Cerco carrozza libera.,I am looking for a free carriage.,800831dd3840d461ae4ff6ab81f0dcbfd16ca9f5e0c7819b5f3578ba3f7de93d,1488.0,4f53884ecd8788562c83ed4a056b429322dcfda94bb33d8cb82933ca47036e01,1512.0
una carrozza,False,carrozza,train carriage,noun,a train carriage,"travel,transport",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Prendiamo una carrozza in fondo.,We are taking a carriage at the end.,6c7058af074a8d9b49745a51dcdd666087b1eda2ffb9b715346ea4ec4bd7a92e,1560.0,168800695118cfb7d4725ab3f12d681d0418d88735fd9c6c472792ef2817dc7b,1776.0
la carrozza,False,carrozza,train carriage,noun,the train carriage,"travel,transport",,,feminine,singular,,,False,False,False,definite,la,la,,,La carrozza è affollata.,The carriage is crowded.,c6300ce466fdb3b3da287f75c796571f75c60cada5441b0fac20238b050dcc78,1584.0,9af46373b54aae26cdff7c25979359546d8ed0f5ddb4acf7f7a229d79ecd4c52,1728.0
carrozze,False,carrozza,train carriage,noun,train carriages,"travel,transport",,,feminine,plural,,,False,False,False,,,,,plural form,Carrozze nuove sono arrivate.,New carriages have arrived.,6b9f82ef22037d2a56dbf01b8f2c6224e127c6d11ff1da21a50d47bd66081bd9,1608.0,e3560d6550cbbc9892ddca9c7706f5ca954e709237f7d34499b6f10fc0d8a360,1488.0
le carrozze,False,carrozza,train carriage,noun,the train carriages,"travel,transport",,,feminine,plural,,,False,False,False,definite,le,le,,,Le carrozze sono pulite.,The carriages are clean.,814105e8c51487c96a6425d20c33278cd7a823e06331d96284945d12fa6fc452,1752.0,7a3b101aca87330b1fffad0676fef27dc28a26771a2e32ec65c0b18daadfc82c,1704.0
delle carrozze,False,carrozza,train carriage,noun,some train carriages,"travel,transport",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho visto delle carrozze vuote.,I saw some empty carriages.,8b77a007929f5e996bd06c8ee788e67c8f3b157e96b68e3d7b41bc26e295e8e7,1896.0,d5fcd0e9f65c7c5bbf2c92cdf8e673f216282aed2816c63358a5f32d107a0cec,1896.0
della carrozza,False,carrozza,train carriage,noun,of the train carriage,"travel,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il finestrino della carrozza è rotto.,The window of the carriage is broken.,4d81415d63c72a51ad34c366cb20a2f34baec48a2b1bb7d7fef5078de1c18922,1728.0,178dc00819a916457f06e7000c64a1322613e141db9abd2c24b3260a5d9c455a,1896.0
alla carrozza,False,carrozza,train carriage,noun,to the train carriage,"travel,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Andiamo alla carrozza tre.,We are going to carriage three.,c878a008e5230e1ac7028a7fdb8982f5649b5de09a54b37da71060501131bcd7,1728.0,d34d09f61064f869a454b51bbaedd385309542436e90b113ea931f32f41a53bf,1824.0
dalla carrozza,False,carrozza,train carriage,noun,from the train carriage,"travel,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Scendo dalla carrozza.,I get off the carriage.,be7effa6f6f7cda1b044f67036d43212f24d5491faffe05aae077129f8ce5772,1776.0,7635a4f75ae98ac26f046da4c12720d6731f59f110c43f11935dadefe61ad5a7,1896.0
nella carrozza,False,carrozza,train carriage,noun,in the train carriage,"travel,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,C'è posto nella carrozza.,There is room in the carriage.,fa994a1f07965b7cd0eb5d35aaa901994165424909d5cf64492e7a447030c16f,1728.0,ef3964b9e6867eeb03d1b645bbe9427b8e26d63173b6707aed572e854035df65,1920.0
