term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
cuoco,True,cuoco,cook,noun,cook (masculine),"people,work",,,masculine,singular,,,False,False,False,,,,,base lemma,Marco è cuoco.,Marco is a cook.,3eded869814eb845f50e3e051b46eb52de6531b01947ebf3f329dfd49587da8e,6ba5aa4f5081e540ce1ca32c6466a25a1243313c46574eb062e9fc45eb1b4aae
un cuoco,False,cuoco,cook,noun,a cook (masculine),"people,work",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Conosco un cuoco.,I know a cook.,15b012a9d1d1942c066dffd7dd42fee6590111b3ea617748ab8fe93215213083,66500aeace82d21b5952708f2715fda083155b3566ba2979a1b042a79629ba1e
il cuoco,False,cuoco,cook,noun,the cook (masculine),"people,work",,,masculine,singular,,,False,False,False,definite,il,il,,,Il cuoco arriva presto.,The cook arrives early.,2273c675f85e435367133d5be9164e7041902a7f35a519beb70078667fdab4ba,da69688583731a8d9b1771f2198b5758e7d2477e57bdadd311c7f02b639f3569
cuochi,False,cuoco,cook,noun,cooks (masculine),"people,work",,,masculine,plural,,,False,False,False,,,,,irregular plural -co → -chi,Cerchiamo cuochi esperti.,We are looking for experienced cooks.,19c71ccf5dbbd46cf2e83c97db0508ff9822f115b7f2a3630fa17a5a0696bb6a,e0e930c464deeaeb0d927b8e1a72dec0b25efcefa9f73aea9aec37997489a360
i cuochi,False,cuoco,cook,noun,the cooks (masculine),"people,work",,,masculine,plural,,,False,False,False,definite,i,i,,,I cuochi sono pronti.,The cooks are ready.,c528c755b86357b968fe49a83f6ffa47cdcdf539f03c1d171ab758bfef2d44f5,b24e6c3477ed94635bf7ba18d98b68a8caadda92dc9602d6f82e67506626b48a
dei cuochi,False,cuoco,cook,noun,some cooks (masculine),"people,work",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho chiamato dei cuochi.,I called some cooks.,cc19f3222c30dfde07a9e499b41bcb0178872eaace304a2e009c6e5cdfab4291,97cd749d5ce900cc851e8ff94ae733cb0193f0b7bf842200c6f475c8fe082b2b
del cuoco,False,cuoco,cook,noun,of the cook (masculine),"people,work",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Parlo del cuoco.,I am talking about the cook.,045c0a95d8a938ec8b4b97435a71453122a899ee56a0eafd3454477310046fa7,a8567d2b679d34b5a65bcdda8ec24fbfea5a276bec9ac9843dafc6e49ba8b326
al cuoco,False,cuoco,cook,noun,to the cook (masculine),"people,work",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Scrivo al cuoco.,I write to the cook.,434cf1213f707cae72c557fdaa16cf37d80f94e3f42296160d6fdda2156eb8e2,eef615e07bcdeda85ba3affe16a6f8df451b34de5ee69381b909ff5662769554
dal cuoco,False,cuoco,cook,noun,from the cook (masculine),"people,work",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Torno dal cuoco.,I am coming back from the cook.,2377d890126afb7aab844deba2441d9ee5a19204f21a93729a124dcbbd333222,9baadca0c6f14ed95abf16fdd7a95295dbf03a5e8a19076efa511976a46ad2ab
nel cuoco,False,cuoco,cook,noun,in the cook (masculine),"people,work",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Ho fiducia nel cuoco.,I trust the cook.,4b44d46384c6c4875c10289528817b52fd1076858191cb2d832efbaea1f34031,2d59980029fd95095e5f4c75647ec105009516339e598c1e36d664cb2ec44746
sul cuoco,False,cuoco,cook,noun,about the cook (masculine),"people,work",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Leggo un articolo sul cuoco.,I read an article about the cook.,2c5735e823bba6fa4125365576c73a2a050b82b680d6a4de993b201d413a8344,d3f9c5b89921b8be5e08d6826bd4e300cc74bb7682ba099231980d0ef9d9a83a
col cuoco,False,cuoco,cook,noun,with the cook (masculine),"people,work",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Parlo col cuoco.,I talk with the cook.,e2b244ac9c3c309e1b47846e1ad7c56f41f846aa6421f3e60381dff170416bea,568979ff350a2b575ada58f8960a142d237d6d2bde86326729a0558577b0c9b4
cuoca,False,cuoco,cook,noun,cook (feminine),"people,work",,,feminine,singular,,,False,False,False,,,,,,Lucia è cuoca.,Lucia is a female cook.,4e3d9e54674d52334cf31fc9a7f9c0c65b77a4f32ba546a94e4deea6f3e4ea74,d92a1f169af9317073d5c9c05a8ba327b72f2c9f8b5d2a49566817bbbfdbe743
una cuoca,False,cuoco,cook,noun,a cook (feminine),"people,work",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Cerco una cuoca.,I am looking for a female cook.,fbbe4ef312b37b2c177f2f5f0a8f04b164ac212d47215e59721f55b625da91f4,445b77b2d7e3d58072d7e8bc8b3eda067a039737ac76a830d7b106c5c7f6166b
