term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
no,True,no,no,noun,no,"core,negation",,,masculine,singular,,,False,False,False,,,,,base lemma; plural invariable 'no',Questo no sorprende.,This no is surprising.,6a9854d4f77c380b2f1a012515449cfedb845b1a4b700f0eaec9cf6918ff3116,50a0ae4eb7290c9f8b4ab0cb30cdfe600d7e98f0778a271861c8563b355ce043
un no,False,no,no,noun,a no,"core,negation",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ho detto un no chiaro.,I said a clear no.,06349ed5beaadaf79ecffe0940af83684fe1f7f4e0a868128d38b68d27f5c0ab,7fc64e36a000b2b32a6fc80e909220a2724b11e8cf277ec37012557b9f105f7b
il no,False,no,no,noun,the no,"core,negation",,,masculine,singular,,,False,False,False,definite,il,il,,,Il no è definitivo.,The no is final.,b08460c5562e2fae412f557c7741654b55ebe1685083cd036ffcfd29e43edd84,bed85e81709c75501e5d179f74242e35ca49622c856ab57999f6b9c4152e811c
no,False,no,no,noun,noes,"core,negation",,,masculine,plural,,,False,False,False,,,,,plural form; invariable plural 'no',Ho ricevuto troppi no.,I received too many noes.,6a9854d4f77c380b2f1a012515449cfedb845b1a4b700f0eaec9cf6918ff3116,f0d071e4aa9a6c3428f408d368189c938806a05f9275503997ffda57fc217740
i no,False,no,no,noun,the noes,"core,negation",,,masculine,plural,,,False,False,False,definite,i,i,,,I no non mi fermano.,The noes do not stop me.,feeca03e6b295bda078433ee393295fcb41de529c362918f49d9189e7e5d9a9e,ceee68fdc1c75cf75d21a2ced0b438e940695a54347003661505775b83a7103a
dei no,False,no,no,noun,some noes,"core,negation",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho sentito dei no.,I have heard some noes.,10f4a90403ceb567e8a4c0d1ecf7b32f69b86b892c051c86a4201dc5697ed728,b99901469e1b0d84c07929ec89082f8d392fa7d74b31f7e0607ec657fd7543ef
del no,False,no,no,noun,of the no,"core,negation",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Parliamo del no di ieri.,We are talking about yesterday's no.,e3189d7333ffc8749d89872bc3e664234b4d7ad1e4d5afd94c2fe4e71cc84d6b,2c7a0a55227be1f610b0e0c26b63ae5c9e313c8cb04854222b557d0900abdae5
al no,False,no,no,noun,to the no,"core,negation",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Non cedere al no.,Do not give in to the no.,51e5884738d24e51c89ae7989bf1363d795ea666636130cb80f0b35f78b59836,5c7e16918c25a81faf8f82a54be348467e97af605053ed5b83f8a7da30935cd2
ai no,False,no,no,noun,to the noes,"core,negation",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Reagiamo ai no.,We react to the noes.,5fef16bd998ee529ffd64982765feed02479d4ff447d2ed79bb07a535a7633b9,e5edc9aaf34ce6ebcbafd10e2f127069d1e288ec5d1439d662bacfb4850fe6a5
dal no,False,no,no,noun,from the no,"core,negation",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Ripartiamo dal no.,We start again from the no.,cfdfd38405fe0bd2c55fa1cba77244956144dd2dc4abcd319676681de3be62ee,28122574487b149a3947821b507dc36dd2d3742a56f19c9e54d81afb3f20e0ce
dai no,False,no,no,noun,from the noes,"core,negation",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Imparo dai no.,I learn from the noes.,7523a03946c1a6be3c8c87d10b624fdb57ec6c355092c999ac11a1194f2df3c9,74eca3ebc49af687a6e4cf676257caccdfc701090f3ff4a82b663707fa8199d7
nel no,False,no,no,noun,in the no,"core,negation",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Non vedo senso nel no.,I do not see sense in the no.,0d360f9b3ad59619e916059341fda74a3260bf331c112fda616104a9e36ca226,f7b6b52d851eafbc9c562d7de281a6f0d25c05ef4c8226e53ef0cfb83380582b
nei no,False,no,no,noun,in the noes,"core,negation",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,C'è valore nei no.,There is value in the noes.,7afba934507c2c679e5ae4af1db5b300baf82c84b45c774aca6b14690bd60986,95dd41fe823dc1961f63a7167c4dfac33abaa10eb207122c3c2634ca8830ab65
sul no,False,no,no,noun,about the no,"core,negation",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Ho riflettuto sul no.,I reflected on the no.,86d35553dcc6dd255dd67c136bff0d14e27892d652635bcaf44f30af979e12a2,34d1f62d83aa10bc90e1c683d1f9c638653d81eaaa7cf903170833baf10b1d90
sui no,False,no,no,noun,about the noes,"core,negation",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ho letto articoli sui no.,I read articles about the noes.,d8967a2002414ada6bfa07905a17c6550488fdd80bdccaf5c70913dc6b6a38b0,065d9a14879469d9e75f9ae8745fd5d63c3eaaa2b10c004cb594df6abc69af69
col no,False,no,no,noun,with the no,"core,negation",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Convivo col no.,I live with the no.,ca1fd5b9166470d813850710d3151473e731cd657707be1c6be8ec5003b79018,5a263a427f8f8376384ed624aadd2bcdcad6f0dd1aca352b26074f68d0f01fc6
coi no,False,no,no,noun,with the noes,"core,negation",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi no degli editori.,We deal with the publishers' noes.,b5a9049cc52e7c9ee91339aecbff9582464e51c46c2bb85b704dae860e0232ab,b1765a4ff2e0d03deeffc2559ab33038d5eece81797eb1598c7c7b299441afb7
