term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
treno,True,treno,train,noun,train,"travel,transport",,,masculine,singular,,,False,False,False,,,,,base lemma,Cerco treno diretto.,I am looking for a direct train.,15ff325ce6c334853bbba40cb1b6fdc9c3626a436dc70c20e4360d31abb18261,7e40bbb1f15934222ce97fc02662e491176c5d36c85cd2a348c8daa1ba0db37a,1080.0,1248.0
un treno,False,treno,train,noun,a train,"travel,transport",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Aspetto un treno veloce.,I am waiting for a fast train.,d58ed839ac6f9853a53b82ac4d50af6cdac2dc5188a321ff3e279f541831ef9e,ad02a871e79a3edaaf1eafddc74644fe72f397828d371b38d53b309ff74b4d84,1200.0,1416.0
il treno,False,treno,train,noun,the train,"travel,transport",,,masculine,singular,,,False,False,False,definite,il,il,,,Il treno parte alle otto.,The train leaves at eight.,771f80330578bad628cd3c978f29d0f43b33c523b2fd7b01523a7e3d39c5e336,8fb92e87c88d554c2c7a3faeb5461a6f74f10e6af4cae1481305be549b75b819,1248.0,1440.0
treni,False,treno,train,noun,trains,"travel,transport",,,masculine,plural,,,False,False,False,,,,,plural form,Treni nuovi partono ogni ora.,New trains leave every hour.,b1063ad74f404803c4da5a0c9fde72f0df7ec7f26474117327b3d2e7299f60ba,c6a5af0a373fc70781efb83bcaf52f272c22be846a2a9fcb84c8ed0484b11fd5,1176.0,1248.0
i treni,False,treno,train,noun,the trains,"travel,transport",,,masculine,plural,,,False,False,False,definite,i,i,,,I treni sono in ritardo.,The trains are late.,3de76b3a9c5235fcc090b86d06aaa55a7ba6771987bb7aaaae92d6df937f0683,356b7c19c159b412f7e701776902a120a6c19be204d7c29b9154c3a064b6d918,1344.0,1368.0
dei treni,False,treno,train,noun,some trains,"travel,transport",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Aspetto dei treni regionali.,I am waiting for some regional trains.,d4bcb4592cf0eadbd10cb841872d0c03112340faf10d202dbe9fbec8360896ac,2de029e86c046d021913e112797d999b8ef29ea00f8afe9815dde91d6b98f9b6,1440.0,1488.0
del treno,False,treno,train,noun,of the train,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,L'orario del treno è online.,The train's schedule is online.,9b0a6fcfee833dc0637c7a3e109a45fcfa2d74eb7847c42459447ddd9a19ce2c,dc1952fe317217e385d6b0ce3f22fc244131883dddf1e03232386f6342f383f9,1368.0,1512.0
al treno,False,treno,train,noun,to the train,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Corro al treno.,I run to the train.,47856fdfbe3acc5e3b4758e297b63037777b7a7237f5ccf082d7e2431909b9b0,74b76c660babbf305526c970cbb280ccbca8498cf99e71fbca1872b763a7a3aa,1344.0,1416.0
ai treni,False,treno,train,noun,to the trains,"travel,transport",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Diamo priorità ai treni locali.,We give priority to the local trains.,12b4f451576acb58c2a788802e347019b28ebaac45511269943998315eeeb7cd,c6c94a6ca18424aec69d62a68f4da4113176848e74c6991dff6a65135067df9f,1464.0,1440.0
dal treno,False,treno,train,noun,from the train,"travel,transport",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Scendo dal treno a Roma.,I get off the train in Rome.,424caea43524aefd5205723970bf03ee125c94209f4ea62bae0b7705e6af7c2c,04930fac9df8b93f776fbdaf40ca593642a2bc0fdb3d993809bfaab90ed00da9,1416.0,1512.0
