term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
secolo,True,secolo,century,noun,century,"time,history",,,masculine,singular,,,False,False,False,,,,,base lemma,Questo secolo è complesso.,This century is complex.,0fe68a40b6145e05647aceaffc5f87ca2ca4a7093bcc79788d6a24662aec8561,3812ef42affa3b12257de8fb7e4cc8597257b1788524a15804d63cabeb08f012,1200.0,1512.0
un secolo,False,secolo,century,noun,a century,"time,history",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ho aspettato un secolo!,I waited a century!,7d40c1ef5fadb757e75f14b87e0c023924ccdae96ad19b8154b4ae0e05223c68,53170c5f2ea49fcedba9083547d9e9d8f0bad0081d766d148cae9dba24cc6a48,1344.0,1584.0
il secolo,False,secolo,century,noun,the century,"time,history",,,masculine,singular,,,False,False,False,definite,il,il,,,Il secolo scorso ha visto grandi cambiamenti.,The last century saw great changes.,f5d9bf3936bf228b1fce1f292fd4bac49bf8e0985c343f4ca7c8c6188834db32,da463d6efec71268178fc3b67cb15906932532f9a966c3b7b58ae5f3126bcd62,1344.0,1584.0
secoli,False,secolo,century,noun,centuries,"time,history",,,masculine,plural,,,False,False,False,,,,,plural form,Secoli passano e tornano le mode.,Centuries pass and fashions return.,72741a08d558ef8bb4cb1707122cb61ddba951662e3e91369992e7b7d65cb17a,6b901be0bb570cadd4012c54f306acbf20646667e4c97e0953e0f43890ffe643,1320.0,1488.0
i secoli,False,secolo,century,noun,the centuries,"time,history",,,masculine,plural,,,False,False,False,definite,i,i,,,I secoli cambiano le città.,The centuries change cities.,07682ebc6398347291f794370d3ded85a7cc55a38a5151c7dbec4b59d4f4626b,57f998784b6442d00449aa775d861d9d294a6c0e1a32823af4ba03c4fa3c1017,1440.0,1488.0
dei secoli,False,secolo,century,noun,some centuries,"time,history",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Studio dei secoli antichi.,I study some ancient centuries.,d5c89da0607a0163b14610cdc9fea7bfb824cf43b4bc7441a81f4c81c7ba5a46,4233e2a79b3b30b93493981ed47b4ef11e80d4ea688e376a0d81eb21c7ba1622,1608.0,1632.0
del secolo,False,secolo,century,noun,of the century,"time,history",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,La moda del secolo è cambiata.,The fashion of the century has changed.,288f33151c3e6407074b845804a84286ad0be7998e9269095b2019629634761d,0b49183f451f4ff2292c3a96a9d795828af1c51cf9812056f125d5b2e1815bef,1464.0,1656.0
al secolo,False,secolo,century,noun,to the century,"time,history",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Passiamo al secolo successivo.,Let us move on to the next century.,7d95a6ac190d69bdabf179e507afbca8167d61bb765edb4008c37020e7f31063,83b10e7312bf41a2db5b360e2d70e84322e7e63b45c9e44aab2dd0b62909310c,1464.0,1584.0
dal secolo,False,secolo,century,noun,from the century,"time,history",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Questa usanza viene dal secolo scorso.,This custom comes from the last century.,f27e735b460246a38ad93bc32473db5ae6aa9c9b9723e0afcd47a4c03a2bbb0c,1a4f65f0280c6eb68e1c70f770ea77e2132e580c1a218e4ed477ffa480869242,1536.0,1656.0
nel secolo,False,secolo,century,noun,in the century,"time,history",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Nel secolo scorso tutto è cambiato.,In the last century everything changed.,b3d44bc9dbcbae8b4fd272d688e293f00fa2cc45d62f5296df812ce05062781c,1637a1809b5eecc7d1bd04e3eace62818bf987e58c4af0e3c4890aec88ad4e6b,1464.0,1656.0
sul secolo,False,secolo,century,noun,about the century,"time,history",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Leggo un saggio sul secolo scorso.,I am reading an essay about the last century.,6dab9f596f83c26f7133764296d4e3d2b0b846cdd60fef07add30a99a15de48e,7ef6a189cc7178b4c774681e60eee899019eaec68784f30875d56d53eba82705,1632.0,1752.0
col secolo,False,secolo,century,noun,with the century,"time,history",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Il linguaggio cambia col secolo.,Language changes with the century.,05466ac8ac9918d8c8d9f645a2b171d1e4ef53b2a3fc8c1b94ee772ee25213ee,afe8b64a9ca32cdf7a8dde292e97cada0709a37c6d8cce87e727568870527dc4,1512.0,1656.0
ai secoli,False,secolo,century,noun,to the centuries,"time,history",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,La leggenda è sopravvissuta ai secoli.,The legend has survived to the centuries.,b195aed0851a60b94aa66452b0b5d8e0ba3ca9ad1c36ac52ab958d970a56f417,f1d78c6ae12e92f058ba2ab037ab79cb9a33b4d6e04ea5606b6c0d37c664f963,1560.0,1536.0
dai secoli,False,secolo,century,noun,from the centuries,"time,history",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Echi arrivano dai secoli.,Echoes arrive from the centuries.,bb9f3a2aba383c129cb0606e3a7ed0ccb706aab01e9cad5c49c1d05a8836fd29,f7fb5e574ec5001ed19e9eab0ef3cfa3119b4267c8bc137778606d92bb933a29,1632.0,1656.0
nei secoli,False,secolo,century,noun,in the centuries,"time,history",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,La tradizione si tramanda nei secoli.,The tradition is handed down in the centuries.,bb45e5aeafa2c0caf4c434fff83a07278653567a2874384be4878dbd076ec386,49113699d1332b086b3be2dea5df9e3a782dffc298b4719d9dcb09d8031f1ce3,1560.0,1632.0
sui secoli,False,secolo,century,noun,about the centuries,"time,history",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Seguo un corso sui secoli medievali.,I am taking a course about the medieval centuries.,780b8d53a3a17a01b56aa6274d26a78ed60955eda66803bcfc13184c1f9acab2,d672907d7bcf261569e81ca2443cdaeb32a1b32eb82541ff821e247bc093f3ed,1728.0,1752.0
coi secoli,False,secolo,century,noun,with the centuries,"time,history",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Le tradizioni cambiano coi secoli.,Traditions change with the centuries.,33b71bea96e2057b0f2779573ace26071339294c17fa4b28d5ea2d070ae406e8,8991506ca76b3515b0dea65d5da5f6e914d92145e433bda60110719a8a0d8eca,1608.0,1656.0
