term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
completo,True,completo,complete/suit,noun,suit,"quality,clothing",,,masculine,singular,,,False,False,False,,,,,base lemma,Cerco completo elegante.,I am looking for an elegant suit.,45b18589f2aba8be3276aeaa6ab4eb07eb8cc3f72c60b5ed4aa7d4b7b995a78c,63a061fa81dad0fec30301483cc72f058c96d096ccb37620fcb153e053c7de69
un completo,False,completo,complete/suit,noun,a suit,"quality,clothing",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Ho comprato un completo blu.,I bought a blue suit.,3568a8d08a22f1120cfd39699f5c9706b6bfa8657dcb2c89c043d2e12fbce942,f1a111f9c9f1a8eb49c02da650faac9c0f91ea2622ae17cecfc48f47c5d499eb
il completo,False,completo,complete/suit,noun,the suit,"quality,clothing",,,masculine,singular,,,False,False,False,definite,il,il,,,Il completo è troppo largo.,The suit is too large.,17906e544ca4eff64d0374038a5f4908813c07fafe13fd9ee1799569e1ca05c0,8d6774ee399b4d0468a188e74e0a66656e41df55ea5104e6d26a044ca19184dc
completi,False,completo,complete/suit,noun,suits,"quality,clothing",,,masculine,plural,,,False,False,False,,,,,plural form,Completi eleganti costano molto.,Elegant suits cost a lot.,00c224c17bcdaf81436a3af48d510f35ffca7dc66a5403cb8c5ec16c276c8a14,a61ca5ebfc1074eaafcd12f31e5f9c50e2aab38e3bdbedff39cd82196d259db1
i completi,False,completo,complete/suit,noun,the suits,"quality,clothing",,,masculine,plural,,,False,False,False,definite,i,i,,,I completi sono in saldo.,The suits are on sale.,7ff755453c2323399bb9eda3b8b4d556f4e043d953af432d6b1a030c0cd75a41,e120d9e1f21313a2988cc4d3272f37e30b0a410421372b497b4c2ebdbe4ee60a
dei completi,False,completo,complete/suit,noun,some suits,"quality,clothing",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho provato dei completi.,I tried on some suits.,b91db8ebd401575e7a70f68b2154b050e93428a57eee5788d5ee4bb3759590ea,d2a0b3633f95997fe341f0ad3a53fd145f0e791d54f32c244b9f447db86b8af3
del completo,False,completo,complete/suit,noun,of the suit,"quality,clothing",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il prezzo del completo è alto.,The price of the suit is high.,fd2b21b514a358a8771c9274c7bf1115ddd18ab569c9f35a77ebd9d681a46011,2c17a2f6816394fe4b0bca1c0343ba00cc754f007e4b5aeed87c4c985b2468a6
al completo,False,completo,complete/suit,noun,to the suit,"quality,clothing",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Abbino la cravatta al completo.,I match the tie to the suit.,11235278dbccb0c459266c96920e08368b37a4204a77b3e254363c85f769ce88,7a4d0c2be2a744bd42436d479d3a39db0be514de2ffa44bcc8cb835c8a608d76
ai completi,False,completo,complete/suit,noun,to the suits,"quality,clothing",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Applichiamo sconti ai completi.,We apply discounts to the suits.,5aa8e8d82cb78a5f25ec6b21783a47a03a4a885f2f8acd247126a0042224ea63,6063122f477252b86d5d567a3a7629f098b164a6256139219ce0cf97ee73f75a
dal completo,False,completo,complete/suit,noun,from the suit,"quality,clothing",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Tolgo l'etichetta dal completo.,I remove the tag from the suit.,c61899cf8aef9584457a4059658207d37fb9cf41eef4423821af10a6a6eb108a,a0defb392a4991aa918c680f90119645a417752bdea372591d94a59ed33ef6ec
dai completi,False,completo,complete/suit,noun,from the suits,"quality,clothing",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Tolgo le pieghe dai completi.,I remove the creases from the suits.,e0d141b75f0241a22add4245333adff9d8a30067af1f892feb8d7efcc95e5a1c,71ed290dabaa3a5b679df779644405080dffa4ca49e3166984e0d5ca4797bcd6
nel completo,False,completo,complete/suit,noun,in the suit,"quality,clothing",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Mi sento a mio agio nel completo.,I feel at ease in the suit.,e9a7175afb390a5593b4a4a9c0d0de6cc02452d82f84f5111e23562fb242e835,075b09d4cef5004b4f3b527a8c1e9ba01ad8e4083a92938d4d164cddc9638452
nei completi,False,completo,complete/suit,noun,in the suits,"quality,clothing",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Ci sono fazzoletti nei completi.,There are handkerchiefs in the suits.,9283f1c7b7ffc5780bdeb72e71a6774048082106c1db98eef4d2628b8d569e9b,1238d578ddbb7894453f26e5702f9b34b8c06daef10c96c0ff24c9ab5fbac992
sul completo,False,completo,complete/suit,noun,on the suit,"quality,clothing",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,C'è una macchia sul completo.,There is a stain on the suit.,94524e221291e0bc515b17b90df81885fbc50dd39d2ff32ccf90d1815329a3be,93d8a7c01766856d1bdef1b62e95ff9022c29d8656c0a5d56a7f4c6513ddd398
sui completi,False,completo,complete/suit,noun,on the suits,"quality,clothing",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ci sono etichette sui completi.,There are labels on the suits.,e8643f966e37416d7283261d4c6065a187b45ca40af5d4b8ac24da7b57ec8a0f,da137fd71bfe93260ebce476916c1e23abcd7f491b2fb4fe5b7ec194d023af28
col completo,False,completo,complete/suit,noun,with the suit,"quality,clothing",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Vado col completo grigio.,I am going with the grey suit.,9347f994f810769a6d2e3755e7db2f7c25f1da51390c5b30985ae08a62628336,79f603538cf9964ebd5833291cf59f7f3fa566bf96031a9c64f864fc169b190b
coi completi,False,completo,complete/suit,noun,with the suits,"quality,clothing",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi completi nuovi.,We work with the new suits.,7f02198c376b484c0f71a6707670f29d10e45d3a572cb0801e8d5869907faf78,b69966623b2b5d927d498848445bba164ba563681eac4e085eb17eb3a93c1673
