term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
vino,True,vino,wine,noun,wine,Food & Drink,,,masculine,singular,,,False,False,False,,,,,mass noun; plural 'vini' for types,Bevo vino la sera.,I drink wine in the evening.,ac12a7a365cbced484335e1cfcec4a6dd0988bde973511ee4bcb88ae37623b4b,a818a61f15fc31c582189350092f73f71d11341061409238a7f55a27fd2060cc,1056.0,1224.0,VEE-noh
un vino,False,vino,wine,noun,a wine,Food & Drink,,,masculine,singular,,,False,False,False,indefinite,un,un,,,Prendo un vino rosso.,I will have a red wine.,1096ee49a455ccdb54918ef932f198c9699bb1befaba46e8b696bd5e8ce3c004,6900e7fed599c6a9d1502e48d1a60ac2795badf27f1dbf20fe94ceb68c4b4600,1200.0,1368.0,OON VEE-noh
il vino,False,vino,wine,noun,the wine,Food & Drink,,,masculine,singular,,,False,False,False,definite,il,il,,,Il vino è freddo.,The wine is cold.,745f1f506f32891a1bc5d59a289d17018f8f36dbab2150f90af5345978c35ee0,2debef827b73edb155763cca90a8a1d4c40f4022b323129a3d92c65747d60b85,1200.0,1392.0,EEL VEE-noh
vini,False,vino,wine,noun,wines,Food & Drink,,,masculine,plural,,,False,False,False,,,,,plural form,Conosco vini toscani.,I know Tuscan wines.,d3590a4c835025d079da691aba1a033915101f9d000b1c6380d33f53919ba0d8,e5a837a7845daab187d56d28cb3466c1bc5736d202ef36c30f312a31224a389c,1176.0,1224.0,VEE-nee
i vini,False,vino,wine,noun,the wines,Food & Drink,,,masculine,plural,,,False,False,False,definite,i,i,,,I vini italiani sono famosi.,Italian wines are famous.,e1f095bbd4dc11fd2ba9b91b52eb1273e0d7eccfce52a1cd9e8f3f6d0b26c0f7,dbc7efcd70079db6f5316b2c4e1b82d8043cbff4648cb3e3aebb192e3f5ce2ff,1320.0,1296.0,EE VEE-nee
dei vini,False,vino,wine,noun,some wines,Food & Drink,,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Assaggio dei vini locali.,I taste some local wines.,a17104f7e5dfb8bcef44ea518384de341e22ba7850b55899e64e0ebb43fd5d2a,baadd324f68fae3095e193c3f1ec37831c4f9b61e0b89ad432b75d310cb2a7d8,1440.0,1440.0,DAY VEE-nee
del vino,False,vino,wine,noun,of the wine,Food & Drink,,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Parliamo del vino.,We talk about the wine.,854a15af552acf2cf546ce92ad1b312c7df6f8ae94c4c3737a6e846265f8fc79,c621843998745623ed3cffdefffcb71b77680fdd03685d6616a9d43ddf1765fa,1320.0,1440.0,DEHL VEE-noh
al vino,False,vino,wine,noun,to the wine,Food & Drink,,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Brindo al vino nuovo.,I toast to the new wine.,069bd846a0dde67f6045e947240592cc5cdb37e44852065cac8310345dafe167,12b6ae8063a2aed957b8f368d219e38ec33281b4eb86826bd3460914f466e133,1320.0,1368.0,AHL VEE-noh
ai vini,False,vino,wine,noun,to the wines,Food & Drink,,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Abbiniamo i piatti ai vini.,We pair the dishes with the wines.,3fbe2b916043e88c99e9049aabd859b730634e6fed1d76dd0d26af11698f81b7,5fb9af3450e134d46ce517afe3de9406c7eea35ed88ac4664a8dce1e82ca9a63,1440.0,1368.0,EYE VEE-nee
dal vino,False,vino,wine,noun,from the wine,Food & Drink,,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Il profumo viene dal vino.,The aroma comes from the wine.,e7c03ffd0d0a36b6fcb579f8d589e3fb72eedc520dc2d51d8e7e6be4d9aebf72,4d3352375902cea5fcc81220566007d2e5cb2dca0153598bfebfc13a593d497f,1392.0,1464.0,DAHL VEE-noh
