term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
ripetuta,True,ripetuta,interval repeat,noun,interval repeat,"fitness,sports",,,feminine,singular,,,False,False,False,,,,,base lemma,Oggi faccio ripetuta in pista.,Today I am doing a repeat on the track.,e58e6dc98ae62e90652fcba42ad0bdcbdbb823e9dd849b58083a8288f065d8c5,80d7b135e239ec771e393ac6848e250cc0cce44d648e6ceb8191849a32b1c6d2,1632.0,1584.0
una ripetuta,False,ripetuta,interval repeat,noun,an interval repeat,"fitness,sports",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Faccio una ripetuta veloce.,I do a fast repeat.,f7c2ff2a9da21ab0d37eb9fe8d3fb12faafa4d1afead4d28f35b895907ad967d,8484bd278b95d798d1a01d59c601502ec74f6fadb745db39f5323b4ef9982250,1776.0,1800.0
la ripetuta,False,ripetuta,interval repeat,noun,the interval repeat,"fitness,sports",,,feminine,singular,,,False,False,False,definite,la,la,,,La ripetuta è dura.,The repeat is tough.,1804e1ee2bf26c2083c9bc06e94d24099f45bc14cc0b9148ac0fa40b92b4590c,20f2af86ba6228e3cc99b9ffd25b76d87cc1f626dff5830baac30a0c0229d8d3,1776.0,1728.0
ripetute,False,ripetuta,interval repeat,noun,interval repeats,"fitness,sports",,,feminine,plural,,,False,False,False,,,,,plural form,Domani faccio ripetute.,Tomorrow I am doing repeats.,f96f3bc41f66dccb8161a9063cfac73214a8b0c9b39f5efafc8fe0b3afccf5e6,02b4b223448f2310e083ee1561c74204eda57408257f277d6cdc1a33064f32a8,1752.0,1560.0
le ripetute,False,ripetuta,interval repeat,noun,the interval repeats,"fitness,sports",,,feminine,plural,,,False,False,False,definite,le,le,,,Le ripetute migliorano la velocità.,The repeats improve speed.,b01cbbafe6d9f35528caab3390d978d4d4757c7b0a4622a79dfc977f6ff98a07,2e6f71517478d30456eb9df28f9dd63d6ca0682b81b6eb14576299ec9c20a46b,1872.0,1680.0
delle ripetute,False,ripetuta,interval repeat,noun,some interval repeats,"fitness,sports",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Faccio delle ripetute corte.,I do some short repeats.,120d41602e86e77948acf76aed1e3d5ba0a70a48c60f49960ffbe553e411bb50,f316280c15496fa87772522963f6e191e5f220cdcc960dc788d5e4ef97290ba8,1968.0,1872.0
della ripetuta,False,ripetuta,interval repeat,noun,of the interval repeat,"fitness,sports",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Parliamo della ripetuta di ieri.,We talk about yesterday's repeat.,687327392ab5a21895eb15f959d4b9427ab9d51deda22569eb31104a3d2f0980,cd92c9776404c2d272533e948bc70fabc71dd8bcdd7ab506a2e825002cf03305,1896.0,1896.0
alla ripetuta,False,ripetuta,interval repeat,noun,to the interval repeat,"fitness,sports",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Penso alla ripetuta di domani.,I think about tomorrow's repeat.,beb24bbe822e3b4a4bff157a1e008fd44af64140f8eb3698bb1b28c4a01919a0,dad1bfc16444c15cd94961e266d849c852d26647f0e1b8f3aaa03651291ad63e,1872.0,1824.0
dalla ripetuta,False,ripetuta,interval repeat,noun,from the interval repeat,"fitness,sports",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Torno dalla ripetuta serale.,I return from the evening repeat.,8e7a8245aa94c8d3472a92f4af6e6fb3d0455dede9c788c6fbb99ff30ad0de7d,fe2cc7535e45cbdef2ae7bddc66eefee0482b4274837f4f5359199a7ba098d14,1944.0,1920.0
nella ripetuta,False,ripetuta,interval repeat,noun,in the interval repeat,"fitness,sports",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Respiro bene nella ripetuta finale.,I breathe well in the final repeat.,a561348876f06f1ba063895dcc68febc288d5b7224e2fea82e14790bdc5bfe73,9d08f4a56e2279d50f9503fefad9970ae3562aeebacecf01e34c4dda45d711fd,1896.0,1896.0
sulla ripetuta,False,ripetuta,interval repeat,noun,about the interval repeat,"fitness,sports",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Leggo un post sulla ripetuta.,I read a post about the repeat.,75986967165641bf3bed19062f6487a3d045d68d79ad51af74d5670dd137ed9f,3fe0cbdedd8310aae7a69349562680c3de987e4873ea940078bff487e1163fd9,2064.0,1968.0
con la ripetuta,False,ripetuta,interval repeat,noun,with the interval repeat,"fitness,sports",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,"standard ""con la"" (no contraction)",Inizio con la ripetuta lenta.,I start with the slow repeat.,5751b9f2c51e5ff738c15a91564a0eff46acba361b874ff9d1893e7954225c87,08ab42c062e1de695768b026b94c7168375136fa4d22b31d52e6b6051afed878,1944.0,1920.0
alle ripetute,False,ripetuta,interval repeat,noun,to the interval repeats,"fitness,sports",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Penso alle ripetute di domani.,I think about tomorrow's repeats.,a997d95642cc72b9b18ac3963b9f2735aac1f5b8ab3738931e49668a0e67f672,7139f65850d7bfb46e59ccb7a1f6c3cd1724bccb7dc43fe11c259189959530da,1968.0,1800.0
dalle ripetute,False,ripetuta,interval repeat,noun,from the interval repeats,"fitness,sports",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Vengo dalle ripetute in collina.,I come from the hill repeats.,d57d6a2a6f2bae5a9f9faa76789aa79b94e74d16423c996f7cc90a0a275922f0,e1c48dea48e27c94f25718ecf9a18e0a6c25f00fb0f54d33bddea0fd7c32230c,2064.0,1896.0
nelle ripetute,False,ripetuta,interval repeat,noun,in the interval repeats,"fitness,sports",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Mi alleno nelle ripetute lunghe.,I train in the long repeats.,1ca5e4b0bf82e6346454678f017e5f9001fd80027bd721480da3f3062bd951f5,ab9abefa196603c69f486a7c3595a89c2d1218d4f13386de4cbfb81aa1f10bcf,2016.0,1896.0
sulle ripetute,False,ripetuta,interval repeat,noun,about the interval repeats,"fitness,sports",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Trovo consigli sulle ripetute.,I find tips about repeats.,cc3bf368dedfc06727f48911359651cc82466f411085099cbdd0f034455a3348,30b880ce407caa679a370238456a7f99b3cda35f545a301449a7aad4b65181e1,2184.0,1944.0
con le ripetute,False,ripetuta,interval repeat,noun,with the interval repeats,"fitness,sports",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,"standard ""con le"" (no contraction)",Lavoriamo con le ripetute brevi.,We work with short repeats.,c4d0d92f25c4a039dc9fa0d3531e6e7b4579b9dca00de3d5bcc5a963daf30257,56138ba3caae4039b45cd567c8a4ab9e8b4b2b28eba93323d2a4283e11b26559,2064.0,1896.0
