term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
bevanda,True,bevanda,beverage,noun,beverage,"food,drinks",,,feminine,singular,,,False,False,False,,,,,base lemma,Cerco bevanda fresca.,I am looking for a fresh drink.,3c3e8db8653f55c5dac3756caee94af9f63901277f3214af28638360e62208e7,1224.0,a1fb5d2cf3bc4bd474969babbba311ec4c40f77864977a4087d8ebb216b34ba7,1464.0
una bevanda,False,bevanda,beverage,noun,a beverage,"food,drinks",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Prendo una bevanda.,I am getting a drink.,e18a035d33a9d97ed6dea62234fc3d5605bea48c6f54620c1c8bea6cad45829e,1320.0,ada99514e00f176b441de7c83f7749726eb47134e496c516327ac723f13446a0,1704.0
la bevanda,False,bevanda,beverage,noun,the beverage,"food,drinks",,,feminine,singular,,,False,False,False,definite,la,la,,,La bevanda è fredda.,The drink is cold.,29dc4ad9e23822db7f70b6b2c8cb5aebaf497b2a80a78e0cdaa32d55e931b95f,1320.0,54afb6ff4429f1f6e7e04e3771550f6bffb56fa47cead7e0fa89c01373368ea6,1608.0
bevande,False,bevanda,beverage,noun,beverages,"food,drinks",,,feminine,plural,,,False,False,False,,,,,plural form,Bevande fredde al bar.,Cold drinks at the bar.,9de53bc4d19622e743669c5d6c8dd31dab817bae98ed6a3f8da566cac29c4b2d,1392.0,0bd46b1c4532fdf56b4eeedf5077b055b95a4fbe6db14527dd4a8a1059064551,1440.0
le bevande,False,bevanda,beverage,noun,the beverages,"food,drinks",,,feminine,plural,,,False,False,False,definite,le,le,,,Le bevande sono sul tavolo.,The drinks are on the table.,52214efbccd3cbcf80a7a4b8afc5a75380259ae5266eda2ffcd01a532aa8a1e4,1488.0,243cd3afcea10acd981113f2485a8e6a3ca0e33b75a46a25ec8c3de08916e76b,1584.0
delle bevande,False,bevanda,beverage,noun,some beverages,"food,drinks",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Porto delle bevande.,I am bringing some drinks.,a4e180ac44b9d02097adc736fbd4d0505a004e5c29d783127c66ebf62f2d6448,1632.0,9abbca766e332a18f3399011e5c2b607382b7934537f76accf891e7ca9addbf0,1776.0
della bevanda,False,bevanda,beverage,noun,of the beverage,"food,drinks",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il gusto della bevanda è dolce.,The taste of the drink is sweet.,ccc2ef1e408c08b2cef7f67a1871898e9140eacf8f05f56aa9587210cc890d3f,1416.0,c5dd111563ff1d8c8457c7b936e85e011d804f5a3d9ceb053b0bb6d7c0782653,1800.0
alla bevanda,False,bevanda,beverage,noun,to the beverage,"food,drinks",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Sono allergico alla bevanda.,I am allergic to the drink.,471946e138fb2f7d942cc378b98a141021bfb5cb36c333270bb742399ee4a482,1440.0,c519c45d090bde58180e0f1b486f2853c7dd830c6b96f3c8c7ea75d9190aab86,1728.0
dalla bevanda,False,bevanda,beverage,noun,from the beverage,"food,drinks",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Tolgo il ghiaccio dalla bevanda.,I remove the ice from the drink.,3038b34126da8a40e8566b5a9cc2463b6764c99a74a897ef6e9189c9739b7fe1,1512.0,3965d82050faeadbff29630c11dc38487961483ba442d4ba049eed63dcbdf1c7,1824.0
nella bevanda,False,bevanda,beverage,noun,in the beverage,"food,drinks",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,C'è ghiaccio nella bevanda.,There is ice in the drink.,b5a3442f6bf9bf660f865acb85224e3ff434edc7a63d77b86f7c7949679cd40d,1440.0,2d7bdeaf94fcd7bb90bd0e5fb0040711125c8c76a603dad7649a0e1426f07be1,1800.0
sulla bevanda,False,bevanda,beverage,noun,on the beverage,"food,drinks",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Leggo info sulla bevanda.,I read info on the drink.,3104fc820d32f23d3109b28d97c7e1e7e6c21c5baa2dba1dd39ba4751809d74e,1440.0,d08e10a9f3e621b8ca03d4c24a3c6d01ccd3c33b5f0b5d1ebec8d37c5ee454d4,1848.0
con la bevanda,False,bevanda,beverage,noun,with the beverage,"food,drinks",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction in modern usage,Il panino con la bevanda costa meno.,The sandwich with the drink costs less.,1ab86b4b2fb6524b41ce5e9f4b13336ef61cbd1989e7fc0082f494512d92872b,1488.0,e483a7b66af15ee665e61cadaf65d06c414bcb94d071581eccd34ee847bc5aa7,1800.0
delle bevande,False,bevanda,beverage,noun,of the beverages,"food,drinks",,,feminine,plural,,,False,False,False,articulated_preposition,le,delle,di,contraction of di + le,I prezzi delle bevande sono alti.,The prices of the drinks are high.,96fe9cfb785a1573ce96d033076465af1e4208c7c3e1009f032440046e36e3ef,1584.0,9abbca766e332a18f3399011e5c2b607382b7934537f76accf891e7ca9addbf0,1776.0
alle bevande,False,bevanda,beverage,noun,to the beverages,"food,drinks",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,I bicchieri sono accanto alle bevande.,The glasses are next to the drinks.,93223ab0024059293dca7926e77ee8f7461928972d8df5d45208bc8eb5a0150d,1584.0,428bb734f45589ce2399cee867a676e32bc82554e13171ac7ad36a1e44914575,1680.0
