term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
identità,True,identità,identity,noun,identity,"core,society",,,feminine,singular,,,False,False,False,,,,,base lemma; invariable plural,Creo identità online.,I create identity online.,ca225ac4173629a569a4e9084da7e15024a4c2a780009345e542debb333dd0d8,f4fb10793136c6994098e16266afa4e22ae0d976b3e65439ae2f290816347742
un'identità,False,identità,identity,noun,an identity,"core,society",,,feminine,singular,,,False,False,False,indefinite,un',un',,feminine; elision before vowel,Ho un'identità digitale.,I have a digital identity.,42d309f2c69abd4786045210bc5006050b3add3c22e2af6ce00e6e07e60f097b,00b776b6310ca29c7b150d28cbd0ddd24dc823bb3bf3f450e78fb316241d9323
l'identità,False,identità,identity,noun,the identity,"core,society",,,feminine,singular,,,False,False,False,definite,l',l',,elision before vowel,L'identità cambia nel tempo.,Identity changes over time.,b0340d472a429342e5b37809f04784a1a5326553e7aef3b1245c99b4b17f28b2,40f1d66a7599adbffe15443adf496b36cd1c139b3b46e5f21686010d341b62bf
identità,False,identità,identity,noun,identities,"core,society",,,feminine,plural,,,False,False,False,,,,,invariable plural form,Identità diverse convivono.,Different identities coexist.,ca225ac4173629a569a4e9084da7e15024a4c2a780009345e542debb333dd0d8,a719f25c964f4d21fc4a0c591589c41d14855733e78c97afc106e9fa9a07ead3
le identità,False,identità,identity,noun,the identities,"core,society",,,feminine,plural,,,False,False,False,definite,le,le,,,Le identità sono complesse.,The identities are complex.,62794df3cbc82575ebed293555f6b88e7168ce24f4d2a9911c59ebc8e2f71be9,af77f33cef961e8a0707b8988da7da8c722c77e6ea36d9e7e89e320e1e00efe3
delle identità,False,identità,identity,noun,some identities,"core,society",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho studiato delle identità locali.,I have studied some local identities.,da799c0a7b27e323a25aa0eb2ac26dc80d541ef73442a57fe8c780927e917f68,0deee47d8d46b0625313bdbe02883b01c93d04bcb135f79b39a24cc4fdd2dd40
dell'identità,False,identità,identity,noun,of the identity,"core,society",,,feminine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',Parlo dell'identità aziendale.,I am talking about the corporate identity.,861333274ae8d1c82e913fc4348eb2c7aa6c697a6dfbde99ec316497d2432295,6032f0378ada3b764e14973450a4de72ddc7a16358d8096df21b0f83241ea6ff
all'identità,False,identità,identity,noun,to the identity,"core,society",,,feminine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',Mi riferisco all'identità culturale.,I am referring to the cultural identity.,a554721dc03f3abdf6f0b364430ef7634904d5dbceba066b452406aa42cce229,e93b3fdd1f2df84e4bead8ca1eefe649c28d0eafa3976b3dc58a00c880c28003
alle identità,False,identità,identity,noun,to the identities,"core,society",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Diamo sostegno alle identità locali.,We give support to the local identities.,915250b16ec92303e9a476412ae75a44461d1aec14da45ddb0e2f58c78e441b7,5118b05c63cca072caeb7f15469ada74a4c9044f0a1b2c0c9e7c8887e8eb9742
dall'identità,False,identità,identity,noun,from the identity,"core,society",,,feminine,singular,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',Parto dall'identità del brand.,I start from the brand's identity.,7599e8b7cef9a90dc7dd1a6d03f041dc0e9f80e4d35f37507389c26519ce6f42,114307f3bbaf66a94771fc39d374d85d7549dea101ebb5328cc6ff7833002d96
