term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
ciao,True,ciao,hello/bye,noun,hello/bye,"greetings,conversation",,,masculine,singular,,,False,False,False,,,,,invariable noun; mostly used as greeting/interjection,Scrivo ciao sul biglietto.,I write hello on the card.,0626ebc49ff8f4494df5e7451021a81f5508ebec165462adfa476459dfc6fcaa,2016.0,0e2a6c82f9460ba0b15425181a0ed67bfa73d9eaf6116016f60d527cb162991a,1176.0
un ciao,False,ciao,hello/bye,noun,a hello/bye,"greetings,conversation",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Un ciao fa sempre piacere.,A hello is always nice.,f6f6219aa0c252111b5c0a64f3ccf9e42d6ed15e31eb5ce7c1c4767922d47182,2208.0,f3e62c9e5cfd3aa0e4612dd2c57c358009e0b9f3c7028ed8019c810a38a4aa35,1392.0
il ciao,False,ciao,hello/bye,noun,the hello/bye,"greetings,conversation",,,masculine,singular,,,False,False,False,definite,il,il,,,Il ciao finale mi ha commosso.,The final hello moved me.,c35b2d7d63e6247b155ed645fe48fa7f3c360d9137d090e7f66a5c0deff3ca14,2184.0,50ecc4ad076472987b70824b0dcb6c1ad8ce0ee8c1f616b7c2efe4da88e88d5a,1392.0
ciao,False,ciao,hello/bye,noun,hellos/byes,"greetings,conversation",,,masculine,plural,,,False,False,False,,,,,invariable plural equals singular,Ricevo ciao da tutti.,I receive hellos from everyone.,c47d3dd772d989c78f51832c2acbc0ed63046537add8630ca4a0dfff544b5337,2304.0,0e2a6c82f9460ba0b15425181a0ed67bfa73d9eaf6116016f60d527cb162991a,1176.0
i ciao,False,ciao,hello/bye,noun,the hellos/byes,"greetings,conversation",,,masculine,plural,,,False,False,False,definite,i,i,,,I ciao di oggi mi hanno stancato.,Today's hellos tired me out.,bca4025a60d3517c6d9154c8931c1ea9c33e0147182e63da0cfc72812fa3b2de,2424.0,3d1d2c61faf05c7c891b59ab6ce62eee35b843d652267b1b581c59e4ccdecc20,1320.0
dei ciao,False,ciao,hello/bye,noun,some hellos/byes,"greetings,conversation",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho sentito dei ciao in corridoio.,I heard some hellos in the hallway.,9d20c0b828ad17482e13dc505a29e30a304a9cb5d9a68fb8b1aafec317415dad,2496.0,398f73066e36c4dd88f254b03ce99f890db20ccc0f3c14964da0a827e23b1431,1488.0
del ciao,False,ciao,hello/bye,noun,of the hello/bye,"greetings,conversation",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il; invariable noun,Parliamo del ciao informale.,We talk about the informal hello.,93cec41c01a5af1ad13436a6be98bb6ee73bd194721cfcf6a94879e1c73b1da2,2280.0,de11b5978da5a11e76456a7816d2ea7817dacfe017b97a3089c65f77ad331311,1464.0
al ciao,False,ciao,hello/bye,noun,to the hello/bye,"greetings,conversation",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il; invariable noun,Abbiamo brindato al ciao.,We toasted to the goodbye.,74c0b70af97c8ee8ac32d2dfee263406449b167027e1b90e393a5fe335e5cabe,2280.0,fbe9dc08c27741c93c3f0a4b0a373003ce3e8a3d1b8b1a93d7f326a3b9c9a8d1,1392.0
ai ciao,False,ciao,hello/bye,noun,to the hellos/byes,"greetings,conversation",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i; invariable noun,Abbiamo sorriso ai ciao del mattino.,We smiled at the morning hellos.,51b423e1136d7cdd5b0de7fad4d091d387922100e5609614ac973aea95d41490,2544.0,5fe90b397bdfee783b8866508da879233ddd0492ae3683a0ca05c4b0b54e6f42,1392.0
dal ciao,False,ciao,hello/bye,noun,from the hello/bye,"greetings,conversation",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il; invariable noun,Parto dal ciao e poi spiego.,I start from the hello and then explain.,09c6008fcc0031c3c72827c38190a8da962b8505d1d73ad0338f42f3dc21e19a,2352.0,1dd22fe69d2cb605fb4ef889f4afb0ed253086f31e92013d09dafc33da335289,1488.0
