term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
tre,True,tre,three,noun,three,"numbers,quantity",,,masculine,singular,,,False,False,False,,,,,used as a number word or playing card; invariable noun,Scrivo tre sul foglio.,I write three on the sheet.,7aeeafc45841cdc1f9799bfccd7477b63bb846b72ee5b45d34e5ead10518ea78,f51d8e03524b5c1c70b0157ae393c641d47a9debe7bceaf85eefd8bdbf976745
un tre,False,tre,three,noun,a three,"numbers,quantity",,,masculine,singular,,,False,False,False,indefinite,un,un,,playing card rank,Pesco un tre.,I draw a three.,91e6d9150d8dcda1830ddd54b57c4fc524d3f4d7e65ebc0c802a9da26eddb6e2,a8c100c2c70e922e5ad742d29c6872148646d1ce46477e390016817252c48b8c
il tre,False,tre,three,noun,the three,"numbers,quantity",,,masculine,singular,,,False,False,False,definite,il,il,,"also used for dates (""il tre"" = the third)",Partiamo il tre.,We leave on the third.,34dd42c47b0f3ebc721a30c51e017298ccee033024c66a4ec59f6ee4f7c8697f,bc04b679a1e956e19d13d937158bdd3ed1d2ef6c3ba0b73690c55e4ec06441d5
tre,False,tre,three,noun,threes,"numbers,quantity",,,masculine,plural,,,False,False,False,,,,,plural usage; invariable form,Ho due tre nel mazzo.,I have two threes in the deck.,7aeeafc45841cdc1f9799bfccd7477b63bb846b72ee5b45d34e5ead10518ea78,57457093255da667f1c1053acae6b89635320496912f4abdf8309d4bd23140be
i tre,False,tre,three,noun,the three,"numbers,quantity",,,masculine,plural,,,False,False,False,definite,i,i,,group of three (people/things),I tre sono arrivati.,The three have arrived.,1061108d9410572df994b743789b0b3aef75afd884fa7a4a1e7a105e39211f82,bc04b679a1e956e19d13d937158bdd3ed1d2ef6c3ba0b73690c55e4ec06441d5
dei tre,False,tre,three,noun,some threes,"numbers,quantity",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form; in context may also mean 'of the three',Ho trovato dei tre sul tavolo.,I found some threes on the table.,700a0298c47870fa939012b31ad4386ba315e2ce74e4de73ceb6ce281a244eb4,bd146df3d610e155841743a2b4fc12410d88dc2bcc431db16db8e2ce1fe15e2f
del tre,False,tre,three,noun,of the three,"numbers,quantity",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Parliamo del tre.,We are talking about the three.,73c30173163f9af73889981b9a2726d3ba80216a5c2fa36ccbf56b0116117ad3,cac4890a1d0f84971c3c39cd7a47cef11971a6f87d83d5a0eaea0a2170057334
al tre,False,tre,three,noun,to the three,"numbers,quantity",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Punto al tre.,I aim at the three.,b5ec2f4207f2541e98188f80b95b9f4e840bc27276bd55d403e641262fc34457,cc90e85c11a9a8c247a3d5bfcc9b74ca50f3975b14d532843f88fd9546f0a0a8
dal tre,False,tre,three,noun,from the three,"numbers,quantity",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Parto dal tre nel conteggio.,I start from three in the count.,e8350f0608845d5c432d3f35adf69986e27baadf4c0db26903699ffdba36084b,1c71a1fc41b55077a0cbb5e5d42bd448ec6e35ac05e3d6281b3f30cfbdf8d30a
nel tre,False,tre,three,noun,in the three,"numbers,quantity",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Metti la pedina nel tre.,Put the token in the three.,0ec024dde3a621ab6d27b7ead329de59e410f41442e8e109650c087e140b9acc,b034c1f08cabefc6cb136b4bff8ccb3f9c5d2704b059d1bf03c189e3ed32c65a
sul tre,False,tre,three,noun,on the three,"numbers,quantity",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Scommetto sul tre.,I bet on the three.,879d505497ef7ec03d13ddb05c2603e8fee7b2e3a59218871a9ba84d956f8800,1cc11decf5c0fa2d7692529afe6feaddc8ca02fb18461781f999a7963a240e8b
col tre,False,tre,three,noun,with the three,"numbers,quantity",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Vinco col tre.,I win with the three.,dee7e0eab62e557b3702be1f215135a05b68177e9630c2171ca6c6e7d0a65bd0,c1e4c4c1dd4f1018ac8a47676dffc6547d6f80e974c5c750419f067f2f3dd98f
dei tre,False,tre,three,noun,of the three,"numbers,quantity",,,masculine,plural,,,False,False,False,articulated_preposition,i,dei,di,contraction of di + i,Uno dei tre è stanco.,One of the three is tired.,700a0298c47870fa939012b31ad4386ba315e2ce74e4de73ceb6ce281a244eb4,cac4890a1d0f84971c3c39cd7a47cef11971a6f87d83d5a0eaea0a2170057334
ai tre,False,tre,three,noun,to the three,"numbers,quantity",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Parlo ai tre.,I speak to the three.,f0f4f3ed833d7102ae4bf39f5180e5201ed1b0c0865ba2b08d26215db1bba842,cc90e85c11a9a8c247a3d5bfcc9b74ca50f3975b14d532843f88fd9546f0a0a8
dai tre,False,tre,three,noun,from the three,"numbers,quantity",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Prendo i dati dai tre.,I take the data from the three.,1ffd2b3d202bd78710d7d0ecd9a16e5080d383e73b8ea049eeeb49ba3e4916bb,1c71a1fc41b55077a0cbb5e5d42bd448ec6e35ac05e3d6281b3f30cfbdf8d30a
nei tre,False,tre,three,noun,in the three,"numbers,quantity",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Investo nei tre.,I invest in the three.,9b69962e883c61aee75fe4d1371224f460f2ee9232f4066bc73a16f0999bd4da,b034c1f08cabefc6cb136b4bff8ccb3f9c5d2704b059d1bf03c189e3ed32c65a
sui tre,False,tre,three,noun,on the three,"numbers,quantity",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Scommetto sui tre.,I bet on the three.,13782adf016505cb69d67504b9502f72a16ad59e7fa54a50c58d8f0334364076,1cc11decf5c0fa2d7692529afe6feaddc8ca02fb18461781f999a7963a240e8b
coi tre,False,tre,three,noun,with the three,"numbers,quantity",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Parlo coi tre.,I speak with the three.,4d242a873255fb6cf6ac7ef56cc1feff88289b1546b0d0716d1ab93936692ee9,c1e4c4c1dd4f1018ac8a47676dffc6547d6f80e974c5c750419f067f2f3dd98f
