term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
locale,True,locale,local,noun,venue,place,,,masculine,singular,,,False,False,False,,,,,base lemma,Cerco locale economico.,I am looking for an inexpensive venue.,2b24b41c5f98eeef1550405bc37d827903dcdbe1037ba5783b32c814b664eb2b,03229cd9fdbedb043930dade0f6742217cc774659e909167cf9f5b4d52aea064,1080.0,1392.0
un locale,False,locale,local,noun,a venue,place,,,masculine,singular,,,False,False,False,indefinite,un,un,,,Cerco un locale carino.,I am looking for a nice venue.,5c12a1c54ae16a06a24927bc9c534a6482589f8f39eea5f987f65a767f9bf4d2,36fd9fe85e496c5c68b42d01e9f150750fa6e6fc5eefec81ecca98ebf1973bcd,1200.0,1512.0
il locale,False,locale,local,noun,the venue,place,,,masculine,singular,,,False,False,False,definite,il,il,,,Il locale apre alle otto.,The venue opens at eight.,f07ba88bf79a6a21fd6d9407cb6406bde3b1a608d37a50c7f9833ee1fb9cd401,2e313431db8162b93f2e30f928419518b6bdf65a39bbaeb84543570d621fbd79,1224.0,1536.0
locali,False,locale,local,noun,venues,place,,,masculine,plural,,,False,False,False,,,,,plural form,Locali nuovi aprono spesso.,New venues open often.,924f345c0dd6ba9949584b786a1e8de06f98ae4777cc7bd39de9477a0233aac2,ed13b925c8afd757caee52b72994ab9ece1d8047f0cb38b1ce1ebb1e2a8f0f93,1200.0,1416.0
i locali,False,locale,local,noun,the venues,place,,,masculine,plural,,,False,False,False,definite,i,i,,,I locali sono pieni.,The venues are full.,78f0d0b3034e64215a0487184081d00d9669e298c720785b146f85fda24faf46,ad28e802f8983c37e8fb18179bd9723ae05eb525d20b0bc8d6a4f164674181bd,1320.0,1488.0
dei locali,False,locale,local,noun,some venues,place,,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Proviamo dei locali del centro.,We try some downtown venues.,a0b0c57b9515752a68997b4a94ba90229e5b14a5295e1d4b931a8c03debd5555,f1b8c54405b5b32940cdd01567f1e89edbc1d04bd6728689b7c49fafc8949135,1464.0,1608.0
del locale,False,locale,local,noun,of the venue,place,,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,L'orario del locale è online.,The venue's hours are online.,afec15422ff3973359da6e4e5719b9c091b6adef0420d1e95b446c55424fdb6b,2436cf0cbd2cb231182f86b265fb1011f7ce241dfb63a237656033968a185873,1320.0,1608.0
al locale,False,locale,local,noun,to the venue,place,,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Andiamo al locale.,We are going to the venue.,7be73ce96cc87d05f8ce3e0950fd326a6858092f620a6c4c346145734970822b,c9605650b0ba38000b7880314518479b81da6a383722de60663cbadef845af36,1320.0,1512.0
ai locali,False,locale,local,noun,to the venues,place,,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Suoniamo ai locali del centro.,We play at the downtown venues.,ab00fa758a89cd5513fc7ec37b17f24ab11b55c8dd9dff6aa5d7e0d5a18d2344,469a68f376aab5a20ce665bbc4469d8d4f54cb974f0025061bd4a167610a6baf,1416.0,1536.0
dal locale,False,locale,local,noun,from the venue,place,,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Esco dal locale.,I am leaving the venue.,46d9c977c73b5e62c9efde004cdc215144c1b58174d71038e6796c9f0e6fe558,a586505f7b08b4f5ea8f7f8a18da6fe55cae4ca91f69211e59b7a1aca7c7bd6f,1392.0,1608.0
dai locali,False,locale,local,noun,from the venues,place,,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Arrivano voci dai locali vicini.,Rumors come from the nearby venues.,533a20c55ba4314f9e52fc942fc80fef0ae31e1708922c7977fa6118a2c2a0bd,d02a6e409d5c14f9ebd85a3b2134e96bd221c3e31889ee56114240007b5f5bf2,1488.0,1632.0
nel locale,False,locale,local,noun,in the venue,place,,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Lavoro nel locale.,I work in the venue.,fc1661d4406f1b283e9b38500472b1530f3a5f56b98f592ca865a07b8e0242c8,ac32416a7c3d56656f3237007612f08e53f935d1c6ea143a5636a053aa7c41ec,1320.0,1608.0
nei locali,False,locale,local,noun,in the venues,place,,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Non si fuma nei locali.,You cannot smoke in the venues.,0dafcb3c3f3347e8ad2bbed76c2028ba096146e84ee702e194b8e23b6fb3682f,18c93bc5132a1fc2f48306dd02e660be7f770f2f4d7f7a81bef55a62f5b4ee07,1416.0,1608.0
sul locale,False,locale,local,noun,about the venue,place,,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Leggo una recensione sul locale.,I am reading a review about the venue.,bb3f01785759d15298fcf8579e3bf4d51684f51530e991ff30aa03cce4c3061e,aad9fd43fc6e24f19494d20ceac1f09eac6ee329122570cc986d81994220c2bb,1488.0,1656.0
sui locali,False,locale,local,noun,about the venues,place,,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ho dati sui locali notturni.,I have data about nightlife venues.,5a3b151c8d7b0d4e45b8d482850402927c9379d2a977372fede4ed4390149104,daee5be48f0423cc7dd5097c3bd4c73c541702fb65e53b433110beaccfe30952,1584.0,1728.0
col locale,False,locale,local,noun,with the venue,place,,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Collaboro col locale.,I collaborate with the venue.,08d16cdb6c49d41fda1d1196df703af8df7150d2044b0070d4f59520fec7c061,99d5800f093cd3beb1b28c907749422ebe449f4fd5b1770fd75170e7d01c6b6f,1368.0,1608.0
coi locali,False,locale,local,noun,with the venues,place,,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi locali partner.,We work with partner venues.,c18f92457bf129b851aa6318338aed36da9bac9c268b9d7f8922135bad364c0b,3cb58ba1221dec1635efa879bf45ed20b217597d2aebc2f12bb9d067e1c7b5c7,1488.0,1632.0
