term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
moglie,True,moglie,wife,noun,wife,"Family & Relationships,Objects & Things",,,feminine,singular,,,False,False,False,,,,,base lemma,Cerco moglie.,I am looking for a wife.,b6eb134b584c8c966cc7f9298e95088cb7604fa265b6c5ad017a545881e35a56,402d7ba42343d70cb3bcf911123480883d906b845f15678dc1c96d47a231c49c,1056.0,1296.0,MOH-lyeh
una moglie,False,moglie,wife,noun,a wife,"Family & Relationships,Objects & Things",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Vorrei una moglie comprensiva.,I would like a supportive wife.,7104dce09b9a770b95e4fe5f167d283cb239f5580eb9ca63aa4b513180c24e0b,f3b53b62d25d5379e14f60c07a728cec3b38379100b96c60ccaeed7f2fd497e0,1200.0,1512.0,OO-nah MOH-lyeh
la moglie,False,moglie,wife,noun,the wife,"Family & Relationships,Objects & Things",,,feminine,singular,,,False,False,False,definite,la,la,,,La moglie arriva tardi.,The wife arrives late.,ab1a8b154befeea0e7b70d315fa3a93ed2dc0f6fbc566e27d5a438884fb7e0d2,7d23e8b7f19f8fbc38a5a9ec57656058997586ccdd489e8b91f2007c4674c561,1200.0,1440.0,LAH MOH-lyeh
mogli,False,moglie,wife,noun,wives,"Family & Relationships,Objects & Things",,,feminine,plural,,,False,False,False,,,,,plural form,Mogli e mariti ballano.,Wives and husbands dance.,5fd203451ab5eae803259346a203b50ca860cbe771a2dab4ebd7caa9091f4f49,78fa29fba95cc387394a6101f854778226f538d24b3065e9afb997b3e16abc00,1176.0,1296.0,MOH-ly
le mogli,False,moglie,wife,noun,the wives,"Family & Relationships,Objects & Things",,,feminine,plural,,,False,False,False,definite,le,le,,,Le mogli parlano tra loro.,The wives talk among themselves.,4a40838dbda4f8f8329cbfdc4a10357a1410fd9ff20c9e42afe49bf32ac55fe5,27d8433e1ad7685fe1d261c13609160f9f7b7ee0d4e041c43417a4bbbfa927c8,1320.0,1464.0,LEH MOH-ly
delle mogli,False,moglie,wife,noun,some wives,"Family & Relationships,Objects & Things",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho parlato delle mogli dei colleghi.,I spoke about some colleagues' wives.,c62d05705c6621249c24eb0b65025e9d5c6e2a002830e8158a3f1b63b5e1fb10,f32cca06e8504df539d17944421d54b911929d58637994913535444f6591aa96,1440.0,1632.0,DEH-lleh MOH-ly
della moglie,False,moglie,wife,noun,of the wife,"Family & Relationships,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Conosco il fratello della moglie.,I know the wife's brother.,f9281ffa0797e1d2582c5737d5d5fcbd07b1ce3e001aaad8be8eed5f669b2750,2ee35b9ede82f631bf92dd5f0fdc1f894ac28a5086cf86b4594ab607ace0fa2c,1320.0,1608.0,DEH-llah MOH-lyeh
alla moglie,False,moglie,wife,noun,to the wife,"Family & Relationships,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Scrive alla moglie ogni giorno.,He writes to the wife every day.,b9dbf61a62e9681bd547b3742e78aeda455b84821a6dceb4d5022dee3e28a4f2,adf6da231217c0f0356ea3d6b050f438a76d49a7e09ec7df5fa972f81c56f53a,1320.0,1560.0,AH-llah MOH-lyeh
alle mogli,False,moglie,wife,noun,to the wives,"Family & Relationships,Objects & Things",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Parlo alle mogli dei giocatori.,I speak to the players' wives.,d5f49fba6c3a28adb283d1906f6c61484a61f725cca54de3f180073cd705f90a,a9fa4effb1e7e0f3da5fa104b27b90070601b764ea5f19da5d11b9bf66881a42,1440.0,1560.0,AH-lleh MOH-ly
dalla moglie,False,moglie,wife,noun,from the wife,"Family & Relationships,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Torno dalla moglie stasera.,I return from the wife tonight.,734b054f0bd046d7a192a512105f3244e3eec32dc8e02bcbeaa7eb7d0bd468c9,89ae8e5e1f21e9c22268fad3bb79bc2d301f0709c8af985a73a766b8ce4b0e6a,1392.0,1632.0,DAH-llah MOH-lyeh
