term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
corsa,True,corsa,run/race/ride,noun,run/race/ride,"movement,transport",,,feminine,singular,,,False,False,False,,,,,also bus or train trip,Cerco corsa mattutina.,I am looking for a morning run.,f0b19712bf5b2a0c815cf969547ceb9a414998957147804b28dac9b39f5d8e56,866c67f97d28705ec087d380ee901ccaa7c9b03e93220455a9847571dd0a9b12,2856.0,1344.0
una corsa,False,corsa,run/race/ride,noun,a run/a race/a ride,"movement,transport",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Faccio una corsa al parco.,I take a run in the park.,00f547003eb7660673a01f7f112bb05313c5147e4be791488c395ed27f054131,4b0e9ae582dfab4c90b8c088c4dd0f8a8385a8061fe647ca87af44ff74f52a82,3288.0,1608.0
la corsa,False,corsa,run/race/ride,noun,the run/the race/the ride,"movement,transport",,,feminine,singular,,,False,False,False,definite,la,la,,,La corsa inizia alle nove.,The race starts at nine.,744e943cb797e5c9835f0ad68892f2a45e135bc49e731b92db1db65f564364c8,f5491ac4035c4e211c472c58f6a67e0b8892fc298314e00e1b78b80ea325ad93,3384.0,1536.0
corse,False,corsa,run/race/ride,noun,runs/races/rides,"movement,transport",,,feminine,plural,,,False,False,False,,,,,plural form,Corse lunghe stancano.,Long runs make you tired.,fea4b925eecfb257c80bbe971327ff7462321cf393983b6a879c69869e4a4920,9bda26fa73b4953400e89be2729de10ab7780988250285241b02b8e6be56abd2,3216.0,1320.0
le corse,False,corsa,run/race/ride,noun,the runs/the races/the rides,"movement,transport",,,feminine,plural,,,False,False,False,definite,le,le,,,Le corse sono piene oggi.,The rides are full today.,41ed85bb0333bd31aa9fb425cb37ffbe06c5cc251cbd0203e69b62aa55d4bc6e,53394d5d55bf301f3b1bc15132f03d06eb66bc19eb09968c5555478800e1e654,3720.0,1512.0
delle corse,False,corsa,run/race/ride,noun,some runs/some races/some rides,"movement,transport",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho fatto delle corse ieri.,I did some runs yesterday.,ca357d9399a2bfff1df880bd1654a2a92d01e0e55e332f7c56fcfefd9c5f3a5a,ac0dd6814761e4cb1c014c5ab03ff922be9e684750117ed572bddaaa776d6980,4128.0,1728.0
della corsa,False,corsa,run/race/ride,noun,of the run/of the race/of the ride,"movement,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Parliamo della corsa di domani.,We talk about the race tomorrow.,58ce3c5263d8642644b414c43d780615960179182bbf401d93df3707a90c3dae,7bb95bb75c2a46c02c222231863e347f38bb5020e2a9cdb5901630be684f65fe,3720.0,1728.0
alla corsa,False,corsa,run/race/ride,noun,to the run/to the race/to the ride,"movement,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Vado alla corsa in bici.,I go to the race by bike.,52b397f99ee7a9238dbbf8dace8ef88482a1da6db3eee6ffdc76dff48505332d,4721dda57c2480d163ea18ca3f0dfcec4bf7e621076e82bd47638f0fa6b8ca72,3744.0,1632.0
dalla corsa,False,corsa,run/race/ride,noun,from the run/from the race/from the ride,"movement,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Torno dalla corsa sudato.,I return from the run sweaty.,861ea986a7d0f7d45468182200db6420545e10b37a88b2faad4b535f1f40530d,08597c14af73136551c2903dc92ac6f10618e0fb85fc537766eab923602c891e,3960.0,1728.0
nella corsa,False,corsa,run/race/ride,noun,in the run/in the race/in the ride,"movement,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Nella corsa ho dato tutto.,In the race I gave everything.,31687e89c7db9b88d486f9ff71b25ce589e4e4bf7968c522be32bf384470352d,add2e1d3c860be3a93285c62808045e166d1ea36cdbcfbf20cd13b2136bcd6e4,3744.0,1752.0
sulla corsa,False,corsa,run/race/ride,noun,about the run/about the race/about the ride,"movement,transport",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Leggo un articolo sulla corsa.,I read an article about the race.,85bb542f82fb772f38b0851a5d9933c697eecb9a4578744de5bd3d6b8106f466,7cab5b5a52c8722a2dc86ca0cf5919152b7718ee6ae46c5157a9e8ccfa583efc,4272.0,1800.0
