term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
coincidenza,True,coincidenza,coincidence,noun,coincidence,"core,events",,,feminine,singular,,,False,False,False,,,,,base lemma,Che coincidenza!,What a coincidence!,a753209c312c550d626ad6a837280366269c4c7c3991f5108058533e46a55883,1464.0,bf7ff2380db46046170937889310e759ae76626d4c01290698bc74a7bce000ee,1824.0
una coincidenza,False,coincidenza,coincidence,noun,a coincidence,"core,events",,,feminine,singular,,,False,False,False,indefinite,una,una,,,È una coincidenza.,It is a coincidence.,c7662005ba1e5086cc1842093497bd08e2edb3ee391d95bf5295a1b3c1eee6af,1584.0,76bb44d2ff79e3e92945cb75fa98a53c5aa5fbd230ee2de57f93e3647dee081c,2112.0
la coincidenza,False,coincidenza,coincidence,noun,the coincidence,"core,events",,,feminine,singular,,,False,False,False,definite,la,la,,,La coincidenza è sorprendente.,The coincidence is surprising.,f516ca90c3b36d879102c5b7ea48fc4feed9a6fa2de805fd847be1517c48ed5b,1608.0,2135deafcbd4b1d5f13f7291bdf9790785442e04be6968e8be134ad5cfb6091b,2016.0
coincidenze,False,coincidenza,coincidence,noun,coincidences,"core,events",,,feminine,plural,,,False,False,False,,,,,plural form,A volte capitano coincidenze.,Sometimes coincidences happen.,bfb8c0a63825cf7385db3eb7a253ba589b224caf7f1e54abecc8a14a3f62a6ed,1632.0,11593861a8ccb020d07986599104318e6930dfc823da4d44a444151dc562e315,1824.0
le coincidenze,False,coincidenza,coincidence,noun,the coincidences,"core,events",,,feminine,plural,,,False,False,False,definite,le,le,,,Le coincidenze mi fanno sorridere.,The coincidences make me smile.,de5a5c3dd10086a55c2f8fa3e47e065a40cd098cc4b262c440bac6be48c04d6e,1776.0,6c0f114331312b47455c33c8ae39bff0dbcc1b3fbadf4aea22193c981ebd8263,2016.0
delle coincidenze,False,coincidenza,coincidence,noun,some coincidences,"core,events",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho notato delle coincidenze.,I noticed some coincidences.,d25a506c3250b0de7170a89918d8aa3e78fb5efd327ae7210cd3c8bcd7e723e5,1944.0,30801bd25436314024e6465a570a26803b7a87c5944054217c1021e624fe6e90,2208.0
della coincidenza,False,coincidenza,coincidence,noun,of the coincidence,"core,events",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,La spiegazione della coincidenza è chiara.,The explanation of the coincidence is clear.,67b98110fea2f4fe58e5e017f5869028c5ba1e2ffb2ee83e1e618f3b276aaa9b,1728.0,2f49c2b0cc0f02eb74ded2767d20976f66d75b6973a6aa3f3a56c3fd56a34537,2208.0
alla coincidenza,False,coincidenza,coincidence,noun,to the coincidence,"core,events",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Arrivo alla coincidenza in tempo.,I arrive at the coincidence on time.,73068ce7bf813cc464c8102ad8c8ec59e73ff5515cac35a521cd6f18fca4c335,1728.0,4002e95d6f10c83b36f083c9ada6a22ad69c616984eb04637080ba3847947537,2136.0
alle coincidenze,False,coincidenza,coincidence,noun,to the coincidences,"core,events",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Pensiamo alle coincidenze della vita.,We think about the coincidences of life.,a9bd949585d2fbf25d55ebd8ceb48b6b421750710337f4939acc662a045bd984,1872.0,02a7b2710785a904f787a3c0aedaecf6cc2425bfec8bf2177fe0534f7f15d080,2136.0
dalla coincidenza,False,coincidenza,coincidence,noun,from the coincidence,"core,events",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,La teoria nasce dalla coincidenza.,The theory arises from the coincidence.,c9da714acf98977f37a170c3cbb4d8c51b1bff9d2738556dd55ae683a2cf9dcd,1800.0,e7f1db451bcae71434d59c71742a5c8afd95f0e32b22d4deb4268e9fe2c4d668,2208.0
dalle coincidenze,False,coincidenza,coincidence,noun,from the coincidences,"core,events",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Imparo dalle coincidenze.,I learn from the coincidences.,e1fcbffae57cf869c93c479aac1b4eef9e1485c6e3b0e5f0a60cc65e95bbfe0c,1944.0,62bedb12634d4686a2cd950370256b8d0bbcd3e20de24222d0d2e6bd4dbd4107,2232.0
nella coincidenza,False,coincidenza,coincidence,noun,in the coincidence,"core,events",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,C'è logica nella coincidenza.,There is logic in the coincidence.,8aa434578c4e04d818748db2938be1a6598257741177f471a369ea17ed8e10f3,1728.0,ded1a099b27a4f4a8d93d0eb267340d5862ee83b352d535d579fd3ec17ae9732,2208.0
nelle coincidenze,False,coincidenza,coincidence,noun,in the coincidences,"core,events",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Cerco senso nelle coincidenze.,I look for meaning in the coincidences.,9a40ab86e09cb4e996c65da6b74b48170e9fdb0d6eeffb7c4e4679e82362a423,1896.0,945d68b201205ffcfd58030faae6f48c9415aee4a65d3c0c6339b5643a154751,2232.0
sulla coincidenza,False,coincidenza,coincidence,noun,on the coincidence,"core,events",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Sto leggendo sulla coincidenza.,I am reading about the coincidence.,7c932078f71c1833dd49d4d7b47801dd0e3b6ad76d36c841388cd1a17b041f5f,1728.0,923202e429228421fce041d3cd48bddf1f94f774accb50851107e1ea1b720c49,2256.0
sulle coincidenze,False,coincidenza,coincidence,noun,on the coincidences,"core,events",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Ho visto dati sulle coincidenze.,I have seen data about the coincidences.,71d225421b78bbd7c89b64b65a13190e3d04cc6628220a8ea7618208f275f41e,1896.0,a9329783b6bd30ea547b181af9e11cf6a60966f93da330240ae62bdda4c71cd0,2280.0
con la coincidenza,False,coincidenza,coincidence,noun,with the coincidence,"core,events",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction of con + la,Partiamo con la coincidenza delle 10.,We depart with the 10 o'clock connection.,e1bcb8573be3a4ed18fe2d0513abe3f471d173b0f9a4e5c6c327bffa76bdefc0,1776.0,c1318a0bd838a2da98d0e9458433fb9c0e750ce5815c9643074aa85477e0bd64,2208.0
con le coincidenze,False,coincidenza,coincidence,noun,with the coincidences,"core,events",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction of con + le,Ho finito con le coincidenze.,I am done with the coincidences.,29f6c6ab089db8ce01480089c1daca76e0bd5ecbabd91038a70cba69b447a5c3,1944.0,d34daf759416acd54b564b75f476a86757afa5570c6d7424d73890154cb9946e,2208.0
