term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
storia,True,storia,story/history,noun,story/history,"culture,communication",,,feminine,singular,,,False,False,False,,,,,base lemma,Studio storia.,I study history.,1890d056478363f616efe2f6481cab4d85b4151b0bf75da0a9be954e1048ef42,23c22ecd8db1fc6f797893bfd870617c61774361b8d8b9038ceb4ae4052e8862,2280.0,1464.0,STOH-ryah
una storia,False,storia,story/history,noun,a story,"culture,communication",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Raccontami una storia.,Tell me a story.,8aa6dc83c0604bfed64a44a952e3edf5ff231fd6fef34b825cad7933452d3396,01ce09c32903760b505deea922fc0b3c8ad06a95560be69d015a3bee7892d3bc,1248.0,1632.0,OO-nah STOH-ryah
la storia,False,storia,story/history,noun,the story,"culture,communication",,,feminine,singular,,,False,False,False,definite,la,la,,,La storia è interessante.,The story is interesting.,aec54c77238824865064477f97deb34f4bb39c56c2e90c8a449a02f06539d401,175f2c25bd37eeddc79a8052fefef0f31704a60bbfe87436925d71d8eb22b608,1272.0,1560.0,LAH STOH-ryah
storie,False,storia,story/history,noun,stories,"culture,communication",,,feminine,plural,,,False,False,False,,,,,plural form,Leggo storie brevi.,I read short stories.,019f0753cf41b9f9db38750293806fc6d70531fa5f4f803c3305b39c6f3947dd,4e6fbdc5883285dc7386fa23848578753e3c1a2e4c68b9619f1a4de9ef15d001,1224.0,1464.0,STOH-ryeh
le storie,False,storia,story/history,noun,the stories,"culture,communication",,,feminine,plural,,,False,False,False,definite,le,le,,,Le storie sono divertenti.,The stories are fun.,0a576b4c419cc12b41ceb3355c30af8a3687c1615fbe02d09f912ae74c5eeab6,b1f1a0a643cf332f23530060402bbdb4859896c184d06c57ea0e7b5bc4416167,1368.0,1536.0,LEH STOH-ryeh
delle storie,False,storia,story/history,noun,some stories,"culture,communication",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho scritto delle storie.,I wrote some stories.,717cd79ec44f763755fc67cfddc2b28fdc2de92ac0aedf24716e81525684fbf6,9023a6276dbb6b86dc9144163733c3d1a036588b1450131a19a60f8ed6a94d4f,1512.0,1752.0,DEH-lleh STOH-ryeh
della storia,False,storia,story/history,noun,of the story,"culture,communication",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il finale della storia sorprende.,The ending of the story is surprising.,6fc41699569b41a09838d9b3489438022f739e22cb352423fb4bed10b73fd04b,704146c63dfae2262db3db8e06662892d6619526876889c0edb838d2d4cfcdfa,1392.0,1752.0,DEH-llah STOH-ryah
alla storia,False,storia,story/history,noun,to the story,"culture,communication",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Contribuisce alla storia locale.,He contributes to the local history.,7c90d7513a4da3a56f5e5ed529b184b436c330ab503cb5edb5ce0ba9b9593d08,785ee7d5d6b6c855274bfbbc2058adc932b89cfdc258a2415e923c4fd480deee,1392.0,1656.0,AH-llah STOH-ryah
alle storie,False,storia,story/history,noun,to the stories,"culture,communication",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,I bambini reagiscono alle storie tristi.,Children react to sad stories.,0fb51625cf3175f6121dae4d6e34dcd35c4bfea563c5c67c2d961a7537853354,8de004acb02f4402b02099f69dcd2abe030703b6023c99ad9ed540055a17e789,1488.0,1656.0,AH-lleh STOH-ryeh
dalla storia,False,storia,story/history,noun,from the story,"culture,communication",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Prendo spunto dalla storia.,I take inspiration from the story.,1a29c84c8545017a6d07e0af661473762a8c19a2fa5e9020526f97c9ea313b1d,8807b62f2d92c895444e36041b9e1d070c396c9d6a9422f67ac9862f3c4e1ade,1464.0,1752.0,DAH-llah STOH-ryah
dalle storie,False,storia,story/history,noun,from the stories,"culture,communication",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Imparo molto dalle storie degli altri.,I learn a lot from other people's stories.,afe2f51a23eb6b37da200c9255b29b7e3be52e54120ff97492bdd4831e0f0be0,398c16f9c32616a69d18b0f10190e2208083aa35b83895cee63545bfce77f6bc,1560.0,1752.0,DAH-lleh STOH-ryeh
nella storia,False,storia,story/history,noun,in the history,"culture,communication",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Questo evento resta nella storia.,This event goes down in history.,d0082b4bdd5ad3fe4a147ea5012c1f352b4b10d1d45a88318147a6092069326f,feb1a45a0ab42840067f759d4b31983f1ce7fb59fae6b466911bfa8d44874967,1416.0,1752.0,NEH-llah STOH-ryah
nelle storie,False,storia,story/history,noun,in the stories,"culture,communication",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,I personaggi vivono nelle storie.,Characters live in stories.,22f618c1f0d58e952f38f39f84a26049d4def0e5d5af4ab510fa7a0564094025,4a89795f2c2eb360302fc14b036009d5c9866e6bce7986cf414e5f5b65c06034,1488.0,1752.0,NEH-lleh STOH-ryeh
sulla storia,False,storia,story/history,noun,about the history,"culture,communication",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Sto leggendo un libro sulla storia.,I am reading a book about history.,82427dd37fa692cfaf8f72ceaa81f89eadaac321c539ef7166201445838002ea,27b29fb0a9d45d081ce239f36b067f0936647d02e1af9eb22203aca7e0db6889,1584.0,1800.0,SOO-llah STOH-ryah
sulle storie,False,storia,story/history,noun,about the stories,"culture,communication",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Abbiamo discusso sulle storie pubblicate.,We discussed the published stories.,b631c6d564702743e220097c01fead290ef9e5d0ad259c34fe174ba9f6ceba1b,ca7c3ee7498393028b67aedd52a50d21fd7e65e7ef61cb010c2f84ac3dbf27e1,1656.0,1800.0,SOO-lleh STOH-ryeh
con la storia,False,storia,story/history,noun,with the story,"culture,communication",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction with la,Hai finito con la storia?,Are you done with the story?,216284c36e27be0cf68fbff892784db312628ff1b2117bcc7e60203250961814,d211e7e1046fdff50e28e53e5d09638fb8de34140da22f0cc4cc58b3aa820794,1440.0,1776.0,KOHN LAH STOH-ryah
con le storie,False,storia,story/history,noun,with the stories,"culture,communication",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction with le,Basta con le storie!,Enough with the stories!,1d292a2f1d8054ab23af8cdf133d388ebf929d61ac0577740c3014ef21fbc350,8217c0ef57d4ed508b92ef9a5c02554a46b31c7f9478243a19cb0c3eaabf4451,1536.0,1752.0,KOHN LEH STOH-ryeh
