term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
causa,True,causa,cause,noun,cause,"reason,law",,,feminine,singular,,,False,False,False,,,,,base lemma,Studio causa ed effetto.,I study cause and effect.,3b95eb29133e102cd07ffdb6fbd618d5ef977a5d0e47852ce1392360bf78e3c6,8bb419b2c8aac9cbd4d857ff21573895cef4e6f25c33598119b05278373d6e9d
una causa,False,causa,cause,noun,a cause,"reason,law",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Ho una causa domani.,I have a lawsuit tomorrow.,10f037fdb2928bdf50fd761fa3ef16c807a1502db347f8215d31093d0a404b42,b5b564f8b0a974662959f6cc38dab78341a38469142375ec2e1fa384f5625299
la causa,False,causa,cause,noun,the cause,"reason,law",,,feminine,singular,,,False,False,False,definite,la,la,,,La causa è ignota.,The cause is unknown.,325f3ab357ba55d422fb84f0cec5a26ff8861c35ae984290c81a7b36f33760f4,1fe57729c6bf09e9d1940e1553f39ff5d8ba01acfde93db4315d4628735f7da5
cause,False,causa,cause,noun,causes,"reason,law",,,feminine,plural,,,False,False,False,,,,,plural form,Analizziamo cause diverse.,We analyze different causes.,665ffc01954cb34e380a60d6765c269e88290547e0cc697669a348cc649ae8e1,b8e8c7a2a44d6e6b14c1d9f869aeba1c47b3412bcb390db9979a5d507eaf5ae1
le cause,False,causa,cause,noun,the causes,"reason,law",,,feminine,plural,,,False,False,False,definite,le,le,,,Le cause sono complesse.,The causes are complex.,968bdd3a93389c833f17b7a69f579277820c83e308b43d3cf02457b234c0f073,5c2258b14ab0d91995c9b2a2fbe96d304c36c2e97e7d7d435b103c1a15525d20
delle cause,False,causa,cause,noun,some causes,"reason,law",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho letto delle cause possibili.,I have read some possible causes.,36e847dbf3d362e0b16c02c1927f8f15df27f9347a7c45909228d24753b4635f,36d4b70f109db20e298aa2435d1075c51525db45b7ffabd58981d88c38b493c2
della causa,False,causa,cause,noun,of the cause,"reason,law",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il costo della causa è alto.,The cost of the lawsuit is high.,5923a2ff1fe99ba50a75294038f56588ef6ca4f0073c21529fa91a0c53444642,39aafc53954a93d969497fe8f8ef9aaabe2e85e5554eab9513a44138cb5b7b4f
alla causa,False,causa,cause,noun,to the cause,"reason,law",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Doniamo alla causa.,We donate to the cause.,76c39f2722bb5d4a9ff9cf2343646905dff18c01a80cb612857d2815724f7d29,644f0c295cf73b724322bdb8020f665d2ee02347d35c480aebebdbdd51238d6c
alle cause,False,causa,cause,noun,to the causes,"reason,law",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Contribuisco alle cause locali.,I contribute to the local causes.,33bb62d85dfd262b80f2fc74fa32a9804e4162d749fe17b6195f7727497520c8,db3518982c90d50df8d9ab1769a252dad1477bb08422c4cb792fd523bc0c0d3e
dalla causa,False,causa,cause,noun,from the cause,"reason,law",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Parto dalla causa principale.,I start from the main cause.,780ab99d9daa17b9de7379f388ed5943447b5678307aab937ec68044b1c97e33,dc68e19adb7820ab51222d6d758084c498c5d7214f013884d9074c9c630b36de
dalle cause,False,causa,cause,noun,from the causes,"reason,law",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Partono dalle cause storiche.,They start from the historical causes.,3de71265a99977365bcdb3abe2ac5906d566bdc35192cc69c954a0698f38606a,e02f52ff7e9da01bd276e7259ffefd4afc96f3c720354fd75cdcab95bcd7bdcd
nella causa,False,causa,cause,noun,in the cause,"reason,law",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Entriamo nella causa civile.,We enter the civil lawsuit.,e04a19fc4fcd23f13dc58a5d15ed9b0e1bd9250f1b50d2df96614e9e25f13e74,cc34dce364c3954aaf98e06e9b0a639a504ba4c757d46fa85a92a18acd91a2e2
nelle cause,False,causa,cause,noun,in the causes,"reason,law",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Lavora nelle cause civili.,He works in civil cases.,80cc4bb57ab4770b2d93782a62b32fda17f7026605c52df096bbd1fb64557fc1,d87144cc07af0a1cd49cda3bb33c15dbb08a54600be10e36ba212dd578bc33bb
sulla causa,False,causa,cause,noun,on the cause,"reason,law",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Ho dubbi sulla causa.,I have doubts about the cause.,19591b62d61777f458d1338c1bd31b427538edf97426fa0c0876d092d7e6ad64,d7869a250e930fb6141a51bdb84e6b29304a1840a23d9f8f280bc4a7f83a04ae
sulle cause,False,causa,cause,noun,on the causes,"reason,law",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Discutiamo sulle cause reali.,We discuss the real causes.,7a40b9acea0da712a33c6deb8e37731eb9d7340e8e9cd73c3e50ba3f27e659a6,66deef973ed59a2efe432e5efa6a9695dc87aacf4944a6b0b817751e976a0eb1
con la causa,False,causa,cause,noun,with the cause,"reason,law",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,no contraction with la,Andiamo avanti con la causa.,We move forward with the lawsuit.,490fc69b4ca16614023f839564998a43daee44995a9f0b8c08d20c9d020d86f3,15c774789fed789e610a9128c8932a2d7ac9d3215bd9f1c472a0ea2f13e84b4c
con le cause,False,causa,cause,noun,with the causes,"reason,law",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction with le,Lavora con le cause legali.,He works with legal cases.,66bf95e009af58498cecff1ed12b4135c8d53bb3368c7881bfad6aaa6a66307c,6ca808173d082c28c923abf3ce3a208ac45ba9e762f376b3e8d826e1029137d3
