term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
negozio,True,negozio,shop,noun,shop,"shopping,places",,,masculine,singular,,,False,False,False,,,,,base lemma,Cerco negozio aperto.,I am looking for an open shop.,23d08063d7e1449d03672086a60f57fbf32231181d76e83450e695967a9f3b29,f604ea8388f870b871f071bfa62f3cd92e927a2b165ae93db4143c6df1ae45cc,1032.0,1560.0
un negozio,False,negozio,shop,noun,a shop,"shopping,places",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Cerco un negozio aperto.,I am looking for an open shop.,e6b4616b3c83520d2a4b9926a8ba00260315b768846620ec94549d076c79cd45,86ec39c69d7d08317d93d6ea158565f36acfd1b3c27c8126d70e8f8872c2afff,1152.0,1656.0
il negozio,False,negozio,shop,noun,the shop,"shopping,places",,,masculine,singular,,,False,False,False,definite,il,il,,,Il negozio apre alle otto.,The shop opens at eight.,955d1c990e7a990f75146451c35c78bf6a8f33552f43b41fb96226aea9bd4360,2ec3a52256c9dfc3f30fc5570449f240a4f76e607b0fded988a542ce5ad43266,1176.0,1680.0
negozi,False,negozio,shop,noun,shops,"shopping,places",,,masculine,plural,,,False,False,False,,,,,plural form,Negozi nuovi aprono spesso.,New shops open often.,42ea628a2e97c432f1277a996011477641cf916906fe96d4f216363c965ec262,30100193f5257d11f3f99c5d69ec33efdf1900b842abef3731a3c9df0c710a46,1152.0,1512.0
i negozi,False,negozio,shop,noun,the shops,"shopping,places",,,masculine,plural,,,False,False,False,definite,i,i,,,I negozi sono pieni.,The shops are full.,9c9d5fded8ea4483e83e340e93d4a917a9d66cb9bf7cdb4a27385d80e4853031,03ce42a5cde1b713a61bcf60a1858d762cddf32ada5c3cf64baa2f5e0f161e4d,1320.0,1584.0
dei negozi,False,negozio,shop,noun,some shops,"shopping,places",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Visito dei negozi locali.,I visit some local shops.,5f7143f906255e936ec999437ab902786fafe7cb5bec2b9eeb8450c6a9e1aefd,c6d88884c0116079646b96b8c8b285746e0febb5d2088f45ff9e8da712326137,1440.0,1704.0
del negozio,False,negozio,shop,noun,of the shop,"shopping,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,L'orario del negozio è online.,The shop's hours are online.,77102a680df8783fb85589f6829ea6a2d41f3817ba61094cf58beafd3d54c5d7,7bb5639e25202865dca2e27c8575c28f9ecd0a2ef5173d0af59e18216019dcb7,1296.0,1776.0
al negozio,False,negozio,shop,noun,to the shop,"shopping,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Vado al negozio.,I am going to the shop.,57104ddaaf16d76dc9274bac953cf9c3e83bb3b56a408ad7811204429091d24a,79e1a02697529ff752d45560d5ae480d33302c45710289fb3d5e833747cbafb1,1320.0,1656.0
ai negozi,False,negozio,shop,noun,to the shops,"shopping,places",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Scrivo ai negozi del centro.,I write to the downtown shops.,315a27667cba1866cdd5613dd6406fe104c3e8ba5591d2c0f8736ae7bd837f8a,ab1f267a130388173545066bfb337423cab0b01e7d1761f60955c23f89fe7b36,1416.0,1656.0
dal negozio,False,negozio,shop,noun,from the shop,"shopping,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Torno dal negozio.,I am coming back from the shop.,9c14e5e0a7bd2d2c0fa03a99a30cd61f942faddab581103b2df332d62f9e8661,f4dc73ee07e732a497434efdc9de406d683fdecf05f7b191fd0308e057a8bb76,1392.0,1752.0
dai negozi,False,negozio,shop,noun,from the shops,"shopping,places",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Profumi dai negozi vicini.,Scents from the nearby shops.,57ecf16bc88a453f25a199699ae783cef3c3b684a7aa89944ae74d29ba77d886,de00a8b76c06dd57c964efb7226090c31f2f506c9ea0ee596b219b2e49cd606a,1488.0,1752.0
nel negozio,False,negozio,shop,noun,in the shop,"shopping,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Lavoro nel negozio.,I work in the shop.,ed11a0e4ac4c25fefb7b64484c31e68873d15e6757cf4c749fd1b9bd3b88d67b,45e526109c9e3093fe5f522beaf19a603c1be0efa5063a557133d66bbd0bf9df,1296.0,1776.0
nei negozi,False,negozio,shop,noun,in the shops,"shopping,places",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Non si fuma nei negozi.,You cannot smoke in shops.,68f96ad6ba0a6f1dba86b613d82834fb6d72835129d84ed4d0efb436825186c5,d1cef5d6b19b9e337e5b948102087bdd82f823038ebc7224251518e3877954bc,1416.0,1728.0
sul negozio,False,negozio,shop,noun,about the shop,"shopping,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Leggo una recensione sul negozio.,I am reading a review about the shop.,9a1a3a23d4a76a3168345aa97f39c55648eb85f51f8449b9f8d7bd388fcd27cb,d4f6f392ff3fc3ccddfea1d2a24e8c7d0c217ff47a01224e51e12cdd4d6307e6,1464.0,1800.0
sui negozi,False,negozio,shop,noun,about the shops,"shopping,places",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ho dati sui negozi locali.,I have data about local shops.,677b453b64cba08168e85ec24cbc3d4b32d4d573b14a1cdb17b4d0b54f948409,ffe777bcdad6e6f264f5a353d9f9c7e28651d907db4ef1b3965d91e87c241c54,1584.0,1848.0
col negozio,False,negozio,shop,noun,with the shop,"shopping,places",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Collaboro col negozio.,I collaborate with the shop.,2ab36453cdebf187deac4d8adb8e44462d268c5db6b9f99698207da81f30e1fe,daccd5fd7a3438a4350999ae8eac0495ccee9099c2e3cb21f410468c170be0d3,1368.0,1752.0
coi negozi,False,negozio,shop,noun,with the shops,"shopping,places",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi negozi partner.,We work with partner shops.,2aaba2b3e25e8c6f9cc2fddc456da37760d347e5bc14e0d9f1b18139709195fe,881cab434e5ba996bf575c83d0336cd47aa30107b96aeaa94b48ba80ff64c61e,1464.0,1728.0
