term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
quarto,True,quarto,fourth/quarter,noun,quarter,"numbers,time",,,masculine,singular,,,False,False,False,,,,,can mean 'one fourth' or 'quarter of an hour',Sto imparando cosa significa quarto.,I am learning what 'quarto' means.,5c7760982898b34c22c897457892ce161da06fa92637522e63c45059488c2b79,1080.0,c0aff1dcda6621dfb71a3c6749dfb0a7176ca945b38847d9f102e39ce7ddc739,1368.0
un quarto,False,quarto,fourth/quarter,noun,a quarter,"numbers,time",,,masculine,singular,,,False,False,False,indefinite,un,un,,used for fractions or a quarter of an hour,Vorrei un quarto di torta.,I would like a quarter of the cake.,7bd8726d7328ae9b77ce331bb3b5f734187b64501976e51c4f11911de832c949,1224.0,2960881dd3f266cfa12ea537edd92e2ccc858da88326e6d5bac3e81530cff4f7,1536.0
il quarto,False,quarto,fourth/quarter,noun,the fourth,"numbers,time",,,masculine,singular,,,False,False,False,definite,il,il,,,Il quarto capitolo è lungo.,The fourth chapter is long.,c7b016252ff49ebcb77b2658c3e3d74a7ec31e6890ac92a2624ca0214fc9ff10,1224.0,9aaa10637247349b0b901c4f6847c52d31538c3a83c3de7276b4fb6bf6e3ba13,1560.0
quarti,False,quarto,fourth/quarter,noun,quarters,"numbers,time",,,masculine,plural,,,False,False,False,,,,,,Quarti di finale sono domani.,Quarterfinals are tomorrow.,2e1e3541afc86b7754161d97b464cd866eedf395f70cdc60372d9cb9657657d8,1224.0,bcb6d2ab767f86692f2b64269dfcff12cbffa5a710be2b748ec59bbc190eb2e3,1344.0
i quarti,False,quarto,fourth/quarter,noun,the quarters,"numbers,time",,,masculine,plural,,,False,False,False,definite,i,i,,,I quarti di finale sono domani.,The quarterfinals are tomorrow.,2737bc36931ded80a81c6f094968195e5d1fdb821c2b4ea67106f1a71b302c19,1368.0,011c1ce54cda2d2b4b1abe01dbecff9ad913dbbf25e83b932e6e2ca94f564695,1464.0
dei quarti,False,quarto,fourth/quarter,noun,some quarters,"numbers,time",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Ho mangiato dei quarti di torta.,I ate some quarters of the cake.,22336d3699944beaa707cd620d94cf353c442c3b4e1737a884bc95bbba5c2169,1512.0,bed1ba5c5d155f744a1b90b8373ba67866081f55744dd6b731e140a9c31a7612,1608.0
del quarto,False,quarto,fourth/quarter,noun,of the quarter,"numbers,time",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il titolo del quarto capitolo è interessante.,The title of the fourth chapter is interesting.,3b60cea48053cd6a1b61620593480dcbf569cdc27379a0125b5951548335b8e1,1392.0,c7d58043d61a0cf6443203ce73fb34ed5e8145556aa483a5e03638e769be28ee,1632.0
al quarto,False,quarto,fourth/quarter,noun,at the fourth,"numbers,time",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Abito al quarto piano.,I live on the fourth floor.,15d00d531bec463c4f8db31841ee3284123a311ccbf25f01367d58452105aad9,1320.0,07a774f3cbe575b12dc4281fcba668a387bca79b04e636dbaac91ba410e8584e,1536.0
ai quarti,False,quarto,fourth/quarter,noun,at the quarter,"numbers,time",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Siamo ai quarti del torneo.,We are at the tournament's quarterfinals.,a04ee930bf48f872a642a499897af50638bd79344be63e530fab3ba276918863,1392.0,5bea24382bc2a0ad1665826706d5fc900f594d3e024300ffddb3416c4e39e2b3,1536.0
dal quarto,False,quarto,fourth/quarter,noun,from the fourth,"numbers,time",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Vengo dal quarto piano.,I come from the fourth floor.,3ea7794a9101a46505132436dad27916c577a2d78a63430608613d0ee8c9c685,1416.0,0f8cc204bacc4c9703cb2959d5b938e87588cc1ca93e30c77ee9268ce9eb6f70,1632.0
