term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
ancora,True,ancora,anchor,noun,anchor,"objects,nautical",,,feminine,singular,,,False,False,False,,,,,base lemma,Cerco ancora robusta.,I am looking for a sturdy anchor.,5a2d86e7b613792f3451743bca6822e2fac52e2173c3a5e1cf88c7d4ba53d7f0,298df04f131ea27d7561dfa9f5c85049e782cb3c78337ecc450c0c64c6532d91
un'ancora,False,ancora,anchor,noun,an anchor,"objects,nautical",,,feminine,singular,,,False,False,False,indefinite,un',un',,feminine before vowel,Ho trovato un'ancora.,I found an anchor.,efc8a16f6fed16091d22351262c1561a3c96fbc38d52a79cefae93a9088a9aa5,41f67d29d68087daa076e33a487e8a5152f512017bcdfc46bad568ac8360a331
l'ancora,False,ancora,anchor,noun,the anchor,"objects,nautical",,,feminine,singular,,,False,False,False,definite,l',l',,before vowel,L'ancora è pesante.,The anchor is heavy.,d5f41e6dd694d3d5c6781a9f9ce96ee020e300953c23221d756d86d204a2db7f,54d037760faa108358abbeff016f752d8ac14f0938fa1a202c5d82914bc17f79
ancore,False,ancora,anchor,noun,anchors,"objects,nautical",,,feminine,plural,,,False,False,False,,,,,plural form,Ancore grandi costano molto.,Large anchors cost a lot.,2f346e9d8b86b6e9ba8b4242006755512d6f3441bd172801c0691697e224ec4e,87a1f4ba7bf1fa06fd193625d9b59c00b8bdf4ba05aea0d19686a6c5682b7f03
le ancore,False,ancora,anchor,noun,the anchors,"objects,nautical",,,feminine,plural,,,False,False,False,definite,le,le,,,Le ancore sono pronte.,The anchors are ready.,739f76d1585e2443963a1b49d4d03b77783b5e57112cd3b429021b10eeff060c,f09f72d72cfd5f068886f22c0584e95ce23ed0cf22659981346c806f435461e6
delle ancore,False,ancora,anchor,noun,some anchors,"objects,nautical",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Prendo delle ancore.,I am taking some anchors.,546340a3dccf875fedf7a8f1286b09e1aeff970587388a8d7a7b11f2ee76bdd3,a54ad5a2bdf82b6b9c1dbebf596e155fbd65e1bd0e0600891a9566c3f2eb3efb
dell'ancora,False,ancora,anchor,noun,of the anchor,"objects,nautical",,,feminine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',La catena dell'ancora è lunga.,The chain of the anchor is long.,b24d9c351f6fa5e7e05b6e3ddbb7913e8e118c7c0b5fd6bee7e42464c2f2bbfa,f584910adaf052c5e61d5e00282acdd1bf8e63211d3cf33ed1d36f5893efb74b
all'ancora,False,ancora,anchor,noun,at anchor,"objects,nautical",,,feminine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',La nave è all'ancora.,The ship is at anchor.,4635322096141d8c05c8c788f755959827eef14a11e26f10a7d4270a613f7f70,fb92374ba8124fb80f3823262e178d2e05fd90f86437ccf76c5c45e07c60dfbd
alle ancore,False,ancora,anchor,noun,to the anchors,"objects,nautical",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Andiamo alle ancore di riserva.,We are going to the spare anchors.,52f3a89b746cab89bb85af4581ee6ea6befd85f446b79d235f159dd6e978eb97,9495510375e71405cdcac957a63199c3fe94c4e9f3f8ad77ee28e6843a29afbd
dall'ancora,False,ancora,anchor,noun,from the anchor,"objects,nautical",,,feminine,singular,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',La corda parte dall'ancora.,The rope starts from the anchor.,17ab7204df810b65ad0eb36e2cae5b85d8ffac2f261386c77659d797a2e344c1,265d99eba744b929913d36e96a818efcb6f9874522db5d04b756412f4beace5d
