term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
dovere,True,dovere,obligation; must/have to,noun,duty,"core,obligation",,,masculine,singular,,,False,False,False,,,,,base lemma,Parliamo di dovere e rispetto.,We talk about duty and respect.,a3f9902bb7b6c27a714785b264fefd8c64a2e12969fad77cc5cfd2b2e41e430c,864ec150488964988d72a895986019762e53643bd53edf5dbfcac4b667f34287
un dovere,False,dovere,obligation; must/have to,noun,a duty,"core,obligation",,,masculine,singular,,,False,False,False,indefinite,un,un,,,È un dovere civico.,It is a civic duty.,7af6e0498ac21e777fd3d4c4bf3cf95526aedbdf68f06c6fb34a14bb2767bc42,76f7bc2123b190fcb459c730ce8bc12fca059b06af72e18d27969aa1be7ae6d6
il dovere,False,dovere,obligation; must/have to,noun,the duty,"core,obligation",,,masculine,singular,,,False,False,False,definite,il,il,,,Il dovere prima del piacere.,Duty before pleasure.,5b0d4f2560596536953beb2ca0526ce4c14954dcd9d4b293481d19c8718f214b,1a7c494c0a7fec48c5b1a5fd1bafcbe9b5c4227ebc3f3af0c978569b33819c77
doveri,False,dovere,obligation; must/have to,noun,duties,"core,obligation",,,masculine,plural,,,False,False,False,,,,,plural form,Ho troppi doveri.,I have too many duties.,0942f767ada907c36039d8453e3169f95a6afcecb071dccd254dc3dbe799f41e,7a54aa84340dcdfe7d457cb8c9e79a3d90f43e50dd9abe4f42d333e3cee2d61f
i doveri,False,dovere,obligation; must/have to,noun,the duties,"core,obligation",,,masculine,plural,,,False,False,False,definite,i,i,,,I doveri vengono prima.,Duties come first.,5e69d3c0713625dbf6873cfb9500eadab509696b6ab70b05a6de06f7b7be5016,7c03b8f372b1332a29ea425509236db3efb8d696c02fb2e9a4ff26eab7556820
dei doveri,False,dovere,obligation; must/have to,noun,some duties,"core,obligation",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural form,Affronto dei doveri difficili.,I face some difficult duties.,3b543a3b4d1df09536b7bf9a34cf21ea052128c9f899bcf93bc4574d0769b5a4,79059e2d560df4c230e071e9d3e6ae2cfda1b6147d949c74898da138d1a3f1b0
del dovere,False,dovere,obligation; must/have to,noun,of the duty,"core,obligation",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Conosco i limiti del dovere.,I know the limits of duty.,292acc1eea611f85ae30300ec17f76120adb7f107ac5890ecdd4cb9c1548c28f,bcc66f1e61888ad9322bba41f322d72591e1e07d90b4761a7ce4ee2db24ed74e
al dovere,False,dovere,obligation; must/have to,noun,to the duty,"core,obligation",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Mi richiama al dovere.,It calls me back to duty.,5bea288b0dcc7b3dd6023b4fd52a239675ac9d12cd6510c1f69e6a939b2ef703,a0e31a34347a61eb2747490ff37324c210778eb45af3a6b308bc14c3f2c61e2e
dal dovere,False,dovere,obligation; must/have to,noun,from the duty,"core,obligation",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Si allontana dal dovere.,He moves away from duty.,d5185f9b287ff0a3b37188bc9101fe35fed80c5b72277dd168065d50bab2d405,f5a15362f0b5ea42ac9960ebab4344597c0f32df8c8fa52dc485d0aa97a8dccd
nel dovere,False,dovere,obligation; must/have to,noun,in the duty,"core,obligation",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Trova senso nel dovere quotidiano.,He finds meaning in daily duty.,a4927d46a7161e3a31462de66cee3ba61eeaed76fc77045e3b5cde148ed47261,7baa66f2305905aa1cf0dcb916fd6b09ad4081a375be061275e1d8908db3fe0b
