term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
oro,True,oro,gold,noun,gold,"materials,jewelry",,,masculine,singular,,,False,False,False,,,,,mass noun; plural ori used for jewelry,Cerco oro puro.,I am looking for pure gold.,74a0c4377db849cf501ca14e3e200a2e0ddcb889306fb686dd09aa4c9f4361c9,88b8e0cf96e3c1d1ee67abcd4f320918bef8e5e3affd5f27bd083403485b660d
un oro,False,oro,gold,noun,a gold,"materials,jewelry",,,masculine,singular,,,False,False,False,indefinite,un,un,,rare; used for medals,Ha vinto un oro alle Olimpiadi.,He won a gold at the Olympics.,db3bd1f13b0ebb082e4e506c3dfcb6c2c7672583a055653c30285a6a342f4faa,b8fe42480d8b142a0d4f95ae6e6e1932c8dfbd13b97092e047d4b9498c41c6e2
l'oro,False,oro,gold,noun,the gold,"materials,jewelry",,,masculine,singular,,,False,False,False,definite,l',l',,,L'oro è salito di prezzo.,Gold has gone up in price.,1739c95b43b1f28da6e3b930c6de201cf1bcc3483fcb9d7d9f7b06921e219142,c96df41d7ca99c637de023948bc981cc37f2a1c7870c42aee0dcfe40be0ec12f
ori,False,oro,gold,noun,golds,"materials,jewelry",,,masculine,plural,,,False,False,False,,,,,plural refers to gold items,Espongono ori antichi.,They display ancient golds.,be84bb3b04ff0219cb1dd5e8948ce4f3b5002f020565a5221746ce857151892c,1d42d1c8ae7e458ee707e9134c2d17c11d9c251ae2549dfc1409171e2539b540
gli ori,False,oro,gold,noun,the golds,"materials,jewelry",,,masculine,plural,,,False,False,False,definite,gli,gli,,,Gli ori brillano in vetrina.,The golds shine in the shop window.,b2cf7a038447fb53d58281955eb02a20504b283a269e186577dc713c00773913,a56bc16b5cdd1452c3ecee08ef717d4be6df5796971d625688553dc3c345a380
degli ori,False,oro,gold,noun,some golds,"materials,jewelry",,,masculine,plural,,,False,False,False,indefinite,gli,degli,di,partitive plural form,Ho visto degli ori rari.,I saw some rare golds.,ff2f0205b22bdb710b655a73a66d9152616dc3db0913b079ec2859c9e55e9bcd,9e19ab0c1cb94a6b560f101a299f0d207df67764d6cb5150396ff51f77db6356
d'oro,False,oro,gold,noun,of gold,"materials,jewelry",,,masculine,singular,,,False,False,False,,,d',di,elision of di before vowel,È un anello d'oro.,It is a gold ring.,224363d4c4c4ac7253cb65911258b3740d15270b36b6bfc9aee3b6f32dc6d51d,e7b89e7eb2d9c3368f809ec3f095eb7543a164c705b3c5a860b7c3ae6d870ca7
dell'oro,False,oro,gold,noun,of the gold,"materials,jewelry",,,masculine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',Il prezzo dell'oro aumenta.,The price of gold is rising.,2b5e40517fa372308250d092d600dd3d8638133fafdff5f58b63f440bd0e1c50,9a8880869e46dd8e3862f8214b25e81d78a8c5c162c91e3c4c2cb8c4d70d3aa6
all'oro,False,oro,gold,noun,to the gold,"materials,jewelry",,,masculine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',Sono allergico all'oro.,I am allergic to gold.,be242e39ac9a31ed74144679fd045fbea580fb8994fe1991651e1de6852c4d01,3e4cc6247a3e63f0c25675d9834e62fd5d6ad9cf9d28d2d16db3e58285d67cdb
agli ori,False,oro,gold,noun,to the golds,"materials,jewelry",,,masculine,plural,,,False,False,False,articulated_preposition,gli,agli,a,contraction of a + gli,Facciamo attenzione agli ori.,We pay attention to the golds.,eec0f138a003aeb32612b724035d0468db04abf7ebd5cdb008816eac6f7203c9,5eb99b5510472e033d1b24b707449565c966ae4424c18cbba9f1824d769fac85
