term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
entrata,True,entrata,entrance,noun,entrance,"places,buildings",,,feminine,singular,,,False,False,False,,,,,base lemma,Cerco entrata laterale.,I am looking for a side entrance.,59eead08c7bc6a33d0401115eed404a8ba2ea74e07a0b87b4abb9f30523fabb2,d342ffb3a220e3aaf6d7fdb4e26c1251e932b115c11170d5f3636eba8b890769
un'entrata,False,entrata,entrance,noun,an entrance,"places,buildings",,,feminine,singular,,,False,False,False,indefinite,un',un',,elision before vowel,C'è un'entrata sul retro.,There is an entrance in the back.,4456e55ac4fb9f88d598a7fc797822ef11fe07e7eed7e9cf8746664ae1aa1c63,3e2952b75f47a3c348b1208d9e848113509f4a16eb3f948ce0f7680ae2f6db02
l'entrata,False,entrata,entrance,noun,the entrance,"places,buildings",,,feminine,singular,,,False,False,False,definite,l',l',,before vowel,L'entrata è chiusa.,The entrance is closed.,afdae99cd5a3de9c539cb1d841f705e9a1eab197f87842e7acf7acf9af81fb64,5d052a2f74325337424cbd1deafc1bd3096ab10804e3db0dc4fc3837803c9d59
entrate,False,entrata,entrance,noun,entrances,"places,buildings",,,feminine,plural,,,False,False,False,,,,,plural form,Entrate laterali sono bloccate.,Side entrances are blocked.,c4f60467760bb8795ee30f014068335e0c88130e83c715516faa3b0ee171959a,be306d7a7827169b50b04b3e0cbc8e4967c41871a2e801942763cc809b74ac30
le entrate,False,entrata,entrance,noun,the entrances,"places,buildings",,,feminine,plural,,,False,False,False,definite,le,le,,,Le entrate sono sorvegliate.,The entrances are supervised.,1ed0ad5d0f949a4fd9f2db1af708b0f19337c0b68db466a61a723d28a7bf60dc,694b6cb57b6ee786c3c3b9174d3c7aec4ab2566c24e1a78484ae4fb50aa20443
delle entrate,False,entrata,entrance,noun,some entrances,"places,buildings",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Ho visto delle entrate nuove.,I saw some new entrances.,9c46655edcbdc8c508072451835a9b6b1b0dc8ce21886f6b74ebf59eb8c36466,79c19b2e20bddf4b98e2525cefeed257abf1e091364de61fbf0fade5d459a1ef
dell'entrata,False,entrata,entrance,noun,of the entrance,"places,buildings",,,feminine,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',Il colore dell'entrata è blu.,The color of the entrance is blue.,bde03de52e42ea211d2207cefe9e133654e20a453239be5ae677a14326a0ca34,3898e426acc1d5008b5b4b3d691aefdc0f2c13529c9c33427318d3c13769ce95
all'entrata,False,entrata,entrance,noun,at the entrance,"places,buildings",,,feminine,singular,,,False,False,False,articulated_preposition,l',all',a,contraction of a + l',Paghi all'entrata.,You pay at the entrance.,28744d89a10eed76e002419faf02710369cf8396676f433f465c6c05075441a3,683343d654d5b01e0368c77937446f7f91ff550da82a2a57f9e8641e465b7887
alle entrate,False,entrata,entrance,noun,at the entrances,"places,buildings",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Metto cartelli alle entrate.,I put signs at the entrances.,faf5ec3a5c59772b4b10e27cad8275702e423241109a7eb8c786bbcbd3ca4816,96f84c2a08a56e596f5b2595025c3cd36aa9d67700aa845ca17652ef92724fe8
dall'entrata,False,entrata,entrance,noun,from the entrance,"places,buildings",,,feminine,singular,,,False,False,False,articulated_preposition,l',dall',da,contraction of da + l',Rientra dall'entrata principale.,He comes back through the main entrance.,9886ae7df5e6c3575f3d3ce6292a0569cd714b763842d8c3fb924351e40f896d,a5afaf29c894cc511f93f19e4a35f5c752bc6edf31cba6231973c7f8d21b88d0
dalle entrate,False,entrata,entrance,noun,from the entrances,"places,buildings",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,La folla passa dalle entrate.,The crowd goes through the entrances.,0d5669b24b76dff58a0532cb0197b4fc1b275ab0dbc9ddad7aa5e1daa7e84779,65b80d4e2c83171da4962a55da88f2d2055c914401e3de006fa58d41177d4a1f
nell'entrata,False,entrata,entrance,noun,in the entrance,"places,buildings",,,feminine,singular,,,False,False,False,articulated_preposition,l',nell',in,contraction of in + l',C'è una pianta nell'entrata.,There is a plant in the entrance.,bc244fe09b26a05a1a906cc0643264b1f9502836d116d9216022c851ab2ab1eb,fec14b3c10b6bc94852bc3d63fc7543ed33cf4867e8f5207f84155ced4f17594
nelle entrate,False,entrata,entrance,noun,in the entrances,"places,buildings",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le,Mettono tappeti nelle entrate.,They put rugs in the entrances.,0d673a261e6de8211672fc3dac35625886bce918c7b232b0ee583c076e08191e,f47c69f2b329047a1efccbc6dbbdd0a385bdd9e27676c3e8fbc52accfcbf1718
sull'entrata,False,entrata,entrance,noun,about the entrance,"places,buildings",,,feminine,singular,,,False,False,False,articulated_preposition,l',sull',su,contraction of su + l',Hanno scritto un avviso sull'entrata.,They wrote a notice about the entrance.,f98373095a76196b56a673812cfe5cf8d37d3300a6ffe9429322da20d67ce77e,76c6a4ef379de3ea0ee47f37573402342ef789ba724e66bdf6b3a3af4c9f30fa
sulle entrate,False,entrata,entrance,noun,about the entrances,"places,buildings",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le,Ci sono luci sulle entrate.,There are lights over the entrances.,27292c69fd3fc5967bdb105ae3b162ee8d45bf7a73d2fa3fea5bfb7d1e621ee2,90f535692dc08a544e84dc22eacc0d77b4eeb9f5ea5d92c60d3194a7c1d054aa
con l'entrata,False,entrata,entrance,noun,with the entrance,"places,buildings",,,feminine,singular,,,False,False,False,articulated_preposition,l',con l',con,no contraction; elision before vowel,Ho un problema con l'entrata.,I have a problem with the entrance.,ad723d0aa40ea4c5ad62ebd4a5cdb5f93fd9c7902f8e0846cda1e89881f779a3,278b444b0a67ddd698d19bf942b843d65a9b1735e14d6ccc8c686eda3dccb177
con le entrate,False,entrata,entrance,noun,with the entrances,"places,buildings",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,no contraction,Ci sono problemi con le entrate.,There are problems with the entrances.,932fc58073ece896b0381c8c2df29a8ef9810643706ed650d0b423ff68bd3668,02268424b74cf5b5335aed260de3c3db65e922bd0833838fef4c59046ca56ca3
