term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
napoli,True,napoli,Naples,noun,Naples,"places,geography",,,feminine,singular,,,False,False,False,,,,,"proper noun, city name; article often omitted",Napoli è bellissima.,Naples is beautiful.,29eceb8f10e6e6de8f3c855cd4fd04f673c1b7cca8956ed5241047a31025887c,1176.0,ab4ff20f973a0953432647d0a6c58916cb116669699f137225f2ffbf725ab3ae,1368.0
una napoli,False,napoli,Naples,noun,a Naples,"places,geography",,,feminine,singular,,,False,False,False,indefinite,una,una,,proper noun; indefinite article used rarely in special contexts,Conosco una napoli diversa.,I know a different Naples.,4433d42a47fedea209db43e07109a2ce8f598909b1ae3b4806d41306187b15ce,1344.0,eceb3dca63a445bf5d94499fee3b01b7b6bc13829a1a4b69461246a528a23925,1560.0
la napoli,False,napoli,Naples,noun,the city of Naples,"places,geography",,,feminine,singular,,,False,False,False,definite,la,la,,definite article; often omitted before city names,La napoli che conosco è rumorosa.,The Naples I know is noisy.,897804e81b171b604efdcea69a7d098050534fa06c0c6e81b4596542c2932839,1752.0,0483849b28ae6d6374eaca7015eed7ea00789cffc4ca08650dd1eace26daffc5,1488.0
napoli,False,napoli,Naples,noun,Naples,"places,geography",,,feminine,plural,,,False,False,False,,,,,plural identical to singular; plural use is rare,Napoli sono celebrate in molte canzoni.,Naples are celebrated in many songs.,29eceb8f10e6e6de8f3c855cd4fd04f673c1b7cca8956ed5241047a31025887c,1176.0,ab4ff20f973a0953432647d0a6c58916cb116669699f137225f2ffbf725ab3ae,1368.0
le napoli,False,napoli,Naples,noun,the Naples,"places,geography",,,feminine,plural,,,False,False,False,definite,le,le,,definite plural form (rare),Le napoli antiche non esistono più.,The old Naples do not exist anymore.,364bdc91e8e7c1bee82c3a69559de7bfbdceacc4a82d6b06681807e946909f2b,1320.0,38353f35d0e2ddb7d299b65ef804a52d9187237c75180d48200507ee4a385b2a,1488.0
delle napoli,False,napoli,Naples,noun,some Naples,"places,geography",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form; used metaphorically or poetically,Ho visitato delle napoli storiche.,I visited some historic Naples.,b49d4a8f4b47a430584ac49773d98b15bcdb0569adf202c0255ef118fe0c3c1d,1488.0,cde1ecf29d299ac367e800c4dfeda3dd628b2eeb006d9527c57b17c6126d5a41,1680.0
della napoli,False,napoli,Naples,noun,of Naples,"places,geography",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il centro della napoli è affollato.,The center of Naples is crowded.,eefcc90e4ec5f66ffdad20c87ad1beb81feaba5638225001a67e558b2a848db5,1344.0,58f5b4bb3b8488026f3b8cec0fc24f8d9944b942e17ad9fa11fc5ebe649e8a4c,1680.0
alla napoli,False,napoli,Naples,noun,to Naples,"places,geography",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la; standard form is often simply 'a Napoli',Vado alla napoli domani.,I am going to Naples tomorrow.,f2fc346c55fe6b05168418a3bf9dbe8d0e600f8e5900e449312201dd80a9e3e1,1344.0,a128b0e1bd48050947c07a3d069fc76bcdfa2d5602b06a642a8eed4ef62b0702,1584.0
alle napoli,False,napoli,Naples,noun,to the Naples,"places,geography",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le; plural form uncommon,Arriviamo alle napoli per le feste.,We arrive at the Napless for the festivals.,61e3e9501c3faf16d39b0f540b482c9a78a12a70dc93acd28e1e8497aa53d932,1464.0,48f85e3454c5f4ea4a66aa9a243d8e21df10a40958eacf9b0402f13b795c7afa,1584.0
dalla napoli,False,napoli,Naples,noun,from Naples,"places,geography",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Vengo dalla napoli.,I come from Naples.,17dcbd687d6b84256577cf64234c9f67330c46fbabff8b46283b7ec1180a0294,1392.0,2d123d8f515e6d133835f5a0b9a4519b789615a8a114a486b4843bb3bfc08d7d,1656.0
dalle napoli,False,napoli,Naples,noun,from the Naples,"places,geography",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le; plural use rare,Sono tornato dalle napoli visitate.,I returned from the Napless I visited.,0b465f28baba2174590e702da098c26bf94426c92584e3946a5f9d93d727749d,1536.0,a8a2924ec18c6620e9454d3df2a97fe3f28c63044c7410e4aa4ac33836322711,1680.0
nella napoli,False,napoli,Naples,noun,in Naples,"places,geography",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Nella napoli si parla napoletano.,In Naples people speak Neapolitan.,a37a1a472708dced91a38500e06b9089e83c198dc6e263ba9e6550acade97bc0,1344.0,55dc04caac928532ef71bb58c00b80e6da8a600608cac4188714fc4c80129e10,1680.0
nelle napoli,False,napoli,Naples,noun,in the Naples,"places,geography",,,feminine,plural,,,False,False,False,articulated_preposition,le,nelle,in,contraction of in + le; plural form uncommon,Nelle napoli antiche c'erano mura.,In the old Napless there were walls.,1915c3b70a0cee571545d5322884fbd1f0d793cb278c6bfabf423791172000ba,1440.0,eabe665ef1a7257153fa98fa2136e4f3173ddc1999f366cd4a08cbb686d91455,1680.0
sulla napoli,False,napoli,Naples,noun,about Naples,"places,geography",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la,Ho letto un articolo sulla napoli.,I read an article about Naples.,ca30d64439140fad839a4921aaf0f895f7cb0010141ebdaac7f5e6b1a1ca835f,1536.0,88709ec55c619a5afd91a5303d2b9ca5ee98169cfcc98682ec9b2060becdf889,1728.0
sulle napoli,False,napoli,Naples,noun,about the Naples,"places,geography",,,feminine,plural,,,False,False,False,articulated_preposition,le,sulle,su,contraction of su + le; plural form uncommon,Ho informazioni sulle napoli storiche.,I have information about the historic Napless.,08e96f75eecad4d1038b01e5a385cd06527099c378826058917769177fc0f8f5,1608.0,fb2fd9d0ecfd55eedc31bc1c2bf99c952a312bf5cec2c7508cb49a755a9f2d9b,1728.0
con la napoli,False,napoli,Naples,noun,with Naples,"places,geography",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,con + la is not contracted; used in formal contexts,Collaboro con la napoli per un evento.,I collaborate with Naples for an event.,1b3c5246e5cd7231645b3f60edc552fc2c7ea7c86491724e463775f27066abfe,1416.0,6fc93d48f7bd047bf7a4b3f6629474d0b2321c4a0653569a53ee83b8792659cb,1680.0
con le napoli,False,napoli,Naples,noun,with the Naples,"places,geography",,,feminine,plural,,,False,False,False,articulated_preposition,le,con le,con,con + le is not contracted; plural form rare,Lavoriamo con le napoli gemelle.,We work with the twin Napless.,61b7fe02f90215acdef676e73c70a27eadb7a0d8422f8326fb6420a96ddbb467,1488.0,c7f88862f7501966d64989951c799ebd3a9e51d1d873834e456eaeac2b8d89eb,1680.0
