term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms
paese,True,paese,country,noun,country,"geography,community",,,masculine,singular,,,False,False,False,,,,,can mean 'village' or 'country',Il paese è tranquillo.,The town is quiet.,c2208e4e67a65e640196f05bab5af87a75f404daac55a9faaebd724d74416526,1128.0,83adf2cc4546a95f9b8d069ed883b2c8257a1abc62083e4699093472ab4b5a36,1344.0
un paese,False,paese,country,noun,a village,"geography,community",,,masculine,singular,,,False,False,False,indefinite,un,un,,,Conosco un paese vicino.,I know a nearby village.,df1a03954689799be4a43e795125da7a92f15967d1c7c8b7e2ee2d8134f29e95,1224.0,c51913505a9ca9e67de63e371e551b1e676d77a39214e5782a8634f3e867bd2a,1512.0
il paese,False,paese,country,noun,the country,"geography,community",,,masculine,singular,,,False,False,False,definite,il,il,,,Il paese è isolato.,The country is isolated.,651b9f6e11aa2d7022265ae2cebae07b75c65c7d5e7c93554efb41d898c65ab8,1272.0,43beed20841551d750e703375880db94ba91a967e1a6e3d505c148927bd86c36,1536.0
paesi,False,paese,country,noun,countries,"geography,community",,,masculine,plural,,,False,False,False,,,,,,I paesi sono vicini.,The countries are nearby.,379c9a4b955a69c3b14bc07b5dde0e29b0371e5c8c0465caddcdf54614bf99d6,1224.0,f4384a60a85992687a964980b0486db35d0247ef3568421c6714080967985009,1368.0
i paesi,False,paese,country,noun,the countries,"geography,community",,,masculine,plural,,,False,False,False,definite,i,i,,,Ho visitato i paesi della regione.,I visited the countries of the region.,8cffbb3a0d71e32d07551d5e9345b175abdad9f6d1f50f78c5c43f092fb2a920,1368.0,7c6468a2619206082533f0b9346cd44cf49152d79326d57f8ed93d8d3536f835,1488.0
dei paesi,False,paese,country,noun,some countries,"geography,community",,,masculine,plural,,,False,False,False,partitive,i,dei,di,partitive plural form,Parlo dei paesi vicini.,I speak about the nearby countries.,b71a0faae018622bb3285f5a77e946e6342a71dc1f60e58b336495c0ca82c4bb,1536.0,d6598ec5903833a15a52d83059fc15a32b18bc2f61629c93427ea4e10d3f9265,1632.0
del paese,False,paese,country,noun,of the country,"geography,community",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,Il nome del paese è antico.,The name of the town is old.,b90f7c092dac7b568f3128aafa5729fe766622926d3befc2a33863f3001dae53,1392.0,fe2350ac11d70ce39a67337f5960986454e885278abe5fcdbef9629aca467188,1608.0
al paese,False,paese,country,noun,to the village,"geography,community",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Andiamo al paese stasera.,We are going to the village tonight.,4944b026c46f6e8281980bc123b901e4dc49ddac966357b9945dc5bf068f045e,1344.0,a3ca528dcf7c2337b04163e7ee7dbe6e3fd40699862d1723291fde12d7977160,1512.0
ai paesi,False,paese,country,noun,to the villages,"geography,community",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Mando le lettere ai paesi remoti.,I send letters to the remote villages.,9f55d2b25f7890ba89f4cf38156d7c07370d93c1301feac3bfa695601a2dd9a8,1488.0,885e4b15188efd2495415d79336a2fb829ba2f920c7257850f0da3eb8b5b9a04,1560.0
dal paese,False,paese,country,noun,from the village,"geography,community",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Esco dal paese ogni mattina.,I leave the village every morning.,91d96858be35d054687c4814c81b022159beed37f61caad404a7fdb997e2a0e4,1416.0,936995d9ef37531c5a809ef84de6ffbc794d95031a0faba2b9bb5057f85f8567,1608.0
dai paesi,False,paese,country,noun,from the villages,"geography,community",,,masculine,plural,,,False,False,False,articulated_preposition,i,dai,da,contraction of da + i,Arrivano segnali dai paesi lontani.,Signals arrive from the distant villages.,a2f8364d0053a95b87d47dd9c744e64b3841ae5c5ecb7302633f368fb8d4ef84,1560.0,d3bc6e8b711ce4fc252dfd3e05e80f56eff5894c71b22d159c74ec25aa92b5f8,1656.0
nel paese,False,paese,country,noun,in the village,"geography,community",,,masculine,singular,,,False,False,False,articulated_preposition,il,nel,in,contraction of in + il,Lavoro nel paese vicino.,I work in the nearby village.,456cbe41a5f01bc157e086bf50fa09bb796801a259ec6068a89f346f0b62f271,1344.0,496facffb0ff1e52087b8db6028be595d6e03341f09b5856c06ecfa63079514e,1608.0
nei paesi,False,paese,country,noun,in the villages,"geography,community",,,masculine,plural,,,False,False,False,articulated_preposition,i,nei,in,contraction of in + i,Non si coltiva molto nei paesi montani.,Not much is cultivated in the mountain villages.,787df8597f518a034f26db5c5c07d29144a0325d31bd6c5703b24f77c28f8e32,1488.0,4f4b92f49c0b00f92d2a45cd8b832b4fd6d3b125511c11926d90621483a6fe00,1632.0
sul paese,False,paese,country,noun,on/about the village,"geography,community",,,masculine,singular,,,False,False,False,articulated_preposition,il,sul,su,contraction of su + il,Leggo un dossier sul paese.,I read a dossier about the village.,8d0c3c45a2eb7f98e5a14bed5d6314a79edc592b3d07949ebd89005522c657d9,2376.0,5817827596c74cb0a47d4a4067ebb9bbfe7fcde595b1a4eebfd4e943a873e839,1656.0
sui paesi,False,paese,country,noun,about the villages,"geography,community",,,masculine,plural,,,False,False,False,articulated_preposition,i,sui,su,contraction of su + i,Ho informazioni sui paesi vicini.,I have information about the nearby villages.,bcfe81e88215ee202eadac3fe01bd48cb807c76f9aa29387da59ca3f0d3a5983,1656.0,cb620eb000a5396c9f075bba06c0b6fe354cacf3802ad4d10a2037752bec0d76,1776.0
col paese,False,paese,country,noun,with the village,"geography,community",,,masculine,singular,,,False,False,False,articulated_preposition,il,col,con,contraction of con + il,Collaboriamo col paese per il festival.,We collaborate with the village for the festival.,04746945d96851634df4064b7be7e5adf91f341ae4a3e2e6920ec1bd1449fcef,1392.0,df0432291c0cdbd5cd775e06f497995c56067ca6e1b156d0a54a58820c961f5a,1584.0
coi paesi,False,paese,country,noun,with the villages,"geography,community",,,masculine,plural,,,False,False,False,articulated_preposition,i,coi,con,contraction of con + i,Lavoriamo coi paesi limitrofi.,We work with the neighboring villages.,f582523ce7dd88432c9c5b3f6068f8ea73484260f671fdd812fca3e388a86a6a,1536.0,eca9275cbbf54782e6f06d2806185838ed48898326756e0ded1246632643dd29,1656.0
