term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
venezia,True,venezia,Venice,noun,Venice,"Places & Locations,Objects & Things",,,feminine,singular,,,False,False,False,,,,,proper noun; usually used without article,Domani vado a venezia.,I am going to Venice tomorrow.,0cb3f1174af690d8253ddfc711eaf98840ae7cde8b25b995cf6a6679e55c9ba9,1128.0,a14be44e234ffb574d70e6db5810adc0fce2acbae3fab3abdfb685965b37e3fd,1512.0,veh-NEH-dzyah
una venezia,False,venezia,Venice,noun,a Venice,"Places & Locations,Objects & Things",,,feminine,singular,,,False,False,False,indefinite,una,una,,unusual for a proper noun; used poetically or to mean 'a Venice-like place',Ho trovato una venezia in miniatura.,I found a miniature Venice.,6697faa2fd09fbd2438f2a3ea07b37017643964fd0a99c29317b5e08583771aa,1248.0,d0b36f5f9b649fad6379fe6ccbae565b523f013b5956f88cb2cf145d36aed96a,1704.0,OO-nah veh-NEH-dzyah
la venezia,False,venezia,Venice,noun,the Venice,"Places & Locations,Objects & Things",,,feminine,singular,,,False,False,False,definite,la,la,,article sometimes used for emphasis or poetic contexts; usually omitted,Ho visitato la venezia storica.,I visited the historic Venice.,71c30a170095991e1225ad6f8c30c4d7e758d1fcdb8188374fa77644b330c796,1272.0,dc3a5a99aefff67629d9862adb0f86e968cc64b896fac07a3f38fa00335a7271,1656.0,LAH veh-NEH-dzyah
venezie,False,venezia,Venice,noun,Venices,"Places & Locations,Objects & Things",,,feminine,plural,,,False,False,False,,,,,plural rarely used; mostly poetic or historical,In alcune mappe antiche appaiono le venezie.,On some old maps the Venices appear.,f7b09027edb0ba7ad12c84ee00a04b3c2b04b59cf8c8ca59b0142077bafbb784,1272.0,985689103cf3512f7c2de667f7efe1bd460c4fa92652632571d3074b61b47b00,1536.0,veh-NEH-dzyeh
le venezie,False,venezia,Venice,noun,the Venices,"Places & Locations,Objects & Things",,,feminine,plural,,,False,False,False,definite,le,le,,rare plural; cities are normally singular,Le venezie descritte nei testi sono diverse.,The Venices described in the texts are different.,7260900315c838de957a4b6bd3b0bb79ddb9c69c98427edc4cb861ea13fe4a0a,1392.0,3ffa3da4085d5a64950de9f0d816adb5dffd7e6ca9248989e3f2e69c3383ce6f,1656.0,LEH veh-NEH-dzyeh
delle venezie,False,venezia,Venice,noun,some Venices,"Places & Locations,Objects & Things",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form; rare usage for a proper noun,Ho letto di delle venezie storiche.,I read about some historic Venices.,8cff40e31341bab616eda76ce58041802c40864a8552d3698e93f3fb5071dd7f,1560.0,2c760897f67353aeb34c150a380ff2c0cde6c46875306391d9093d1295d9cecd,1848.0,DEH-lleh veh-NEH-dzyeh
della venezia,False,venezia,Venice,noun,of the Venice,"Places & Locations,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la; cities usually used without article,Parlo del nome della venezia antica.,I talk about the name of the ancient Venice.,55a703b9cbc88273c5eb7bc6a2b417d5184db093a0c7eb51ea6ebb7d79527613,1368.0,e74e6af41ecc7556849f7ae87eabbb593c5ada9a928074f7f55cefb0dd763cba,1824.0,DEH-llah veh-NEH-dzyah
alla venezia,False,venezia,Venice,noun,to the Venice,"Places & Locations,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la; typically Italians say 'a Venezia' without article,Siamo andati alla venezia dei miei sogni.,We went to the Venice of my dreams.,025d8c1865cf17224208edd2bd73e25240b48e935d11a7311badb5720d6b3467,1368.0,ab6f999c72b04822384d667f21bcc7d3ccb85de51b2ca1b1ceb31f44190a4085,1752.0,AH-llah veh-NEH-dzyah
dalla venezia,False,venezia,Venice,noun,from the Venice,"Places & Locations,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la; usually 'da Venezia' without article,Sono tornato dalla venezia storica.,I returned from the historic Venice.,c38a690a4aa7f6fe87e7cd4031d8e7a5cb0f841a0bcd2a30b92a14257c0adab5,1440.0,51498b39516250140291bffbdc46fce2b898a3fa1ccc958822edf88d6789526d,1824.0,DAH-llah veh-NEH-dzyah
nella venezia,False,venezia,Venice,noun,in the Venice,"Places & Locations,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la; often 'in Venezia' without article,Ho perso il passaporto nella venezia antica.,I lost my passport in the ancient Venice.,a714656793105956727632792236f8757835897a5f138ee944a5ad98dc2e1de7,1368.0,239c7155703fab1e386c851aadd666fc0db61ff146fbccba31d51f9a2edd7aa7,1824.0,NEH-llah veh-NEH-dzyah
sulla venezia,False,venezia,Venice,noun,on/about the Venice,"Places & Locations,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,sulla,su,contraction of su + la; commonly 'su Venezia' or 'a proposito di Venezia' instead,Ho letto una storia sulla venezia.,I read a story about Venice.,25c1f44950101d8530eefe04735d23f3be3940a7c6c70ec75a1800c3a5674490,2424.0,e735b5426e4871f534c4e702184a5806caae9b39a6d51cab22d6910483357ea5,1872.0,SOO-llah veh-NEH-dzyah
con la venezia,False,venezia,Venice,noun,with the Venice,"Places & Locations,Objects & Things",,,feminine,singular,,,False,False,False,articulated_preposition,la,con la,con,con + la is not contracted; still used in specific constructions,Ho un legame con la venezia del passato.,I have a connection with the Venice of the past.,9f569d30fb9cd9ad379019cad417ac84d8c490d31ddb8e41ba43bbef9ba2cef5,1440.0,8ef8ec0975bc99cf848513298c40d37871386c386e5c4a9d392229bfe485eb1f,1848.0,KOHN LAH veh-NEH-dzyah
