text	lemma	pos	translation_en	token_count	token_pct	group_count	group_pct	parts_lemma	parts_pos	xpos	deprel	feats	token_hash	group_hash	sentence_1_it	sentence_1_en	sentence_2_it	sentence_2_en	sentence_3_it	sentence_3_en
sta	stare	AUX	he/she/it is	2447	0.00234	5344	0.005111	stare	AUX	VA	aux	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	42aeca36-dfa1-58a0-afe2-dd652f5d8015	e467eced-3037-5cbb-bc7d-26495c4bad0b	Chi sta gridando?	Who's screaming?	È possibile che conosca anch'io questa persona adorabile di cui sta parlando?	Is it possible I also know this lovely person you're speaking of?	Questo piano sta venendo discusso proprio ora.	This plan is being discussed right now.
sto	stare	AUX	I am	738	0.000706	5344	0.005111	stare	AUX	VA	aux	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin	d6b26327-a16d-5721-9103-55cf277fad23	e467eced-3037-5cbb-bc7d-26495c4bad0b	Sto solo essendo educata.	I'm just being polite.	Sto parlando con lei su Facebook.	I'm talking to her on Facebook.	Sto migliorando.	I'm getting better.
stava	stare	AUX	he/she/it was	533	0.00051	5344	0.005111	stare	AUX	VA	aux	Mood=Ind|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin	b2de74c9-33f3-5012-a6f1-72e7e5fad2f3	e467eced-3037-5cbb-bc7d-26495c4bad0b	Stava attraversando la strada.	He was crossing the street.	Si stava abituando al fatto che accadessero cose strane.	She was getting used to queer things happening.	Stava lavorando sotto la neve.	He was working under the snow.
stai	stare	AUX	you are	466	0.000446	5344	0.005111	stare	AUX	VA	aux	Mood=Ind|Number=Sing|Person=2|Tense=Pres|VerbForm=Fin	ac01316b-f10c-5174-b841-cfa2d5dc9f72	e467eced-3037-5cbb-bc7d-26495c4bad0b	Che browser stai usando?	Which browser are you using?	Tu stai imparando l'irlandese.	You're learning Irish.	Per piacere, dimmi che stai preparando ciò per il mio compleanno!	Please tell me you're getting this ready for my birthday!
stanno	stare	AUX	they are	445	0.000426	5344	0.005111	stare	AUX	VA	aux	Mood=Ind|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin	94b937cd-286b-5680-ba5b-cbc53cce309d	e467eced-3037-5cbb-bc7d-26495c4bad0b	Loro non stanno nuotando nel fiume.	They aren't swimming in the river.	La stanno facendo tutti.	Everyone is doing it.	Stanno solo dicendo stronzate.	They're just talking shit.
stiamo	stare	AUX	we are	312	0.000298	5344	0.005111	stare	AUX	VA	aux	Mood=Ind|Number=Plur|Person=1|Tense=Pres|VerbForm=Fin	a9d1225b-a05a-5f3c-a461-0a7e5e14877a	e467eced-3037-5cbb-bc7d-26495c4bad0b	Noi stiamo contando su di te.	We're counting on you.	Stiamo lavorando sodo.	We are working hard.	Stiamo vivendo nell'era nucleare.	We are living in the atomic age.
stavo	stare	AUX	I was	111	0.000106	5344	0.005111	stare	AUX	VA	aux	Mood=Ind|Number=Sing|Person=1|Tense=Imp|VerbForm=Fin	097c944a-9389-549e-81c3-db42f9c60b5b	e467eced-3037-5cbb-bc7d-26495c4bad0b	Stavo solo essendo educato.	I was just being polite.	Stavo aspettando Tom.	I was waiting for Tom.	Stavo scrivendo alacremente per l'intera mattinata.	I was busily typing for the whole morning.
stavano	stare	AUX	they were	85	8.1e-05	5344	0.005111	stare	AUX	VA	aux	Mood=Ind|Number=Plur|Person=3|Tense=Imp|VerbForm=Fin	81879692-2c79-5f5a-a3a0-5e0c7ef1b08a	e467eced-3037-5cbb-bc7d-26495c4bad0b	Lui li interruppe mentre stavano facendo colazione.	He interrupted them while they were breakfasting.	Stavano discutendo di soldi.	They were arguing about money.	Mentre stavo camminando per strada, ho visto due gatti bianchi che stavano facendo la pipì vicino ad una ruota della macchina.	While walking down the street, I saw two white cats pissing near a car tire.
stesse	stare	AUX	he/she/it was	49	4.7e-05	5344	0.005111	stare	AUX	VA	aux	Mood=Sub|Number=Sing|Person=3|Tense=Imp|VerbForm=Fin	976acc3f-a443-54c9-a347-85531be04519	e467eced-3037-5cbb-bc7d-26495c4bad0b	È come se l'autore mi stesse leggendo nella mente.	It's like the author's reading my mind.	Sembrava che Tom stesse preparandosi per partire.	It looked like Tom was getting ready to leave.	È la prima volta che mi sono scaccolato in presenza della professoressa. Non sapevo che mi stesse guardando.	It's the first time I have picked my nose in the presence of the teacher. I didn't know she was looking at me.
stavamo	stare	AUX	we were	39	3.7e-05	5344	0.005111	stare	AUX	VA	aux	Mood=Ind|Number=Plur|Person=1|Tense=Imp|VerbForm=Fin	3f10e47c-dd42-5d29-91f7-943e07955e40	e467eced-3037-5cbb-bc7d-26495c4bad0b	Stavamo giocando nel parco.	We were playing in the park.	Noi stavamo cenando quando chiamò Tom.	We were eating dinner when Tom called.	Stavamo solo studiando.	We were just studying.
stare	stare	AUX	to stay	38	3.6e-05	5344	0.005111	stare	AUX	VA	aux	VerbForm=Inf	a65e15e5-038d-5203-9043-611c0232ef0d	e467eced-3037-5cbb-bc7d-26495c4bad0b	Alice cominciava a diventare molto stanca di stare seduta accanto a sua sorella sulla sponda e di non avere nulla da fare: una volta o due aveva gettato uno sguardo sul libro che stava leggendo sua sorella, ma non conteneva alcuna immagine o conversazione, e a cosa serve un libro, pensò Alice, senza immagini o conversazioni?	Alice was beginning to get very tired of sitting by her sister on the bank, and of having nothing to do: once or twice she had peeped into the book her sister was reading, but it had no pictures or conversations in it, 'and what is the use of a book,' thought Alice 'without pictures or conversation?'	Io sono già abituato a stare seduto su un tatami.	I am already accustomed to sitting on tatami.	Noi siamo abituati a stare alzati sino a tardi.	We're used to staying up late.
stavate	stare	AUX	you (plural) were	31	3e-05	5344	0.005111	stare	AUX	VA	aux	Mood=Ind|Number=Plur|Person=2|Tense=Pres|VerbForm=Fin	d783beeb-2eb9-504e-9bf2-02a567e5ad8a	e467eced-3037-5cbb-bc7d-26495c4bad0b	Ma che esame stavate facendo?	What exam were you taking?	Perché stavate parlando con Tom?	Why were you talking to Tom?	Perché gli stavate tenendo la mano?	Why were you holding his hand?
stavi	stare	AUX	you were	31	3e-05	5344	0.005111	stare	AUX	VA	aux	Mood=Ind|Number=Sing|Person=2|Tense=Imp|VerbForm=Fin	074f6824-5d6a-5ad9-8404-6c2699186e05	e467eced-3037-5cbb-bc7d-26495c4bad0b	Non ero consapevole che ti stavi sentendo male a tal punto.	I wasn't aware that you were feeling that bad.	Perché stavi parlando con lei?	Why were you talking to her?	Ho trovato esattamente quello che stavi cercando.	I found the very thing you had been looking for.
stiano	stare	AUX	they are	12	1.1e-05	5344	0.005111	stare	AUX	VA	aux	Mood=Sub|Number=Plur|Person=3|Tense=Pres|VerbForm=Fin	fde6ea1e-acc8-5a3d-8a2b-1d129c680414	e467eced-3037-5cbb-bc7d-26495c4bad0b	Non mi sembra che loro stiano sudando.	It doesn't seem to me that they are sweating.	Sembra che stiano andando a Kashgar.	It sounds like they're going to Kashgar.	È un peccato che loro stiano divorziando.	It's a pity they're getting divorced.
starò	stare	AUX	I will be	3	3e-06	5344	0.005111	stare	AUX	VA	aux	Mood=Ind|Number=Sing|Person=1|Tense=Fut|VerbForm=Fin	d889e1f3-991e-508d-9e1c-4d9c9fbd2a94	e467eced-3037-5cbb-bc7d-26495c4bad0b	Io starò viaggiando in Europa la settimana prossima.	I will be traveling in Europe next week.	A quest'ora domani starò studiando in biblioteca.	This time tomorrow I'll be studying in the library.	Io starò viaggiando in Europa la prossima settimana.	I will be traveling in Europe next week.
staranno	stare	AUX	they will be	2	2e-06	5344	0.005111	stare	AUX	VA	aux	Mood=Ind|Number=Plur|Person=3|Tense=Fut|VerbForm=Fin	362fe580-b33d-5243-aa2c-bc69bfe881fa	e467eced-3037-5cbb-bc7d-26495c4bad0b	Staranno dormendo.	They'll be asleep.	Staranno aspettando.	They'll be waiting.		
stò	stare	AUX	I am	1	1e-06	5344	0.005111	stare	AUX	VA	aux	Mood=Ind|Number=Sing|Person=1|Tense=Pres|VerbForm=Fin	98325042-fbca-54ad-a696-37cb6972795b	e467eced-3037-5cbb-bc7d-26495c4bad0b	Stò cercando la mia chiave.	I'm looking for my key.				
stà	stare	AUX	he/she/it is	1	1e-06	5344	0.005111	stare	AUX	V	root	Mood=Ind|Number=Sing|Person=3|Tense=Pres|VerbForm=Fin	3682c367-e158-55f3-8052-89784f61b4b0	e467eced-3037-5cbb-bc7d-26495c4bad0b	Stà attento!	Pay attention!				
