term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash
cui,True,cui,which/whom,pron,which/whom,"grammar,pronouns",relative,,,,,,False,False,False,,,,,invariable; often used with a preposition,La persona cui scrivo vive a Roma.,The person to whom I write lives in Rome.,0fd229e9bc11128ee3516a1d8c07eb3846aa49a9a17e3ff8186160e74d1aa821,2faa32ed86947b2045befc4d17f483f8dd0a2ddeed1d63d47357401ac7de3b82
a cui,False,cui,which/whom,pron,to whom/to which,"grammar,pronouns",relative,,,,,,False,False,False,,,,,invariable; used after prepositions,La persona a cui scrivo è mia zia.,The person to whom I write is my aunt.,402809f9b9bb4cb47de542b78f49b01ef1d443190b321a699aa53c79dfa2dec1,706f426244dadb727d18430739ed38cb4e8d6559d78905b019b5f31281c133a9
di cui,False,cui,which/whom,pron,of which/whose,"grammar,pronouns",relative,,,,,,False,False,False,,,,,invariable; also expresses possession,Il libro di cui ti parlavo è qui.,The book I was telling you about is here.,1724c6350c030227812052ff7b1d1977ed74411e92ee7c4df6e0848847874a90,f0aec571392921f3f1b616d2caa9b08c7fa5ca66736694fd3ed8be9e23493725
da cui,False,cui,which/whom,pron,from which/from whom,"grammar,pronouns",relative,,,,,,False,False,False,,,,,invariable; origin or source,La casa da cui vengo è lontana.,The house I come from is far away.,4b3e70c9a2eb2c0982381395eee6cac7354dc4bca55ea5dc68fcee8909150b1e,21b7f7393186442500d70d033cd32f8861d7bf64cb8dab40cf273de602a122c4
in cui,False,cui,which/whom,pron,in which/in whom,"grammar,pronouns",relative,,,,,,False,False,False,,,,,common in formal style,La casa in cui vivo è piccola.,The house in which I live is small.,1046ad213c2d52190a92031ad51f06ca09f952da7a146fddeb7c623c1f1e8172,5abed5299d608386673cb824d62f9608d280b5974afb0e16f738ea7122b51ee7
con cui,False,cui,which/whom,pron,with which/with whom,"grammar,pronouns",relative,,,,,,False,False,False,,,,,invariable; accompaniment or instrument,L'amico con cui esco lavora qui.,The friend I go out with works here.,20983c824aa4bd2a89d2947090930b219b65795609a6f7f29ac25a96dc947a70,4013d2f16d7fdf92d6929cb1fba35cd7e67d1c7a1898cb3d8254c62b0d69ed4e
per cui,False,cui,which/whom,pron,for which,"grammar,pronouns",relative,,,,,,False,False,False,,,,,invariable; reason or purpose,Il motivo per cui sono qui è semplice.,The reason why I am here is simple.,05782f0d16bc134824cc2b6e392a6ff9525b9aca4eaba6e0a0e27a50a4115587,a3df4db6553c549bb3d2bb0a9f9b4ccc781ad24fb3d8a7d0896cfd3977c2c1d9
su cui,False,cui,which/whom,pron,on which/about which,"grammar,pronouns",relative,,,,,,False,False,False,,,,,can also mean 'about which',L'argomento su cui stiamo discutendo è serio.,The topic about which we are discussing is serious.,3b2917197041a658731936568f7233b11a24c0a933ca5b503eb7d16f47ce2270,6d3fd01a41885a3a5ee405d538116865c6332c3e1ef7a1fa6958a47332125609
tra cui,False,cui,which/whom,pron,among which/among whom,"grammar,pronouns",relative,,,,,,False,False,False,,,,,also spelled 'fra cui',Ho tre opzioni tra cui la tua.,I have three options among which is yours.,7c13ea383b06cb2af7df82d882e18a0ead6c8228a3ff652b165299429d64edd3,0d986df93e86448a5c11de954e860055ccd73a38ad441a0d80cdae7950d17526
fra cui,False,cui,which/whom,pron,among which/including which,"grammar,pronouns",relative,,,,,,False,False,False,,,,,invariable; selection among a set,Ci sono opzioni fra cui due molto buone.,There are options including two very good ones.,04f3df6a6b0245972e488bce615dfa51b24a59dc0ab31be2e8ff6a1edaeb2762,d702645d9e9e534a1e7fad2ad1d54d19edf7c81c9e1069f904c706a5169c5e5e
sotto cui,False,cui,which/whom,pron,under which,"grammar,pronouns",relative,,,,,,False,False,False,,,,,invariable; literal or figurative 'under',Il ponte sotto cui passiamo è antico.,The bridge we pass under is old.,b637f3c5313b99cf20a672e90ccde94aacc661148ab6b05db58532458054b9dd,aae74805bfac9798c15b753d819bd112c9c855050a67138c42a89d78cd4bdcb7
senza cui,False,cui,which/whom,pron,without which,"grammar,pronouns",relative,,,,,,False,False,False,,,,,invariable; 'without which' for necessity,È un aiuto senza cui non ce l'avrei fatta.,It is help without which I would not have managed.,6ee2a592f91f2e2d9ee031c0da25c8761825635ce84b7095ad0248e1c7982187,47fce332a6815c7ef355d34f67067a5a6f1ebdbd91e30235fd1ca0d1eda5018d
