term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
abitante,True,abitante,inhabitant,noun,inhabitant,"People & Titles,Objects & Things",,,,singular,,,False,False,False,,,,,common-gender noun (masculine or feminine),Cerco abitante locale.,I am looking for a local inhabitant.,36232b0004b2a44a63d3cda6d2b2d191bf66b3fd44cb6f26b1ddea8d96a8a90d,97b856208cc535ec0dcccd73c8f40a7763018cf0882840e982aaa2adb947b12a,1344.0,1584.0,ah-bee-TAHN-teh
un abitante,False,abitante,inhabitant,noun,an inhabitant,"People & Titles,Objects & Things",,,masculine,singular,,,False,False,False,indefinite,un,un,,masculine form,Conosco un abitante del posto.,I know a local inhabitant.,30bf5ed56a92a0753a8cfe27bc93d5f3a25d045c7fd44fb892f6568c8f53bf2d,7c1b389040e8ee17c8324c6be13793e67b14de8a4132253a93af2ef3220c1fa4,1488.0,1752.0,OON ah-bee-TAHN-teh
un'abitante,False,abitante,inhabitant,noun,an inhabitant,"People & Titles,Objects & Things",,,feminine,singular,,,False,False,False,indefinite,un',un',,feminine form,Parlo con un'abitante del quartiere.,I am speaking with an inhabitant of the neighborhood.,b20588cd965feec5976bc9ce948724e96887c967d26b7992330e06288bb2f27e,7c1b389040e8ee17c8324c6be13793e67b14de8a4132253a93af2ef3220c1fa4,1488.0,1728.0,oo-nah-bee-TAHN-teh
l'abitante,False,abitante,inhabitant,noun,the inhabitant,"People & Titles,Objects & Things",,,,singular,,,False,False,False,definite,l',l',,before vowel,L'abitante aspetta fuori.,The inhabitant is waiting outside.,085b5161c8fffe0f1379191431ecc736a7d13e7dd07837a14908b5bcb55d9d99,ebf2a521b850f15b990ab9cc83d4f178c5e4c1aa184e0c4690df1b49f6411a17,1536.0,1656.0,lah-bee-TAHN-teh
abitanti,False,abitante,inhabitant,noun,inhabitants,"People & Titles,Objects & Things",,,,plural,,,False,False,False,,,,,plural form,Abitanti locali organizzano una festa.,Local inhabitants are organizing a party.,8488899e99c5f11fcdc062e78d3186b764a2e47dedc4a503352b6862797e6be8,13cd91fb65322f7f959e348983a73cb6787ef56c77d234778b0be90313c6e0ca,1416.0,1608.0,ah-bee-TAHN-tee
gli abitanti,False,abitante,inhabitant,noun,the inhabitants,"People & Titles,Objects & Things",,,masculine,plural,,,False,False,False,definite,gli,gli,,masculine plural form,Gli abitanti votano domenica.,The inhabitants vote on Sunday.,9d2224673d1d17e426ed4dbaabf77e8204e6a5ed3f0c32f381e6f0e40540d9a8,4305ace3317ecb21c525b244a65ebfdcc8ff8ed9a29b548ceb98a6c7222e44fd,1560.0,1872.0,LY ah-bee-TAHN-tee
le abitanti,False,abitante,inhabitant,noun,the female inhabitants,"People & Titles,Objects & Things",,,feminine,plural,,,False,False,False,definite,le,le,,feminine only,Le abitanti protestano in piazza.,The female inhabitants protest in the square.,38772d2ac1545e4d5fe0cc940d058f065630804f8c21fe7a086fbd6df0eb769f,cc3f7b944550794c4260ffdc1e05cbf693ee45f7dd35daadd4fc652b2918a8db,1992.0,1776.0,LEH ah-bee-TAHN-tee
degli abitanti,False,abitante,inhabitant,noun,some inhabitants,"People & Titles,Objects & Things",,,masculine,plural,,,False,False,False,indefinite,gli,degli,di,partitive plural form,Parlo con degli abitanti del paese.,I speak with some inhabitants of the town.,c467f39c8643249cac86ba230effd5f49bee90dfca5d01c61c16511d157cdab4,bf6f421e096c34c111998b0d469a49c081cda6d55192083a45a32d927f8b634a,1704.0,1944.0,DEH-ly ah-bee-TAHN-tee
delle abitanti,False,abitante,inhabitant,noun,some female inhabitants,"People & Titles,Objects & Things",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form (feminine),Ho intervistato delle abitanti del quartiere.,I interviewed some female inhabitants of the neighborhood.,322fc6550bbc05a989aa60d62411a54a16ecdc0383a87b3a3fe8e3aa59975b5d,cc34bca30c51d84e4bc3768ac1db88094b338dd8ddf0d2f16fe3f13d0c28fc50,2208.0,1968.0,DEH-lleh ah-bee-TAHN-tee
dell'abitante,False,abitante,inhabitant,noun,of the inhabitant,"People & Titles,Objects & Things",,,,singular,,,False,False,False,articulated_preposition,l',dell',di,contraction of di + l',Conosco il nome dell'abitante.,I know the inhabitant's name.,f5e5113727b82c567888912fc3ad2ea78c6394c585a1dd24407c18a7953613f3,e402959f5d3f80a999381fcac3d44ce0c84ff3c7560314bd9755adfc6d5aa367,1656.0,1848.0,deh-llah-bee-TAHN-teh
