term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
polizia,True,polizia,police,noun,police,"Government & Institutions,Objects & Things,Crime & Safety,Spotify Lessons",,,feminine,singular,,,False,False,False,,,,,base lemma; institutional collective noun,Vedo polizia fuori.,I see police outside.,3016c1689708ba7fb4cdd1a32689d1292ec6618a4c6aac85fec7539effc3183a,1d662d29877b3c38c92d88ff88589ec06ddd4493df12126d5abb73ac9a937f5f,1176.0,1560.0,poh-LEE-dzyah
una polizia,False,polizia,police,noun,a police force,"Government & Institutions,Objects & Things,Crime & Safety,Spotify Lessons",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Hanno creato una polizia ambientale.,They created an environmental police force.,f62e6a30e4a292e9314e1786ef4112783b89b0348c55e3f6148709503da0dfc6,81575dd4fe243c6518bd413cfa1541b3ebb005885b4d7ff96479d1df6867f3e6,1560.0,1824.0,OO-nah poh-LEE-dzyah
la polizia,False,polizia,police,noun,the police,"Government & Institutions,Objects & Things,Crime & Safety,Spotify Lessons",,,feminine,singular,,,False,False,False,definite,la,la,,,La polizia è arrivata.,The police have arrived.,ee6cd16ed392736038897d44157992dbf2c28d59d8b5698c46835977df2617da,51830f920038f1319e49dafdfb17bb72a2449d5f4e5fba5030fbcb1f8e6b2f9e,1320.0,1752.0,LAH poh-LEE-dzyah
polizie,False,polizia,police,noun,police forces,"Government & Institutions,Objects & Things,Crime & Safety,Spotify Lessons",,,feminine,plural,,,False,False,False,,,,,plural form; used for different forces,Polizie diverse operano qui.,Different police forces operate here.,af52faf0208fd0da683050dbd10f814af9a709194347f27fc18880ef93b30055,eb10855a541bdf753ac67a3d430b2d7e7c3459e5a42675e39c875559f40100d7,1584.0,1560.0,poh-LEE-dzyeh
le polizie,False,polizia,police,noun,the police forces,"Government & Institutions,Objects & Things,Crime & Safety,Spotify Lessons",,,feminine,plural,,,False,False,False,definite,le,le,,,Le polizie europee collaborano.,The European police forces cooperate.,d95d181b574eb7b964d9d2d2c9be0a16ea1b4c28ad335027123a6796e3181a1a,c1b9cc492e62d04ac7ce45ca01ff8d40af34dd99b26d0859108df0044b310b51,1704.0,1752.0,LEH poh-LEE-dzyeh
delle polizie,False,polizia,police,noun,some police forces,"Government & Institutions,Objects & Things,Crime & Safety,Spotify Lessons",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Delle polizie straniere partecipano al progetto.,Some foreign police forces take part in the project.,7d094ecdc0b34530c090f925d453b0c7b7e3a2e71496b244c6ffa59cab0f70b3,8be39ecbb71feedab7b283649293a9ba0da8cefa06ed82fcf6ef087307163af6,1872.0,1944.0,DEH-lleh poh-LEE-dzyeh
della polizia,False,polizia,police,noun,of the police,"Government & Institutions,Objects & Things,Crime & Safety,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Il ruolo della polizia è chiaro.,The role of the police is clear.,881d9f545a9819546bf68feb8ddf37c214951c271b35c98a1fc76b4389faa1b9,2d5e3ab72c01db2e0522d82cab3ffa49ef9911fdf93ebf8c31d28d0de920fd2f,1416.0,1920.0,DEH-llah poh-LEE-dzyah
alla polizia,False,polizia,police,noun,to the police,"Government & Institutions,Objects & Things,Crime & Safety,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Segnalo il furto alla polizia.,I report the theft to the police.,5863a860acf1bd94d0e3b998ab2fd21a8a153cf1e13e34a4ea4a1c05f085076f,86d226c360adde777f082149908da75d474fb748f76d881562f40aec387a9b0d,1440.0,1848.0,AH-llah poh-LEE-dzyah
dalla polizia,False,polizia,police,noun,from the police,"Government & Institutions,Objects & Things,Crime & Safety,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,È stato fermato dalla polizia.,He was stopped by the police.,cd4a6d6f339e80fde919c7d0736af9af17d92a37d991a3018d06477cdd9445c9,91280b157f1d335fd40e65b9ee773f511d13f1360843f9e75babc84e47b855ad,1488.0,1920.0,DAH-llah poh-LEE-dzyah
nella polizia,False,polizia,police,noun,in the police,"Government & Institutions,Objects & Things,Crime & Safety,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Lavora nella polizia.,She works in the police.,4a3b861b5aac75554f37d1167f22f885daa91b2efd6cf8679fbee1d0c567a8ad,5ed7daf9f26915334fdda759f542b6e99e970b0ae47a572bc43cad8c17c3bd5b,1416.0,1944.0,NEH-llah poh-LEE-dzyah
