term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
settecento,True,settecento,seven hundred/eighteenth century,noun,eighteenth century,"Numbers & Quantities,Measurements & Units,Spotify Lessons",,,masculine,singular,,,False,False,False,,,,,period name often capitalized; used for the 1700s; invariable form,il settecento è stato un periodo importante.,The eighteenth century was an important period.,e6a1bbb2fff56824f87285a436ee737261d844696434c818b38b904ec4e82290,1680.0,4ca1118a5c0566209b3ceecaced108ca125b5a01cabff6d2bcab3d38bae045c3,1872.0,seht-teh-CHEHN-toh
un settecento,False,settecento,seven hundred/eighteenth century,noun,an eighteenth-century piece,"Numbers & Quantities,Measurements & Units,Spotify Lessons",,,masculine,singular,,,False,False,False,indefinite,un,un,,rare usage,È un settecento autentico.,It is an authentic eighteenth-century piece.,f3e63d9916e95d774ab9f4b988d6550c22c8bd516ccabb145e83b140d15d4a63,2208.0,6412bc288032501a7a620a8bda045609e0ddc9bc2c610a82ab6711e0c1598b8d,1944.0,OON seht-teh-CHEHN-toh
il settecento,False,settecento,seven hundred/eighteenth century,noun,the eighteenth century,"Numbers & Quantities,Measurements & Units,Spotify Lessons",,,masculine,singular,,,False,False,False,definite,il,il,,period name,Il settecento ha cambiato l'arte.,The eighteenth century changed art.,56cd8e523b62018bde10a9b25dc9b34ccc3a14393566eadaa4e0eb1011a0fc43,1848.0,07b5564d53a06896d15957798ef57ee261b611ea55dd52f8d2f0bef7c7a77415,1944.0,EEL seht-teh-CHEHN-toh
settecento,False,settecento,seven hundred/eighteenth century,noun,1700s,"Numbers & Quantities,Measurements & Units,Spotify Lessons",,,masculine,plural,,,False,False,False,,,,,invariable plural form,Nei libri settecento indica il secolo.,In books settecento denotes the century.,673ad904d88af12c164ed5ace7df976fb8ad167dc1165aeeca1c3683f162ddd7,1920.0,4ca1118a5c0566209b3ceecaced108ca125b5a01cabff6d2bcab3d38bae045c3,1872.0,seht-teh-CHEHN-toh
i settecento,False,settecento,seven hundred/eighteenth century,noun,the 1700s,"Numbers & Quantities,Measurements & Units,Spotify Lessons",,,masculine,plural,,,False,False,False,definite,i,i,,used to refer to the period collectively,I settecento videro grandi cambiamenti.,The 1700s saw big changes.,d7f8cfe6831ef379171015ebf43c1c97ee7d69ac14ecd620f6b0edf7ef789b27,2016.0,2457b443e2695f5068937efe25cfb035acae863d9ea72a0b00b8de04f0e27f22,1896.0,EE seht-teh-CHEHN-toh
dei settecento,False,settecento,seven hundred/eighteenth century,noun,some 1700s,"Numbers & Quantities,Measurements & Units,Spotify Lessons",,,masculine,plural,,,False,False,False,indefinite,i,dei,di,partitive plural; rare usage,Ho trovato riferimenti a dei settecento nei documenti.,I found references to some 1700s in the documents.,e5c618de8e5c40b8af90d36f14ac1b70fa58758d4ef339d040ebf32ee9897c2d,2208.0,d3eb67b47ceab7ecce7e54f7b4f8d549773508690e00db7d6c45dd006328f8c1,2016.0,DAY seht-teh-CHEHN-toh
del settecento,False,settecento,seven hundred/eighteenth century,noun,of the eighteenth century,"Numbers & Quantities,Measurements & Units,Spotify Lessons",,,masculine,singular,,,False,False,False,articulated_preposition,il,del,di,contraction of di + il,L'architettura del settecento è elegante.,The architecture of the eighteenth century is elegant.,3d239f743ae76f440197a43e53fcf1c520d4dfb4e4c34240525da1da3feca76c,1944.0,aed0fc4e84bfe7aaa7568d91ccec2ddc7bc0c6bb92735ce3ead6aea185cbec6e,2016.0,DEHL seht-teh-CHEHN-toh
al settecento,False,settecento,seven hundred/eighteenth century,noun,to the eighteenth century,"Numbers & Quantities,Measurements & Units,Spotify Lessons",,,masculine,singular,,,False,False,False,articulated_preposition,il,al,a,contraction of a + il,Al settecento si attribuiscono molte opere.,Many works are attributed to the eighteenth century.,c14dc44d436b70a95ae0cb157e5a5c117be956e1615f1571ddc5cf9d7d5fca05,1896.0,2221849bd4e8ed3c6f6df4ef0330169f9bc0b6a80e2813ca1fe5cb62403c7cfd,1920.0,AHL seht-teh-CHEHN-toh
ai settecento,False,settecento,seven hundred/eighteenth century,noun,to the 1700s,"Numbers & Quantities,Measurements & Units,Spotify Lessons",,,masculine,plural,,,False,False,False,articulated_preposition,i,ai,a,contraction of a + i,Ai settecento si dedicano molti studi.,Many studies are devoted to the 1700s.,27a1d27e5dcdefebd94cce7aeae3179a96a9f544bf648a2eb219116ba0180b2c,2088.0,a7a3a6d1e15eeb18aa2890ad5dfa21fc545f36c80e833a3db30dbeb04a2a581f,1944.0,EYE seht-teh-CHEHN-toh
dal settecento,False,settecento,seven hundred/eighteenth century,noun,from the eighteenth century,"Numbers & Quantities,Measurements & Units,Spotify Lessons",,,masculine,singular,,,False,False,False,articulated_preposition,il,dal,da,contraction of da + il,Le idee dal settecento influenzano ancora oggi.,Ideas from the eighteenth century still influence today.,a6a900bbf587df609ef29afdb63ae7839f2f2c84e00e9a62a45e9dd0fc670fa7,1992.0,e98e4cfa31777a738ab98ab1b38c1bef7971039c070fcf19a93989116d0c4dba,2040.0,DAHL seht-teh-CHEHN-toh
