term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
volta,True,volta,time/occasion,noun,time/occasion,"Time & Temporal,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,,,,,base lemma,Ogni volta imparo qualcosa.,Every time I learn something.,ebc8c265eba7eafb2fc0c9df6ca421fd05b24b233bb99ff419df574672a6f9d1,4a6a44c3c85a467d67b33375583b4da8b6def57a6480058f4874c37634916d99,2208.0,1368.0,VOHL-tah
una volta,False,volta,time/occasion,noun,once,"Time & Temporal,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,indefinite,una,una,,,Una volta sono andato a Roma.,Once I went to Rome.,e37facbcdfad81dc209c6ede9705bc608265ab0893d02ad9c1c0030a5706f6a6,1fd30c8fc0474a10f406eec7ca647626c1c89665d5c38a3384a0dce529cbaee2,1104.0,1560.0,OO-nah VOHL-tah
la volta,False,volta,time/occasion,noun,the time,"Time & Temporal,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,definite,la,la,,,Ricordi la volta scorsa?,Do you remember last time?,69d217bf89c95abaedf53708ee01038eccb6637aca2cc5fe7befb008e02158bb,b6fbaac3a11c798658b2d57ffba1029a23b4c68f7822fd1d6ff12ade49bc9fb0,1200.0,1488.0,LAH VOHL-tah
volte,False,volta,time/occasion,noun,times,"Time & Temporal,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,,,,,plural form,Molte volte ho provato.,I have tried many times.,5ebd6f9ff25d428ba492b3957d5659c70b96fdcf6e170858e9b73857370db84d,e16eb89442514e1deb1c724a778c02008139a8a5b12c7cb51d3ddf361548cccc,1152.0,1344.0,VOHL-teh
le volte,False,volta,time/occasion,noun,the times,"Time & Temporal,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,definite,le,le,,,Le volte sono aumentate.,The times have increased.,96e3dcc2743ec7bd60a1abb19712797c06f73ec0ee66c44a458012b2e41423db,d5c93a004fa48462dfaf54b46083670d873435a9f60e34d0f4a1db6448cc6c58,1320.0,1440.0,LEH VOHL-teh
delle volte,False,volta,time/occasion,noun,some times,"Time & Temporal,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,indefinite,le,delle,di,partitive plural form,Capita delle volte.,It happens sometimes.,f149b8be792c9ea27f4f3912263544d15b84bddce2fd05885254f4ffcd6a2078,9f6c6222d67f2d0b4d691cacc0a8ce71ab833ff99fe9148741d1daa5e9a74fe2,1392.0,1656.0,DEH-lleh VOHL-teh
della volta,False,volta,time/occasion,noun,of the time,"Time & Temporal,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,della,di,contraction of di + la,Parliamo della volta scorsa.,We are talking about last time.,a62d8fca1d5f27f1b58b2790a94347435cd1f6abbd57764995e7cce441ea6821,723495bb0784a893704e5371b78af1ec86e7f220940b0c3034a1eeed9982deb3,1320.0,1680.0,DEH-llah VOHL-tah
alla volta,False,volta,time/occasion,noun,at a time,"Time & Temporal,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,alla,a,contraction of a + la,Entrate uno alla volta.,Enter one at a time.,b1013a9bd00dae7f353a27f877fcc8c8e251cc7cca6337338d8bac6efbd8a8f6,b29954d079846773b636402ec69cbf83a271b1cac8abb8721f8081197c58f073,1320.0,1608.0,AH-llah VOHL-tah
alle volte,False,volta,time/occasion,noun,at times,"Time & Temporal,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,articulated_preposition,le,alle,a,contraction of a + le,Alle volte sbaglio anch'io.,At times I make mistakes too.,2b5d908a3f5af61df4c01e237bd666ec34b2d911bb47961c391cdfe0d1b3b3e5,d539ce8ff8009fdc2cb6a28b7158b65b641dc3155111750d454b84f53e081e5a,1320.0,1560.0,AH-lleh VOHL-teh
dalla volta,False,volta,time/occasion,noun,from the time,"Time & Temporal,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,dalla,da,contraction of da + la,Dalla volta scorsa ho smesso.,Since last time I have stopped.,0a9773ae70c8238c89f9c03c918d3d0dcec604fca7a4539bb12d92627d924e24,5d728858fc5274058e5366906274eac1057d17bb5fb3bff6fce4e7a3b0228e7a,1392.0,1680.0,DAH-llah VOHL-tah
dalle volte,False,volta,time/occasion,noun,from the times,"Time & Temporal,Objects & Things,Spotify Lessons",,,feminine,plural,,,False,False,False,articulated_preposition,le,dalle,da,contraction of da + le,Dalle volte passate ho imparato.,From the past times I have learned.,d2b6484c3cae3d9b22ed9682d3287929db29011e58a80caa8d61f249e289b37e,b1f2bba9051c9eb1674042177ebe511a4c05b45c4785cf730b9d27b8dbed8bcf,1488.0,1656.0,DAH-lleh VOHL-teh
nella volta,False,volta,time/occasion,noun,in the time,"Time & Temporal,Objects & Things,Spotify Lessons",,,feminine,singular,,,False,False,False,articulated_preposition,la,nella,in,contraction of in + la,Nella volta scorsa è andata meglio.,In the last time it went better.,01e7c7e907ae768556b8471ff8f9d87c921b4070fc537c12eb538927da4f2209,13a1d69bcf45eba61de7e14ac5ddebbf35ef243cc54aadb79cf1932567266e40,1296.0,1680.0,NEH-llah VOHL-tah
