english_term,italian_term,part_of_speech,topics,english_base_term,italian_base_term
I,io,pronoun,"[spotify_lessons, lesson_1_basics]",I,io
you (familiar),tu,pronoun,"[spotify_lessons, lesson_1_basics]",you,tu
you (polite),Lei,pronoun,"[spotify_lessons, lesson_1_basics]",you,Lei
he,lui,pronoun,"[spotify_lessons, lesson_1_basics]",he,lui
she,lei,pronoun,"[spotify_lessons, lesson_1_basics]",she,lei
this,questo / questa,pronoun,"[spotify_lessons, lesson_1_basics]",this,questo
we,noi,pronoun,"[spotify_lessons, lesson_1_basics]",we,noi
you (plural),voi,pronoun,"[spotify_lessons, lesson_1_basics]",you (plural),voi
they,loro,pronoun,"[spotify_lessons, lesson_1_basics]",they,loro
good morning / good day,buongiorno,interjection,"[spotify_lessons, lesson_1_basics]",good morning,buongiorno
good evening,buonasera,interjection,"[spotify_lessons, lesson_1_basics]",good evening,buonasera
good night,buonanotte,interjection,"[spotify_lessons, lesson_1_basics]",good night,buonanotte
goodbye,arrivederci,interjection,"[spotify_lessons, lesson_1_basics]",goodbye,arrivederci
hello / goodbye,ciao,interjection,"[spotify_lessons, lesson_1_basics]",hello,ciao
please,per favore / per piacere,phrase,"[spotify_lessons, lesson_1_basics]",please,per favore / per piacere
thank you,grazie,interjection,"[spotify_lessons, lesson_1_basics]",thank you,grazie
you're welcome / please,prego,interjection,"[spotify_lessons, lesson_1_basics]",you're welcome,prego
yes,sì,adverb,"[spotify_lessons, lesson_1_basics]",yes,sì
no,no,adverb,"[spotify_lessons, lesson_1_basics]",no,no
good,buono,adjective,"[spotify_lessons, lesson_1_basics]",good,buono
bad,cattivo,adjective,"[spotify_lessons, lesson_1_basics]",bad,cattivo
sir / mister,signore,noun,"[spotify_lessons, lesson_1_basics]",sir,signore
madam / misses,signora,noun,"[spotify_lessons, lesson_1_basics]",madam,signora
miss,signorina,noun,"[spotify_lessons, lesson_1_basics]",miss,signorina
I want,io voglio,phrase,"[spotify_lessons, lesson_2_basic_phrases]",I want,io voglio
I don't want,io non voglio,phrase,"[spotify_lessons, lesson_2_basic_phrases]",I don't want,io non voglio
where,dove,adverb,"[spotify_lessons, lesson_2_basic_phrases]",where,dove
where is / where is it,dov'è,phrase,"[spotify_lessons, lesson_2_basic_phrases]",where is / where is it,dov'è
where is the toilet / where is the bathroom,dov'è il bagno,phrase,"[spotify_lessons, lesson_2_basic_phrases]",where is the toilet / where is the bathroom,dov'è il bagno
how much does it cost,quanto costa,phrase,"[spotify_lessons, lesson_2_basic_phrases]",how much does it cost,quanto costa
time / hour,ora,noun,"[spotify_lessons, lesson_2_basic_phrases]",time,ora
what time / which hour,che ora,phrase,"[spotify_lessons, lesson_2_basic_phrases]",what time / which hour,che ora
at what time,a che ora,phrase,"[spotify_lessons, lesson_2_basic_phrases]",at what time,a che ora
you have (polite),Lei ha,phrase,"[spotify_lessons, lesson_2_basic_phrases]",you have (polite),Lei ha
do you have (polite),ha,verb,"[spotify_lessons, lesson_2_basic_phrases]",have,ha
I understand,io capisco,phrase,"[spotify_lessons, lesson_2_basic_phrases]",I understand,io capisco
I don't understand,io non capisco,phrase,"[spotify_lessons, lesson_2_basic_phrases]",I don't understand,io non capisco
do you understand,Lei capisce,phrase,"[spotify_lessons, lesson_2_basic_phrases]",do you understand,Lei capisce
it is,è,verb,"[spotify_lessons, lesson_2_basic_phrases]",be,essere
is it?,è?,verb,"[spotify_lessons, lesson_2_basic_phrases]",be,essere
train,treno,noun,"[spotify_lessons, lesson_3_transportation_nouns]",train,treno
a train,un treno,noun,"[spotify_lessons, lesson_3_transportation_nouns]",train,treno
the train,il treno,noun,"[spotify_lessons, lesson_3_transportation_nouns]",train,treno
the trains,i treni,noun,"[spotify_lessons, lesson_3_transportation_nouns]",train,treno
an automobile,una macchina,noun,"[spotify_lessons, lesson_3_transportation_nouns]",automobile,macchina
the automobile,la macchina,noun,"[spotify_lessons, lesson_3_transportation_nouns]",automobile,macchina
the automobiles,le macchine,noun,"[spotify_lessons, lesson_3_transportation_nouns]",automobile,macchina
a taxi,un taxi,noun,"[spotify_lessons, lesson_3_transportation_nouns]",taxi,taxi
the taxi,il taxi,noun,"[spotify_lessons, lesson_3_transportation_nouns]",taxi,taxi
a ship,una nave,noun,"[spotify_lessons, lesson_3_transportation_nouns]",ship,nave
the ship,la nave,noun,"[spotify_lessons, lesson_3_transportation_nouns]",ship,nave
an airplane,un aereo,noun,"[spotify_lessons, lesson_3_transportation_nouns]",airplane,aereo
the airplane,l'aereo,noun,"[spotify_lessons, lesson_3_transportation_nouns]",airplane,aereo
the bus,l'autobus,noun,"[spotify_lessons, lesson_3_transportation_nouns]",bus,autobus
a bus,un autobus,noun,"[spotify_lessons, lesson_3_transportation_nouns]",bus,autobus
the bus stop,la fermata dell'autobus,noun,"[spotify_lessons, lesson_3_transportation_nouns]",bus stop,fermata dell'autobus
a bus stop,una fermata dell'autobus,noun,"[spotify_lessons, lesson_3_transportation_nouns]",bus stop,fermata dell'autobus
a ticket,un biglietto,noun,"[spotify_lessons, lesson_3_transportation_nouns]",ticket,biglietto
the ticket,il biglietto,noun,"[spotify_lessons, lesson_3_transportation_nouns]",ticket,biglietto
the ticket window / the ticket office,la biglietteria,noun,"[spotify_lessons, lesson_3_transportation_nouns]",ticket office,biglietteria
an airport,un aeroporto,noun,"[spotify_lessons, lesson_3_transportation_nouns]",airport,aeroporto
the airport,l'aeroporto,noun,"[spotify_lessons, lesson_3_transportation_nouns]",airport,aeroporto
the flight,il volo,noun,"[spotify_lessons, lesson_3_transportation_nouns]",flight,volo
a connection,una coincidenza,noun,"[spotify_lessons, lesson_3_transportation_nouns]",connection,coincidenza
the connection,la coincidenza,noun,"[spotify_lessons, lesson_3_transportation_nouns]",connection,coincidenza
the connections,le coincidenze,noun,"[spotify_lessons, lesson_3_transportation_nouns]",connection,coincidenza
the gate,l'uscita,noun,"[spotify_lessons, lesson_3_transportation_nouns]",gate,uscita
the railway,la ferrovia,noun,"[spotify_lessons, lesson_3_transportation_nouns]",railway,ferrovia
the station,la stazione,noun,"[spotify_lessons, lesson_3_transportation_nouns]",station,stazione
the railway station,la stazione ferroviaria,noun,"[spotify_lessons, lesson_3_transportation_nouns]",railway station,stazione ferroviaria
the bus terminal,il capolinea dell'autobus,noun,"[spotify_lessons, lesson_3_transportation_nouns]",bus terminal,capolinea dell'autobus
the platform,il marciapiede,noun,"[spotify_lessons, lesson_3_transportation_nouns]",platform,marciapiede
which platform,quale marciapiede,phrase,"[spotify_lessons, lesson_3_transportation_nouns]",which platform,quale marciapiede
which track,quale binario,phrase,"[spotify_lessons, lesson_3_transportation_nouns]",which track,quale binario
which traincar,quale carrozza,phrase,"[spotify_lessons, lesson_3_transportation_nouns]",which traincar,quale carrozza
