english,italian
the town / the city,la città
a country,un paese
the name,il nome
the food,il cibo
a state,uno stato
the united states,gli stati uniti
a gift,un regalo
a male friend,un amico
a female friend,una amica
the postage stamp,il francobollo
an entrance,un'entrata
the exit,l'uscita
the clothes,i vestiti
my things / my stuff,la mia roba
the dirty laundry,la roba sporca
a thing,una cosa
some,qualche
something,qualcosa
sometimes,talora / qualche volta
the other / the other one,l'altro / l'altra
nothing,niente / nulla
a man,un uomo
a woman,una donna
a wife,una moglie
the husband,il marito
a child,un bambino / una bambina
the weather,il tempo
a word,una parola
the consulate,il consolato
the beach,la spiaggia
the problem,il problema
a piece,un pezzo
the cashier's desk,la cassa
a delay,un ritardo
the opposite,il contrario
a house,una casa
a little boat,una barca
