term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
passare,True,passare,to pass,verb,to pass,"Verbs & Actions,Spotify Lessons",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb; intransitive usually with auxiliary essere; transitive uses avere,Voglio passare più tempo con te.,I want to spend more time with you.,7c506530abb164700e9fa2b22c2abf3141c148d1af12023171382a02313ae7d8,3262a6786688381f1237ace4e53b4529691780b6672ff07b1ff7656e342fae8f,1248.0,1392.0,pahs-SAH-reh
passando,False,passare,to pass,verb,passing,"Verbs & Actions,Spotify Lessons",,,,,gerund,,False,False,False,,,,,gerund form,Sto passando di lì.,I am passing by there.,85a08429e5322282122ac4d0398a6f46c7abea80dfaa8cd41127d77d446c95b5,1c8f5ebc1da0aab8049f127b9861d48ee53a0253716629f285c98b63c2a0fbf5,1128.0,1512.0,pahs-SAHN-doh
passato,False,passare,to pass,verb,passed,"Verbs & Actions,Spotify Lessons",,,masculine,singular,participle,past,False,False,False,,,,,past participle; agrees when used with essere,Sono passato di qui.,I passed by here.,fadd66536525a5e5587178ddbed4d160c163f421290243fa5513e24a04603021,0013db59f15189e8527367d52aee47de3ced51425f08090c3de7a85ef7095802,1128.0,1464.0,pahs-SAH-toh
passata,False,passare,to pass,verb,passed,"Verbs & Actions,Spotify Lessons",,,feminine,singular,participle,past,False,False,False,,,,,past participle; agrees when used with essere,Sono passata di qui.,I passed by here.,43af6b90949b9d7d8d96010a6b5c5c59a64a161c0dcb957e0cbb7deecbc4b45a,0013db59f15189e8527367d52aee47de3ced51425f08090c3de7a85ef7095802,1128.0,1464.0,pahs-SAH-tah
passati,False,passare,to pass,verb,passed,"Verbs & Actions,Spotify Lessons",,,masculine,plural,participle,past,False,False,False,,,,,past participle; agrees when used with essere,Siamo passati di qui.,We passed by here.,d0e0bd3b830e9fa2be6e85545f7ed594bcb82743bec63943c8a9733f8e199ea2,0013db59f15189e8527367d52aee47de3ced51425f08090c3de7a85ef7095802,1128.0,1464.0,pahs-SAH-tee
passate,False,passare,to pass,verb,passed,"Verbs & Actions,Spotify Lessons",,,feminine,plural,participle,past,False,False,False,,,,,past participle; agrees when used with essere,Siamo passate di qui.,We passed by here.,b44d6900230425c60c2688bc7067085c2ff1c1d6d35070e87e61bb0d0be2c6bb,0013db59f15189e8527367d52aee47de3ced51425f08090c3de7a85ef7095802,1128.0,1440.0,pahs-SAH-teh
passo,False,passare,to pass,verb,I pass,"Verbs & Actions,Spotify Lessons",,1s,,singular,indicative,present,False,False,False,,,,,,Io passo dopo.,I pass by later.,108374b2dad5f9e596a9b96c3dd0e9a11dc5ee96006341ca6ba9df5c7b7c2c0c,f991178f4295bec8a4ef23c91e79c09015becaff89746fb49b2bfda0d75ca579,1248.0,1296.0,PAHS-soh
passi,False,passare,to pass,verb,you pass,"Verbs & Actions,Spotify Lessons",,2s,,singular,indicative,present,False,False,False,,,,,,Tu passi domani?,Do you pass by tomorrow?,75611c25295c94d2f5be7a49d67789288038a0d3c7862fd8cbcc5a38b490f2de,498bcbe41978e302b56b165af43c9fd0e25640f7b35ad9c0dee7f38f9334cde5,1272.0,1296.0,PAHS-see
passa,False,passare,to pass,verb,he passes/she passes/you (formal) pass,"Verbs & Actions,Spotify Lessons",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal Lei,Lui passa alle tre.,He passes by at three.,33a5f695c5ae22d69b57d09ed4aed2cfe3f9a87c7e23778977c60c4dc30fa6e0,97114557f4b165f4eef872ad15e1a08afcef1e0d8e51b85c2f9f2865c81e96c2,4752.0,1272.0,PAHS-sah
passiamo,False,passare,to pass,verb,we pass,"Verbs & Actions,Spotify Lessons",,1p,,plural,indicative,present,False,False,False,,,,,,Passiamo davanti alla scuola.,We pass in front of the school.,ca332288a8dcfe0509eb0fd032d2c3b370b87b764ba271d3d6a74b3b86b66a18,836d782cdb04d7ec33befd871c8c3748d098c77240b255e608a926f12889fcb8,1296.0,1464.0,pahs-SYAH-moh
