term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms,pronunciation
dire,True,dire,to say,verb,to say,"Verbs & Actions,Communication & Media,Spotify Lessons",,,,,non-finite,infinitive,False,False,False,,,,,irregular verb; past participle detto; auxiliary avere,Dobbiamo dire la verità.,We must tell the truth.,a9935e8947c4551dfc53e47e4a7e597fd12a526e2ff5ee5b8b29e1478f1f7560,e4625b3530bce0640c09d3bee7e2d41bb02cfebc8b54c31283f9cec04a01be17,1104.0,1176.0,DEE-reh
dicendo,False,dire,to say,verb,saying,"Verbs & Actions,Communication & Media,Spotify Lessons",,,,,gerund,,False,False,False,,,,,gerund form,Sto dicendo la verità.,I am saying the truth.,1f740636aa61f122a4ddf02028ab11bc072a5d19c1b89b5732ac4a87886e155c,36e6d4b7a950b5526846150045493840d2bcb90912cbfada6967d409c83365ba,1128.0,1488.0,dee-CHEHN-doh
detto,False,dire,to say,verb,said,"Verbs & Actions,Communication & Media,Spotify Lessons",,,masculine,singular,participle,past,False,False,False,,,,,past participle,L'ho detto ieri.,I said it yesterday.,05d2a37c3c347f84eaa3e4cf093f772b559c4a17a668b0b6329f1515a1705ced,7977496ca68daa77fd9e1988355dba6c34318f44d9d86e7f6f7361eefa19b8f2,984.0,1344.0,DEHT-toh
detta,False,dire,to say,verb,said,"Verbs & Actions,Communication & Media,Spotify Lessons",,,feminine,singular,participle,past,False,False,False,,,,,past participle agreeing with feminine object,L'ho detta io.,I said it.,4cd4b1e0ca07f033874b8c94eae492d74f808a4ccb014ac3a035d22b9f4dd215,7977496ca68daa77fd9e1988355dba6c34318f44d9d86e7f6f7361eefa19b8f2,984.0,1344.0,DEHT-tah
detti,False,dire,to say,verb,said,"Verbs & Actions,Communication & Media,Spotify Lessons",,,masculine,plural,participle,past,False,False,False,,,,,past participle agreeing with masculine plural object,Li ho detti tutti.,I said them all.,ddb990d5ea897e10663acdb49dd1518cb3ed961efab775051f7f5c8097b804ba,7977496ca68daa77fd9e1988355dba6c34318f44d9d86e7f6f7361eefa19b8f2,984.0,1344.0,DEHT-tee
dette,False,dire,to say,verb,said,"Verbs & Actions,Communication & Media,Spotify Lessons",,,feminine,plural,participle,past,False,False,False,,,,,past participle agreeing with feminine plural object,Le ho dette tutte.,I said them all.,f04fb60aacb9e929d6007b6856b0712ddc47da81905a5bce22a40ef5019361d4,7977496ca68daa77fd9e1988355dba6c34318f44d9d86e7f6f7361eefa19b8f2,984.0,1320.0,DEHT-teh
dico,False,dire,to say,verb,I say,"Verbs & Actions,Communication & Media,Spotify Lessons",,1s,,singular,indicative,present,False,False,False,,,,,irregular present,Dico la verità.,I tell the truth.,3bdfa831c03630ffe01b366f711233cc452b2d0b698096068169e7fc0232b11b,e268cb0407055a2ac4601ea39f8559e80051631a498135a7c2082a768fbf45f1,1104.0,1248.0,DEE-koh
dici,False,dire,to say,verb,you say,"Verbs & Actions,Communication & Media,Spotify Lessons",,2s,,singular,indicative,present,False,False,False,,,,,irregular present,Dici sempre sì.,You always say yes.,788f28ed4bff348e063bdd9bb3f2ec0d6a689281bf491d6686515cdf519690e8,3858fe1ec4227379301a0e549a8f0327c84c414f088516ffcef2609e8f7953ec,1128.0,1272.0,DEE-chee
dice,False,dire,to say,verb,he says/she says/you (formal) say,"Verbs & Actions,Communication & Media,Spotify Lessons",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal Lei,Lei dice che è tardi.,She says it is late.,55d2b611d1edc054670cd400ee7c5ecf57db59d419ba34cb4ec5613ccc491fa6,b8ab3a66270e3cb79063c7cbffa0efeb6d4a33f7fc7a06123f87aa30359dd26b,4368.0,1248.0,DEE-cheh
diciamo,False,dire,to say,verb,we say,"Verbs & Actions,Communication & Media,Spotify Lessons",,1p,,plural,indicative,present,False,False,False,,,,,irregular present,Diciamo di no.,We say no.,e7098bfbc8fc9edf6873dde16f8c026d5de4f0db62e6c5a9527a92b40e1b20b4,9da912cd7aa73990e50031067b0ed7d408bf074475eb79ba53bf2ee102b03100,1152.0,1440.0,dee-CHYAH-moh
dite,False,dire,to say,verb,you (plural) say,"Verbs & Actions,Communication & Media,Spotify Lessons",,2p,,plural,indicative,present,False,False,False,,,,,irregular present,Dite la risposta.,You say the answer.,f1ae15a8acc90d30a01f3229d734fe7c5e995f35d521fd37be8e3bce22b6ae20,3b0147c288f64bd0d3b73a91a5128cc788fb3287d9a2fe5ff4c6cfb8a7519369,2280.0,1224.0,DEE-teh
dicono,False,dire,to say,verb,they say,"Verbs & Actions,Communication & Media,Spotify Lessons",,3p,,plural,indicative,present,False,False,False,,,,,irregular present,Dicono che piove.,They say it is raining.,14e0518c6ccd3cc86c0b431ef7799ad0a1556a1df7b03be62b522783dbb7914a,5198b5b3aaa8354911cb040f26a23666adf0468014b241ccaec0c1e88411978b,1176.0,1368.0,dee-KOH-noh
dicevo,False,dire,to say,verb,I was saying,"Verbs & Actions,Communication & Media,Spotify Lessons",,1s,,singular,indicative,imperfect,False,False,False,,,,,,Dicevo la verità.,I was telling the truth.,8093b04ec06d226739963a738ca889983505315afd60ed072f3e433cb04a7bf6,11d189b3d4c9cdcd5443f0aeea467a894d0c15a14d4228e5d208fd8c26034462,1392.0,1416.0,dee-CHEH-voh
dicevi,False,dire,to say,verb,you were saying,"Verbs & Actions,Communication & Media,Spotify Lessons",,2s,,singular,indicative,imperfect,False,False,False,,,,,,Dicevi sempre sì.,You were always saying yes.,5b6f56bca644e053cd3cd8ae130f13aaed20c49795dd386d0d97f4e6175e9551,387fee54951ecde6e82926f9a2b52cefc62b5c8118f9a5045d6aae9b8de2b1a9,1440.0,1416.0,dee-CHEH-vee
diceva,False,dire,to say,verb,he was saying/she was saying/you (formal) were saying,"Verbs & Actions,Communication & Media,Spotify Lessons",,3s,,singular,indicative,imperfect,False,False,False,,,,,also used as formal Lei,Lei diceva sempre la verità.,She was always telling the truth.,9da88d67ff6e552d0b4eea913abcc09c5388e11eaa193b2381135f2dfa89fc62,448498b1f30106eec1524182a0af4bb4c2971b4dfd0c399e5e20946c7f4f95cd,5208.0,1416.0,dee-CHEH-vah
dicevamo,False,dire,to say,verb,we were saying,"Verbs & Actions,Communication & Media,Spotify Lessons",,1p,,plural,indicative,imperfect,False,False,False,,,,,,Dicevamo spesso così.,We used to say that often.,dadc513e85d3cd9aeb7edfdc414754c586ca6fed0a85bc18b5bd5b5a3677f717,91764b90ade45e42230025884f6f61252b59847a75e256d1105dc97dc3c3b74a,1440.0,1584.0,dee-cheh-VAH-moh
dicevate,False,dire,to say,verb,you (plural) were saying,"Verbs & Actions,Communication & Media,Spotify Lessons",,2p,,plural,indicative,imperfect,False,False,False,,,,,,Dicevate la verità.,You were telling the truth.,d2a7edec3bd492f76903aeff40fde102e7f1068c28220017b846223a440fdf99,10b78021a9bc3c03d1aa5c8d2699ddfda29cb6ed303693ae92d112ea6879f654,2544.0,1584.0,dee-cheh-VAH-teh
