term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
pasta,true,pasta,pasta,feminine,singular,none,n/a,n/a,n/a,"mass noun for food; can also mean a pastry in plural","Mi piace la pasta.","I like pasta."
una pasta,false,pasta,a pasta / a pastry,feminine,singular,indefinite,una,una,n/a,,"Ho comprato una pasta al bar.","I bought a pastry at the café."
la pasta,false,pasta,the pasta,feminine,singular,definite,la,la,n/a,,"La pasta è pronta.","The pasta is ready."
paste,false,pasta,pastries (or pastas),feminine,plural,none,n/a,n/a,n/a,"plural often used for pastries; 'pasta' as food is usually uncountable","Le paste sul vassoio sono fresche.","The pastries on the tray are fresh."
le paste,false,pasta,the pastries,feminine,plural,definite,le,le,n/a,,"Le paste sono state comprate al bar.","The pastries were bought at the café."
delle paste,false,pasta,some pastries / some pastas,feminine,plural,articulated_preposition,delle,delle,di,"indefinite plural; 'delle' = di + le; commonly refers to pastries","Ho comprato delle paste per la festa.","I bought some pastries for the party."
della pasta,false,pasta,of the pasta / the pasta's,feminine,singular,articulated_preposition,della,della,di,,"La salsa della pasta è saporita.","The pasta's sauce is tasty."
alla pasta,false,pasta,to the pasta,feminine,singular,articulated_preposition,alla,alla,a,,"Aggiungi il sugo alla pasta.","Add the sauce to the pasta."
alle paste,false,pasta,to the pastries,feminine,plural,articulated_preposition,alle,alle,a,,"Ho dato le paste alle amiche.","I gave the pastries to my friends."
dalla pasta,false,pasta,from the pasta,feminine,singular,articulated_preposition,dalla,dalla,da,,"Ho tolto i pinoli dalla pasta.","I removed the pine nuts from the pasta."
dalle paste,false,pasta,from the pastries,feminine,plural,articulated_preposition,dalle,dalle,da,,"Ho preso una briciola dalle paste.","I took a crumb from the pastries."
nella pasta,false,pasta,in the pasta,feminine,singular,articulated_preposition,nella,nella,in,,"C'è una conchiglia nella pasta.","There's a shell in the pasta."
nelle paste,false,pasta,in the pastries,feminine,plural,articulated_preposition,nelle,nelle,in,,"Ho trovato zucchero nelle paste.","I found sugar in the pastries."
sulla pasta,false,pasta,on the pasta,feminine,singular,articulated_preposition,sulla,sulla,su,,"Metti del formaggio sulla pasta.","Put some cheese on the pasta."
sulle paste,false,pasta,on the pastries,feminine,plural,articulated_preposition,sulle,sulle,su,,"Ho messo la glassa sulle paste.","I put the icing on the pastries."
con la pasta,false,pasta,with the pasta,feminine,singular,articulated_preposition,la,con la,con,,"Mangio gli spinaci con la pasta.","I eat spinach with the pasta."
con le paste,false,pasta,with the pastries,feminine,plural,articulated_preposition,le,con le,con,,"Con le paste serviamo anche il caffè.","With the pastries we also serve coffee."
col pasta,false,pasta,with the pasta,feminine,singular,articulated_preposition,col,col,con,"not used: 'col' = con + il (masculine); incorrect with feminine 'la'","Col pasta non è corretto in italiano standard.","'Col pasta' is not correct in standard Italian."
coi paste,false,pasta,with the pastries,feminine,plural,articulated_preposition,coi,coi,con,"not used: 'coi' = con + i (masculine plural); incorrect with feminine 'le'","'Coi paste' non è corretto.","'Coi paste' is not correct."
