term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
negozio,true,negozio,"shop, store",masculine,singular,none,n/a,n/a,n/a,base lemma,"Cerco negozio aperto.","I'm looking for an open shop."
un negozio,false,negozio,a shop,masculine,singular,indefinite,un,un,n/a,,"Ho un negozio in centro.","I have a shop in the center."
il negozio,false,negozio,the shop,masculine,singular,definite,il,il,n/a,,"Il negozio è chiuso.","The shop is closed."
negozi,false,negozio,shops,masculine,plural,none,n/a,n/a,n/a,plural form,"Molti negozi sono aperti.","Many shops are open."
i negozi,false,negozio,the shops,masculine,plural,definite,i,i,n/a,,"I negozi chiudono alle otto.","The shops close at eight."
dei negozi,false,negozio,some shops,masculine,plural,articulated_preposition,i,dei,di,,"Parlo dei negozi locali.","I'm talking about the local shops."
del negozio,false,negozio,"of the shop, the shop's",masculine,singular,articulated_preposition,il,del,di,,"Il colore del negozio è blu.","The shop's color is blue."
al negozio,false,negozio,to the shop,masculine,singular,articulated_preposition,il,al,a,,"Vado al negozio ora.","I'm going to the shop now."
dal negozio,false,negozio,from the shop,masculine,singular,articulated_preposition,il,dal,da,,"Torno dal negozio con la spesa.","I return from the shop with the groceries."
nel negozio,false,negozio,in the shop,masculine,singular,articulated_preposition,il,nel,in,,"C'è molto rumore nel negozio.","There's a lot of noise in the shop."
sul negozio,false,negozio,on the shop,masculine,singular,articulated_preposition,il,sul,su,,"C'è un'insegna sul negozio.","There's a sign on the shop."
col negozio,false,negozio,with the shop,masculine,singular,articulated_preposition,il,col,con,common contraction,"Firmiamo un accordo col negozio vicino.","We sign an agreement with the nearby shop."
ai negozi,false,negozio,to the shops,masculine,plural,articulated_preposition,i,ai,a,,"Porto volantini ai negozi del quartiere.","I deliver flyers to the neighborhood shops."
dai negozi,false,negozio,from the shops,masculine,plural,articulated_preposition,i,dai,da,,"Ricevo offerte dai negozi vicini.","I receive offers from nearby shops."
nei negozi,false,negozio,in the shops,masculine,plural,articulated_preposition,i,nei,in,,"Nei negozi trovi sconti.","In the shops you find discounts."
sui negozi,false,negozio,on the shops,masculine,plural,articulated_preposition,i,sui,su,,"Abbiamo affisso manifesti sui negozi.","We put posters on the shops."
coi negozi,false,negozio,with the shops,masculine,plural,articulated_preposition,i,coi,con,common contraction,"Collaboriamo coi negozi locali.","We collaborate with the local shops."
