term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
strada,true,strada,street,feminine,singular,none,n/a,n/a,n/a,base lemma,"La strada è lunga.","The road is long."
una strada,false,strada,a street,feminine,singular,indefinite,una,una,n/a,,"Ho trovato una strada stretta.","I found a narrow street."
la strada,false,strada,the street,feminine,singular,definite,la,la,n/a,,"La strada è chiusa al traffico.","The street is closed to traffic."
strade,false,strada,streets,feminine,plural,none,n/a,n/a,n/a,plural form,"Strade antiche attraversano il villaggio.","Ancient roads cross the village."
le strade,false,strada,the streets,feminine,plural,definite,le,le,n/a,,"Le strade sono bagnate dopo la pioggia.","The streets are wet after the rain."
delle strade,false,strada,some streets,feminine,plural,articulated_preposition,le,delle,di,,"Abbiamo esplorato delle strade secondarie.","We explored some side streets."
della strada,false,strada,of the street,feminine,singular,articulated_preposition,la,della,di,,"Il nome della strada è cambiato.","The street's name changed."
alla strada,false,strada,to the street,feminine,singular,articulated_preposition,la,alla,a,,"Vai alla strada principale e poi gira a destra.","Go to the main street and then turn right."
alle strade,false,strada,to the streets,feminine,plural,articulated_preposition,le,alle,a,,"Alle strade cittadine mancano marciapiedi.","The city streets lack sidewalks."
dalla strada,false,strada,from the street,feminine,singular,articulated_preposition,la,dalla,da,,"I rumori dalla strada mi svegliano la notte.","The noises from the street wake me at night."
dalle strade,false,strada,from the streets,feminine,plural,articulated_preposition,le,dalle,da,,"Dalle strade provenivano voci e musica.","Voices and music came from the streets."
nella strada,false,strada,in the street,feminine,singular,articulated_preposition,la,nella,in,,"C'era un mercato nella strada principale.","There was a market on the main street."
nelle strade,false,strada,in the streets,feminine,plural,articulated_preposition,le,nelle,in,,"Nelle strade del centro si sente molto traffico.","There is a lot of traffic in the downtown streets."
sulla strada,false,strada,on the street,feminine,singular,articulated_preposition,la,sulla,su,,"Sulla strada c'è un vecchio lampione.","There is an old lamppost on the street."
sulle strade,false,strada,on the streets,feminine,plural,articulated_preposition,le,sulle,su,,"Sulle strade ghiacciate è pericoloso guidare.","It is dangerous to drive on icy streets."
con la strada,false,strada,with the street,feminine,singular,articulated_preposition,la,con la,con,no contraction; use con la,"Con la strada chiusa abbiamo fatto un percorso alternativo.","With the street closed we took an alternate route."
con le strade,false,strada,with the streets,feminine,plural,articulated_preposition,le,con le,con,,"Con le strade innevate il traffico rallentò.","With the snowy streets traffic slowed down."
col strada,false,strada,with the street (incorrect),feminine,singular,articulated_preposition,il,col,con,incorrect with feminine noun; use con la,"Col strada è scorretto; si usa con la strada.","The form 'col strada' is incorrect; use 'con la strada'."
coi strade,false,strada,with the streets (incorrect),feminine,plural,articulated_preposition,i,coi,con,incorrect with feminine plural; use con le,"Coi strade non si usa; si dice con le strade.","The form 'coi strade' is not used; say 'con le strade'."
