term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
albergo,true,albergo,hotel,masculine,singular,none,n/a,n/a,n/a,base lemma,"Ho prenotato un albergo per il weekend.","I booked a hotel for the weekend."
un albergo,false,albergo,a hotel,masculine,singular,indefinite,un,un,n/a,,"Vorrei un albergo vicino alla stazione.","I would like a hotel near the station."
l'albergo,false,albergo,the hotel,masculine,singular,definite,l',l',n/a,,"L'albergo ha una vista sul mare.","The hotel has a sea view."
alberghi,false,albergo,hotels,masculine,plural,none,n/a,n/a,n/a,plural form,"Alberghi storici attirano molti turisti.","Historic hotels attract many tourists."
gli alberghi,false,albergo,the hotels,masculine,plural,definite,gli,gli,n/a,,"Gli alberghi della città sono occupati.","The city's hotels are full."
degli alberghi,false,albergo,some hotels,masculine,plural,articulated_preposition,gli,degli,di,,"Ho letto recensioni degli alberghi locali.","I read reviews of some local hotels."
dell'albergo,false,albergo,of the hotel,masculine,singular,articulated_preposition,l',dell',di,,"La posizione dell'albergo è ottima.","The location of the hotel is excellent."
all'albergo,false,albergo,to the hotel,masculine,singular,articulated_preposition,l',all',a,,"Vado all'albergo per ritirare le chiavi.","I go to the hotel to pick up the keys."
agli alberghi,false,albergo,to the hotels,masculine,plural,articulated_preposition,gli,agli,a,,"Spedisco materiale agli alberghi della zona.","I send materials to the area's hotels."
dall'albergo,false,albergo,from the hotel,masculine,singular,articulated_preposition,l',dall',da,,"Siamo appena usciti dall'albergo.","We just left the hotel."
dagli alberghi,false,albergo,from the hotels,masculine,plural,articulated_preposition,gli,dagli,da,,"I rifiuti provengono dagli alberghi vicini.","The waste comes from the nearby hotels."
nell'albergo,false,albergo,in the hotel,masculine,singular,articulated_preposition,l',nell',in,,"La conferenza si svolge nell'albergo centrale.","The conference takes place in the central hotel."
negli alberghi,false,albergo,in the hotels,masculine,plural,articulated_preposition,gli,negli,in,,"Si tengono eventi negli alberghi del porto.","Events are held in the port's hotels."
sull'albergo,false,albergo,on the hotel,masculine,singular,articulated_preposition,l',sull',su,,"C'è un'insegna luminosa sull'albergo.","There is a bright sign on the hotel."
sugli alberghi,false,albergo,on the hotels,masculine,plural,articulated_preposition,gli,sugli,su,,"Ho trovato informazioni sugli alberghi della zona.","I found information about the area's hotels."
con l'albergo,false,albergo,with the hotel,masculine,singular,articulated_preposition,l',con l',con,,"Parlo con l'albergo per confermare la prenotazione.","I speak with the hotel to confirm the reservation."
col albergo,false,albergo,with the hotel (col),masculine,singular,articulated_preposition,il,col,con,rare before vowel; normally "con l'", "Forma contratta storica/colloquiale","Col albergo vicino abbiamo un accordo speciale.","With the nearby hotel we have a special agreement."
con gli alberghi,false,albergo,with the hotels,masculine,plural,articulated_preposition,gli,con gli,con,,"Collaboriamo con gli alberghi della regione.","We collaborate with the region's hotels."
coi alberghi,false,albergo,with the hotels (coi),masculine,plural,articulated_preposition,i,coi,con,alternative contraction to 'con gli'; less used before vowel,"Coi alberghi vicini organizziamo tour.","With the nearby hotels we organize tours."
