term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
autobus,true,autobus,bus,masculine,singular,none,n/a,n/a,n/a,base lemma,"Prendo un autobus ogni mattina.","I take a bus every morning."
un autobus,false,autobus,a bus,masculine,singular,indefinite,un,un,n/a,,"Prendo un autobus per andare al lavoro.","I take a bus to go to work."
l'autobus,false,autobus,the bus,masculine,singular,definite,l',l',n/a,,"L'autobus parte alle sei in punto.","The bus leaves at six o'clock."
autobus,false,autobus,buses,masculine,plural,none,n/a,n/a,n/a,invariable plural,"Gli autobus passano frequentemente in centro.","Buses run frequently downtown."
gli autobus,false,autobus,the buses,masculine,plural,definite,gli,gli,n/a,,"Gli autobus sono in ritardo oggi.","The buses are late today."
degli autobus,false,autobus,some buses,masculine,plural,articulated_preposition,degli,degli,di,,"Ho fotografato degli autobus storici.","I photographed some historic buses."
dell'autobus,false,autobus,of the bus,masculine,singular,articulated_preposition,dell',dell',di,,"La fermata dell'autobus è vicina.","The bus stop is nearby."
all'autobus,false,autobus,to the bus,masculine,singular,articulated_preposition,all',all',a,,"Sali all'autobus prima che parta.","Get on the bus before it leaves."
agli autobus,false,autobus,to the buses,masculine,plural,articulated_preposition,agli,agli,a,,"I passeggeri salgono agli autobus alla fila.","Passengers board the buses in the queue."
dall'autobus,false,autobus,from the bus,masculine,singular,articulated_preposition,dall',dall',da,,"Sono sceso dall'autobus alla fermata centrale.","I got off the bus at the central stop."
dagli autobus,false,autobus,from the buses,masculine,plural,articulated_preposition,dagli,dagli,da,,"Ho visto persone scendere dagli autobus.","I saw people getting off the buses."
nell'autobus,false,autobus,in the bus,masculine,singular,articulated_preposition,nell',nell',in,,"C'è molto rumore nell'autobus.","There is a lot of noise in the bus."
negli autobus,false,autobus,in the buses,masculine,plural,articulated_preposition,negli,negli,in,,"Negli autobus ci sono degli avvisi di sicurezza.","There are safety notices on the buses."
sull'autobus,false,autobus,on the bus,masculine,singular,articulated_preposition,sull',sull',su,,"Ho perso il portafoglio sull'autobus.","I lost my wallet on the bus."
sugli autobus,false,autobus,on the buses,masculine,plural,articulated_preposition,sugli,sugli,su,,"Ci sono annunci sugli autobus.","There are announcements on the buses."
con l'autobus,false,autobus,with the bus / by bus,masculine,singular,articulated_preposition,con l',con l',con,,"Ho viaggiato con l'autobus notturno.","I traveled by the night bus."
col autobus,false,autobus,with the bus (col),masculine,singular,articulated_preposition,col,col,con,contraction of con + il; not used before a vowel; standard is 'con l'',"Informal: Vado col autobus (non standard).","Informal: I go by bus (non standard)."
coi autobus,false,autobus,with the buses (coi),masculine,plural,articulated_preposition,coi,coi,con,contraction of con + i; not used before a vowel; standard is 'con gli' or 'con i' depending on context,"In alcune frasi arcaiche si trova 'coi autobus'.","In some archaic phrases you find 'coi autobus'."
