term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
biglietto,true,biglietto,ticket,masculine,singular,none,n/a,n/a,n/a,countable noun,"Ho trovato un biglietto sul tavolo.","I found a ticket on the table."
un biglietto,false,biglietto,a ticket,masculine,singular,indefinite,un,un,n/a,,"Vuoi un biglietto per il concerto?","Do you want a ticket for the concert?"
il biglietto,false,biglietto,the ticket,masculine,singular,definite,il,il,n/a,,"Il biglietto è nella mia borsa.","The ticket is in my bag."
biglietti,false,biglietto,tickets,masculine,plural,none,n/a,n/a,n/a,plural form,"Ho trovato biglietti per il film sul tavolo.","I found tickets for the movie on the table."
i biglietti,false,biglietto,the tickets,masculine,plural,definite,i,i,n/a,,"I biglietti sono sul bancone.","The tickets are on the counter."
dei biglietti,false,biglietto,some tickets,masculine,plural,articulated_preposition,dei,dei,di,indefinite plural / some,"Hai comprato dei biglietti per la festa?","Did you buy some tickets for the party?"
del biglietto,false,biglietto,of the ticket,masculine,singular,articulated_preposition,del,del,di,,"Il prezzo del biglietto è aumentato.","The price of the ticket has increased."
al biglietto,false,biglietto,to the ticket,masculine,singular,articulated_preposition,al,al,a,,"Aggiungi il nome al biglietto.","Add the name to the ticket."
ai biglietti,false,biglietto,to the tickets,masculine,plural,articulated_preposition,ai,ai,a,,"Ho scritto i nomi ai biglietti.","I wrote the names on the tickets."
dal biglietto,false,biglietto,from the ticket,masculine,singular,articulated_preposition,dal,dal,da,,"Leggo la data dal biglietto.","I read the date from the ticket."
dai biglietti,false,biglietto,from the tickets,masculine,plural,articulated_preposition,dai,dai,da,,"Le informazioni dai biglietti sono incomplete.","The information from the tickets is incomplete."
nel biglietto,false,biglietto,in the ticket,masculine,singular,articulated_preposition,nel,nel,in,,"È indicato il posto nel biglietto.","The seat is indicated on the ticket."
nei biglietti,false,biglietto,in the tickets,masculine,plural,articulated_preposition,nei,nei,in,,"Ci sono degli errori nei biglietti.","There are some mistakes in the tickets."
sul biglietto,false,biglietto,on the ticket,masculine,singular,articulated_preposition,sul,sul,su,,"C'è un codice sul biglietto.","There is a code on the ticket."
sui biglietti,false,biglietto,on the tickets,masculine,plural,articulated_preposition,sui,sui,su,,"I dettagli sui biglietti sono chiari.","The details on the tickets are clear."
col biglietto,false,biglietto,with the ticket,masculine,singular,articulated_preposition,col,col,con,common contraction,"Sono entrato col biglietto digitale.","I entered with the digital ticket."
coi biglietti,false,biglietto,with the tickets,masculine,plural,articulated_preposition,coi,coi,con,common contraction,"Sono uscito coi biglietti in mano.","I went out with the tickets in hand."
