term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
acqua,true,acqua,water,feminine,singular,none,n/a,n/a,n/a,mass noun; base lemma,"Bevo acqua ogni giorno.","I drink water every day."
un'acqua,false,acqua,a (a glass/bottle of) water,feminine,singular,indefinite,un',un',n/a,indefinite with vowel elision,"Vorrei un'acqua frizzante, per favore.","I'd like a sparkling water, please."
l'acqua,false,acqua,the water,feminine,singular,definite,l',l',n/a,elision of la before vowel,"L'acqua è fredda.","The water is cold."
acque,false,acqua,waters (types/bodies of water),feminine,plural,none,n/a,n/a,n/a,plural used for bodies/types of water; countable plural,"Acque sotterranee alimentano la sorgente.","Underground waters feed the spring."
le acque,false,acqua,the waters,feminine,plural,definite,le,le,n/a,n/a,"Le acque del fiume sono inquinate.","The river's waters are polluted."
delle acque,false,acqua,some waters,feminine,plural,articulated_preposition,le,delle,di,partitive/plural indefinite,"Ho assaggiato delle acque minerali diverse.","I tasted some different mineral waters."
dell'acqua,false,acqua,some/of the water,feminine,singular,articulated_preposition,l',dell',di,partitive or possessive (di + l'),"Il sapore dell'acqua è strano.","The taste of the water is strange."
all'acqua,false,acqua,to the water,feminine,singular,articulated_preposition,l',all',a,contraction of a + l', "All'acqua bollente aggiungi la pasta.","Add the pasta to the boiling water."
alle acque,false,acqua,to the waters,feminine,plural,articulated_preposition,le,alle,a,,"Si avvicinò alle acque limpide.","He approached the clear waters."
dall'acqua,false,acqua,from the water,feminine,singular,articulated_preposition,l',dall',da,contraction of da + l', "È uscito dall'acqua tremante.","He came out of the water trembling."
dalle acque,false,acqua,from the waters,feminine,plural,articulated_preposition,le,dalle,da,,"Dalle acque emerse una barca.","From the waters emerged a boat."
nell'acqua,false,acqua,in the water,feminine,singular,articulated_preposition,l',nell',in,contraction of in + l', "Ho trovato una bottiglia nell'acqua.","I found a bottle in the water."
nelle acque,false,acqua,in the waters,feminine,plural,articulated_preposition,le,nelle,in,,"Nelle acque tropicali vivono molte specie.","Many species live in the tropical waters."
sull'acqua,false,acqua,on the water,feminine,singular,articulated_preposition,l',sull',su,contraction of su + l', "La barca galleggia sull'acqua.","The boat floats on the water."
sulle acque,false,acqua,on the waters,feminine,plural,articulated_preposition,le,sulle,su,,"La nebbia si posa sulle acque del porto.","The fog settles on the waters of the harbor."
con l'acqua,false,acqua,with the water,feminine,singular,articulated_preposition,l',con l',con,no single-word contraction with feminine l' (use 'con l''), "Mescola il composto con l'acqua.","Mix the mixture with the water."
con le acque,false,acqua,with the waters,feminine,plural,articulated_preposition,le,con le,con,,"La barca naviga con le acque calme.","The boat sails with the calm waters."
col acqua,false,acqua,with the water (col - inappropriate),feminine,singular,articulated_preposition,il,col,con,incorrect: 'col' = con + il (masculine); not used with feminine l' — use 'con l'acqua' instead,"Col acqua fredda non è consigliabile preparare questa miscela (forma scorretta).","With cold water it is not advisable to prepare this mixture (incorrect form)."
coi acque,false,acqua,with the waters (coi - inappropriate),feminine,plural,articulated_preposition,i,coi,con,incorrect: 'coi' = con + i (masculine plural); not used with feminine le — use 'con le acque' instead,"Coi acque limpide si possono vedere i pesci (forma scorretta).","With clear waters you can see the fish (incorrect form)."
