term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
pane,true,pane,bread,masculine,singular,none,n/a,n/a,n/a,"mass noun; often uncountable; plural used for loaves/types","Mangio pane ogni giorno.","I eat bread every day."
un pane,false,pane,a loaf of bread,masculine,singular,indefinite,un,un,n/a,"countable as a loaf","Vorrei un pane, per favore.","I would like a loaf of bread, please."
il pane,false,pane,the bread,masculine,singular,definite,il,il,n/a,,"Il pane è fresco.","The bread is fresh."
pani,false,pane,loaves,masculine,plural,none,n/a,n/a,n/a,"plural used for loaves or types","Ho comprato due pani.","I bought two loaves of bread."
i pani,false,pane,the loaves,masculine,plural,definite,i,i,n/a,,"I pani sono sul tavolo.","The loaves are on the table."
dei pani,false,pane,some loaves,masculine,plural,articulated_preposition,dei,dei,di,"partitive; less common than partitive with mass noun","Ci sono dei pani sul tavolo.","There are some loaves on the table."
del pane,false,pane,of the bread,masculine,singular,articulated_preposition,del,del,di,,"Il sapore del pane è buono.","The taste of the bread is good."
al pane,false,pane,to the bread,masculine,singular,articulated_preposition,al,al,a,,"Ho dato il burro al pane.","I gave butter to the bread."
ai pani,false,pane,to the loaves,masculine,plural,articulated_preposition,ai,ai,a,,"Hanno messo etichette ai pani.","They put labels on the loaves."
dal pane,false,pane,from the bread,masculine,singular,articulated_preposition,dal,dal,da,,"Ho preso una fetta dal pane.","I took a slice from the bread."
dai pani,false,pane,from the loaves,masculine,plural,articulated_preposition,dai,dai,da,,"Ho preso delle fette dai pani.","I took some slices from the loaves."
nel pane,false,pane,in the bread,masculine,singular,articulated_preposition,nel,nel,in,,"C'è burro nel pane.","There is butter in the bread."
nei pani,false,pane,in the loaves,masculine,plural,articulated_preposition,nei,nei,in,,"Ci sono semi nei pani.","There are seeds in the loaves."
sul pane,false,pane,on the bread,masculine,singular,articulated_preposition,sul,sul,su,,"Metti il formaggio sul pane.","Put the cheese on the bread."
sui pani,false,pane,on the loaves,masculine,plural,articulated_preposition,sui,sui,su,,"Hanno messo i cartellini sui pani.","They put tags on the loaves."
col pane,false,pane,with the bread,masculine,singular,articulated_preposition,col,col,con,"common contraction","Assaggio il formaggio col pane.","I taste the cheese with the bread."
coi pani,false,pane,with the loaves,masculine,plural,articulated_preposition,coi,coi,con,"common contraction","Sono arrivate le casse coi pani.","The boxes with the loaves have arrived."
