term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
ristorante,true,ristorante,restaurant,masculine,singular,none,n/a,n/a,n/a,,"Ho visto un ristorante nuovo.","I saw a new restaurant."
un ristorante,false,ristorante,a restaurant,masculine,singular,indefinite,un,un,n/a,,"Abbiamo prenotato un ristorante per la cena.","We booked a restaurant for dinner."
il ristorante,false,ristorante,the restaurant,masculine,singular,definite,il,il,n/a,,"Il ristorante apre alle sette.","The restaurant opens at seven."
ristoranti,false,ristorante,restaurants,masculine,plural,none,n/a,n/a,n/a,plural form,"Ristoranti in città offrono cucina regionale.","Restaurants in the city offer regional cuisine."
i ristoranti,false,ristorante,the restaurants,masculine,plural,definite,i,i,n/a,,"I ristoranti della zona sono affollati.","The restaurants in the area are crowded."
dei ristoranti,false,ristorante,some restaurants,masculine,plural,articulated_preposition,dei,dei,di,,"Ho assaggiato i piatti dei ristoranti locali.","I tasted the dishes of the local restaurants."
del ristorante,false,ristorante,of the restaurant,masculine,singular,articulated_preposition,del,del,di,"contraction of di + il","Ho letto il menu del ristorante.","I read the restaurant's menu."
al ristorante,false,ristorante,to the restaurant,masculine,singular,articulated_preposition,al,al,a,,"Andiamo al ristorante stasera.","We are going to the restaurant tonight."
dal ristorante,false,ristorante,from the restaurant,masculine,singular,articulated_preposition,dal,dal,da,,"Ho preso il volantino dal ristorante.","I took the flyer from the restaurant."
nel ristorante,false,ristorante,in the restaurant,masculine,singular,articulated_preposition,nel,nel,in,,"Ci siamo incontrati nel ristorante.","We met in the restaurant."
sul ristorante,false,ristorante,on/about the restaurant,masculine,singular,articulated_preposition,sul,sul,su,,"Ho letto una recensione sul ristorante.","I read a review about the restaurant."
col ristorante,false,ristorante,with the restaurant,masculine,singular,articulated_preposition,col,col,con,"contraction of con + il","Hanno un accordo col ristorante vicino.","They have an agreement with the nearby restaurant."
ai ristoranti,false,ristorante,to the restaurants,masculine,plural,articulated_preposition,ai,ai,a,,"Ho telefonato ai ristoranti della zona.","I phoned the restaurants in the area."
dai ristoranti,false,ristorante,from the restaurants,masculine,plural,articulated_preposition,dai,dai,da,,"Prendo i prodotti dai ristoranti locali.","I take products from the local restaurants."
nei ristoranti,false,ristorante,in the restaurants,masculine,plural,articulated_preposition,nei,nei,in,,"Nei ristoranti italiani si mangia tardi.","In Italian restaurants people eat late."
sui ristoranti,false,ristorante,on/about the restaurants,masculine,plural,articulated_preposition,sui,sui,su,,"Ci sono molte recensioni sui ristoranti della città.","There are many reviews about the city's restaurants."
coi ristoranti,false,ristorante,with the restaurants,masculine,plural,articulated_preposition,coi,coi,con,"contraction of con + i","Abbiamo collaborato coi ristoranti per l'evento.","We collaborated with the restaurants for the event."
