term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
sedia,true,sedia,chair,feminine,singular,none,n/a,n/a,n/a,base lemma,Ho una sedia in cucina.,I have a chair in the kitchen.
una sedia,false,sedia,a chair,feminine,singular,indefinite,una,una,n/a,,Ho una sedia comoda.,I have a comfortable chair.
la sedia,false,sedia,the chair,feminine,singular,definite,la,la,n/a,,La sedia è rotta.,The chair is broken.
sedie,false,sedia,chairs,feminine,plural,none,n/a,n/a,n/a,plural form,Sedie antiche arredano il salotto.,Ancient chairs furnish the living room.
le sedie,false,sedia,the chairs,feminine,plural,definite,le,le,n/a,,Le sedie sono in sala.,The chairs are in the room.
delle sedie,false,sedia,some chairs,feminine,plural,articulated_preposition,le,delle,di,,Ci sono delle sedie nel magazzino.,There are some chairs in the warehouse.
della sedia,false,sedia,of the chair,feminine,singular,articulated_preposition,la,della,di,,Il colore della sedia è rosso.,The color of the chair is red.
alla sedia,false,sedia,to the chair,feminine,singular,articulated_preposition,la,alla,a,,Metto il cuscino alla sedia.,I put the cushion on the chair.
alle sedie,false,sedia,to the chairs,feminine,plural,articulated_preposition,le,alle,a,,Porto i cuscini alle sedie.,I bring the cushions to the chairs.
dalla sedia,false,sedia,from the chair,feminine,singular,articulated_preposition,la,dalla,da,,Ho tolto le briciole dalla sedia.,I removed the crumbs from the chair.
dalle sedie,false,sedia,from the chairs,feminine,plural,articulated_preposition,le,dalle,da,,Ho tolto le briciole dalle sedie.,I removed the crumbs from the chairs.
nella sedia,false,sedia,in the chair,feminine,singular,articulated_preposition,la,nella,in,,Il gattino è nella sedia.,The kitten is in the chair.
nelle sedie,false,sedia,in the chairs,feminine,plural,articulated_preposition,le,nelle,in,,Sono sedute nelle sedie.,They are seated in the chairs.
sulla sedia,false,sedia,on the chair,feminine,singular,articulated_preposition,la,sulla,su,,Metto il libro sulla sedia.,I put the book on the chair.
sulle sedie,false,sedia,on the chairs,feminine,plural,articulated_preposition,le,sulle,su,,I libri sono sulle sedie.,The books are on the chairs.
con la sedia,false,sedia,with the chair,feminine,singular,articulated_preposition,la,con la,con,,Sposto il tavolo con la sedia.,I move the table with the chair.
con le sedie,false,sedia,with the chairs,feminine,plural,articulated_preposition,le,con le,con,,Abbiamo sistemato la stanza con le sedie.,We set up the room with the chairs.
col sedia,false,sedia,with the chair (col - incorrect),feminine,singular,articulated_preposition,il,col,con,not used with feminine nouns; use 'con la'," 'Col sedia' è scorretto; si dice 'con la sedia'.","'Col sedia' is incorrect; say 'con la sedia'."
coi sedie,false,sedia,with the chairs (coi - incorrect),feminine,plural,articulated_preposition,i,coi,con,not used with feminine nouns; use 'con le'," 'Coi sedie' è scorretto; si dice 'con le sedie'.","'Coi sedie' is incorrect; say 'con le sedie'."
