term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
camera,true,camera,room,feminine,singular,none,n/a,n/a,n/a,base lemma,"Cerco camera per due persone.","I'm looking for a room for two people."
una camera,false,camera,a room,feminine,singular,indefinite,una,una,n/a,,"Ho prenotato una camera per stasera.","I booked a room for tonight."
la camera,false,camera,the room,feminine,singular,definite,la,la,n/a,,"La camera ha una vista sul mare.","The room has a view of the sea."
camere,false,camera,rooms,feminine,plural,none,n/a,n/a,n/a,plural form,"Camere libere al primo piano.","Rooms available on the first floor."
le camere,false,camera,the rooms,feminine,plural,definite,le,le,n/a,,"Le camere sono pronte per gli ospiti.","The rooms are ready for the guests."
delle camere,false,camera,some rooms,feminine,plural,articulated_preposition,delle,delle,di,indefinite plural (some), "Ci sono delle camere ancora libere.","There are still some rooms available."
della camera,false,camera,of the room / the room's,feminine,singular,articulated_preposition,la,della,di,,"La porta della camera è rotta.","The door of the room is broken."
alla camera,false,camera,to the room,feminine,singular,articulated_preposition,la,alla,a,,"Ho portato il bagaglio alla camera.","I took the luggage to the room."
alle camere,false,camera,to the rooms,feminine,plural,articulated_preposition,le,alle,a,,"Ho consegnato le chiavi alle camere.","I delivered the keys to the rooms."
dalla camera,false,camera,from the room,feminine,singular,articulated_preposition,la,dalla,da,,"Ho sentito rumori dalla camera accanto.","I heard noises from the next room."
dalle camere,false,camera,from the rooms,feminine,plural,articulated_preposition,le,dalle,da,,"Le luci vengono dalle camere al piano di sotto.","The lights come from the rooms downstairs."
nella camera,false,camera,in the room,feminine,singular,articulated_preposition,la,nella,in,,"Nella camera c'è una scrivania.","In the room there is a desk."
nelle camere,false,camera,in the rooms,feminine,plural,articulated_preposition,le,nelle,in,,"Nelle camere ci sono armadi grandi.","There are big wardrobes in the rooms."
sulla camera,false,camera,on the room,feminine,singular,articulated_preposition,la,sulla,su,,"Sulla camera è appeso un cartellino con il numero.","A tag with the number is hanging on the room."
sulle camere,false,camera,on the rooms,feminine,plural,articulated_preposition,le,sulle,su,,"Sulle camere sono stati affissi nuovi numeri.","New numbers have been posted on the rooms."
con la camera,false,camera,with the room,feminine,singular,articulated_preposition,la,con la,con,,"Con la camera è incluso il servizio in camera.","Room service is included with the room."
con le camere,false,camera,with the rooms,feminine,plural,articulated_preposition,le,con le,con,,"Con le camere adiacenti abbiamo creato una suite.","With the adjacent rooms we created a suite."
