term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
macchina,true,macchina,car,feminine,singular,none,n/a,n/a,n/a,base lemma,"Ho parcheggiato la macchina in cortile.","I parked the car in the yard."
una macchina,false,macchina,a car,feminine,singular,indefinite,una,una,n/a,,"Ho comprato una macchina nuova.","I bought a new car."
la macchina,false,macchina,the car,feminine,singular,definite,la,la,n/a,,"La macchina è rossa.","The car is red."
macchine,false,macchina,cars,feminine,plural,none,n/a,n/a,n/a,plural form,"Macchine moderne consumano meno carburante.","Modern cars consume less fuel."
le macchine,false,macchina,the cars,feminine,plural,definite,le,le,n/a,,"Le macchine sono ferme nel traffico.","The cars are stuck in traffic."
delle macchine,false,macchina,some cars,feminine,plural,articulated_preposition,le,delle,di,"partitive (some)","Ho visto delle macchine nel cortile.","I saw some cars in the yard."
della macchina,false,macchina,of the car / the car's,feminine,singular,articulated_preposition,la,della,di,,"Il colore della macchina è brillante.","The car's color is bright."
alla macchina,false,macchina,to the car,feminine,singular,articulated_preposition,la,alla,a,,"Ho legato il cane alla macchina.","I tied the dog to the car."
alle macchine,false,macchina,to the cars,feminine,plural,articulated_preposition,le,alle,a,,"Porta i bagagli alle macchine.","Bring the luggage to the cars."
dalla macchina,false,macchina,from the car,feminine,singular,articulated_preposition,la,dalla,da,,"Ho preso un libro dalla macchina.","I took a book from the car."
dalle macchine,false,macchina,from the cars,feminine,plural,articulated_preposition,le,dalle,da,,"Provenivano rumori dalle macchine.","Noises were coming from the cars."
nella macchina,false,macchina,in the car,feminine,singular,articulated_preposition,la,nella,in,,"C’è una borsa nella macchina.","There is a bag in the car."
nelle macchine,false,macchina,in the cars,feminine,plural,articulated_preposition,le,nelle,in,,"Troverai documenti nelle macchine.","You will find documents in the cars."
sulla macchina,false,macchina,on the car,feminine,singular,articulated_preposition,la,sulla,su,,"Ho messo una coperta sulla macchina.","I put a blanket on the car."
sulle macchine,false,macchina,on the cars,feminine,plural,articulated_preposition,le,sulle,su,,"Ho posato adesivi sulle macchine.","I placed stickers on the cars."
con la macchina,false,macchina,with the car,feminine,singular,articulated_preposition,la,con la,con,,"Vado al lavoro con la macchina.","I go to work by car."
con le macchine,false,macchina,with the cars,feminine,plural,articulated_preposition,le,con le,con,,"Con le macchine moderne il consumo è minore.","With modern cars, consumption is lower."
col macchina,false,macchina,"with the car (col) — ungrammatical",feminine,singular,articulated_preposition,il,col,con,"contraction of con + il; not used with feminine nouns; ungrammatical with 'macchina'","Col macchina non è corretto; si dice con la macchina.","'Col macchina' is not correct; you say 'con la macchina'."
coi macchine,false,macchina,"with the cars (coi) — ungrammatical",feminine,plural,articulated_preposition,i,coi,con,"contraction of con + i; not used with feminine nouns; ungrammatical with 'macchine'","Coi macchine non è corretto; si dice con le macchine.","'Coi macchine' is not correct; you say 'con le macchine'."
