term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
bagno,true,bagno,bathroom,masculine,singular,none,n/a,n/a,n/a,base lemma,"Il bagno è pulito.","The bathroom is clean."
un bagno,false,bagno,a bathroom,masculine,singular,indefinite,un,un,n/a,,"Ho bisogno di un bagno.","I need a bathroom."
il bagno,false,bagno,the bathroom,masculine,singular,definite,il,il,n/a,,"Il bagno è al piano di sotto.","The bathroom is downstairs."
bagni,false,bagno,bathrooms,masculine,plural,none,n/a,n/a,n/a,plural form,"I bagni sono puliti.","The bathrooms are clean."
i bagni,false,bagno,the bathrooms,masculine,plural,definite,i,i,n/a,,"I bagni sono occupati.","The bathrooms are occupied."
dei bagni,false,bagno,some bathrooms,masculine,plural,articulated_preposition,i,dei,di,partitive/indefinite plural,"Ho visto dei bagni vecchi nella casa.","I saw some old bathrooms in the house."
del bagno,false,bagno,of the bathroom,masculine,singular,articulated_preposition,il,del,di,,"Il pavimento del bagno è bagnato.","The bathroom floor is wet."
al bagno,false,bagno,to the bathroom,masculine,singular,articulated_preposition,il,al,a,,"Portami al bagno, per favore.","Take me to the bathroom, please."
ai bagni,false,bagno,to the bathrooms,masculine,plural,articulated_preposition,i,ai,a,,"I bambini sono andati ai bagni della scuola.","The children went to the school's bathrooms."
dal bagno,false,bagno,from the bathroom,masculine,singular,articulated_preposition,il,dal,da,,"Ho sentito un rumore dal bagno.","I heard a noise from the bathroom."
dai bagni,false,bagno,from the bathrooms,masculine,plural,articulated_preposition,i,dai,da,,"L'odore proveniva dai bagni pubblici.","The smell came from the public bathrooms."
nel bagno,false,bagno,in the bathroom,masculine,singular,articulated_preposition,il,nel,in,,"C'è una finestra nel bagno.","There is a window in the bathroom."
nei bagni,false,bagno,in the bathrooms,masculine,plural,articulated_preposition,i,nei,in,,"Ci sono asciugamani nei bagni.","There are towels in the bathrooms."
sul bagno,false,bagno,on the bathroom,masculine,singular,articulated_preposition,il,sul,su,,"Ho trovato una macchia sul bagno.","I found a stain on the bathroom."
sui bagni,false,bagno,on the bathrooms,masculine,plural,articulated_preposition,i,sui,su,,"Ho trovato muffa sui bagni pubblici.","I found mold on the public bathrooms."
col bagno,false,bagno,with the bathroom,masculine,singular,articulated_preposition,il,col,con,common contraction,"Preferisco una camera col bagno.","I prefer a room with a bathroom."
coi bagni,false,bagno,with the bathrooms,masculine,plural,articulated_preposition,i,coi,con,common contraction,"Gli ospiti sono soddisfatti coi bagni dell'hotel.","Guests are satisfied with the hotel's bathrooms."
