term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
vino,true,vino,wine,masculine,singular,none,n/a,n/a,n/a,"mass noun; also used countably for types or bottles","Bevo vino ogni sera.","I drink wine every evening."
un vino,false,vino,a wine,masculine,singular,indefinite,un,un,n/a,"countable use (a bottle/type)","Ho comprato un vino rosso.","I bought a red wine."
il vino,false,vino,the wine,masculine,singular,definite,il,il,n/a,,"Il vino è sulla tavola.","The wine is on the table."
vini,false,vino,wines,masculine,plural,none,n/a,n/a,n/a,"plural used for types/bottles","Ci sono molti vini in enoteca.","There are many wines at the wine shop."
i vini,false,vino,the wines,masculine,plural,definite,i,i,n/a,,"I vini sono esposti per la degustazione.","The wines are displayed for tasting."
dei vini,false,vino,some wines,masculine,plural,articulated_preposition,i,dei,di,"partitive 'some' / indefinite plural","Ho assaggiato dei vini locali.","I tasted some local wines."
del vino,false,vino,of the wine / some wine,masculine,singular,articulated_preposition,il,del,di,"partitive/genitive","Il colore del vino è intenso.","The color of the wine is intense."
al vino,false,vino,to the wine,masculine,singular,articulated_preposition,il,al,a,,"Brindiamo al vino.","We toast to the wine."
ai vini,false,vino,to the wines,masculine,plural,articulated_preposition,i,ai,a,,"Si abbinano ai vini bianchi.","They pair with white wines."
dal vino,false,vino,from the wine,masculine,singular,articulated_preposition,il,dal,da,,"La macchia dal vino è difficile da togliere.","The wine stain is hard to remove."
dai vini,false,vino,from the wines,masculine,plural,articulated_preposition,i,dai,da,,"Ho sentito aromi dai vini assaggiati.","I smelled aromas from the wines tasted."
nel vino,false,vino,in the wine,masculine,singular,articulated_preposition,il,nel,in,,"Nel vino si sentono note di frutta.","In the wine one can taste notes of fruit."
nei vini,false,vino,in the wines,masculine,plural,articulated_preposition,i,nei,in,,"Nei vini rossi si trovano tannini.","In red wines there are tannins."
sul vino,false,vino,on/about the wine,masculine,singular,articulated_preposition,il,sul,su,,"Ho letto una recensione sul vino.","I read a review about the wine."
sui vini,false,vino,on/about the wines,masculine,plural,articulated_preposition,i,sui,su,,"Ho letto articoli sui vini italiani.","I read articles about Italian wines."
col vino,false,vino,with the wine,masculine,singular,articulated_preposition,il,col,con,"common contraction","L'arrosto è cucinato col vino.","The roast is cooked with wine."
coi vini,false,vino,with the wines,masculine,plural,articulated_preposition,i,coi,con,"common contraction","Abbina i formaggi coi vini appropriati.","Pair cheeses with the appropriate wines."
