term_italian,is_base,base_word_italian,translation_english,gender,plurality,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english
tavolo,true,tavolo,table,masculine,singular,none,n/a,n/a,n/a,base lemma,"Costruisco un tavolo antico.","I am building an antique table."
un tavolo,false,tavolo,a table,masculine,singular,indefinite,un,un,n/a,,"Ho comprato un tavolo nuovo.","I bought a new table."
il tavolo,false,tavolo,the table,masculine,singular,definite,il,il,n/a,,"Il tavolo è di legno.","The table is made of wood."
tavoli,false,tavolo,tables,masculine,plural,none,n/a,n/a,n/a,plural form,"Tavoli e sedie sono nel magazzino.","Tables and chairs are in storage."
i tavoli,false,tavolo,the tables,masculine,plural,definite,i,i,n/a,,"I tavoli sono stati spostati.","The tables have been moved."
dei tavoli,false,tavolo,some tables,masculine,plural,articulated_preposition,dei,dei,di,partitive/indefinite plural,"Ho visto dei tavoli nella fabbrica.","I saw some tables in the factory."
del tavolo,false,tavolo,of the table/ the table's,masculine,singular,articulated_preposition,del,del,di,,"La superficie del tavolo è graffiata.","The surface of the table is scratched."
al tavolo,false,tavolo,to the table/at the table,masculine,singular,articulated_preposition,al,al,a,,"Siediti al tavolo.","Sit at the table."
ai tavoli,false,tavolo,to the tables/at the tables,masculine,plural,articulated_preposition,ai,ai,a,,"Ho servito il caffè ai tavoli.","I served coffee to the tables."
dal tavolo,false,tavolo,from the table,masculine,singular,articulated_preposition,dal,dal,da,,"Prendi il piatto dal tavolo.","Take the plate from the table."
dai tavoli,false,tavolo,from the tables,masculine,plural,articulated_preposition,dai,dai,da,,"Ho raccolto le briciole dai tavoli.","I collected the crumbs from the tables."
nel tavolo,false,tavolo,in the table,masculine,singular,articulated_preposition,nel,nel,in,,"C'è un cassetto nel tavolo.","There is a drawer in the table."
nei tavoli,false,tavolo,in the tables,masculine,plural,articulated_preposition,nei,nei,in,,"Non ci sono cassetti nei tavoli moderni.","There are no drawers in modern tables."
sul tavolo,false,tavolo,on the table,masculine,singular,articulated_preposition,sul,sul,su,,"Il libro è sul tavolo.","The book is on the table."
sui tavoli,false,tavolo,on the tables,masculine,plural,articulated_preposition,sui,sui,su,,"I piatti sono sui tavoli.","The plates are on the tables."
col tavolo,false,tavolo,with the table,masculine,singular,articulated_preposition,col,col,con,common contraction of con + il,"Ho spostato la lampada col tavolo.","I moved the lamp with the table."
coi tavoli,false,tavolo,with the tables,masculine,plural,articulated_preposition,coi,coi,con,common contraction of con + i,"Ho disposto le sedie coi tavoli.","I arranged the chairs with the tables."
