english,italian,english_base_word,is_base

### Questions ###
how much is it,quante,how much,true

this one (masculine),questo,this one,true
this one (feminine),questa,this one,false

these ones (masculine),questi,these ones,true
these ones (feminine),queste,these ones,false

that one (masculine),quello,that one,true
that one (feminine),quella,that one,false

those ones (masculine),quelli,those ones,true
those ones (feminine),quelle,those ones,false

### Phrases ###
that one over there,quello laggiù,that one over there,true
those ones over there (masculine),quelli laggiù

large,grande,large,true
larger,più grande,large,false
the largest,il più grande,large,false

small (masculine),piccolo,small,true
small (feminine),piccola,small,false
smaller (masculine),più piccolo,small,false
smaller (feminine),più piccola,small,false
the smallest (masculine),il più piccolo,small,false
the smallest (feminine),la più piccola,small,false

like this,così,like this,true
like this one,come questo,like this one,true

better,meglio,better,true

expensive (masculine),caro,expensive,true
expensive (feminine),cara,expensive,false

more expensive (masculine),più caro,more expensive,true
more expensive (feminine),più cara,more expensive,false

the most expensive (masculine),il più caro,most expensive,true
the most expensive (feminine),la più cara,most expensive,false

less expensive (masculine),meno caro,less expensive,true
less expensive (feminine),meno cara,less expensive,false

the least expensive (masculine),il meno caro,least expensive,true
the least expensive (feminine),la meno cara,least expensive,false

too expensive (masculine),troppo caro,expensive,true

cheap (masculine),poco caro,cheap,true
cheap (feminine),poca cara,cheap,false

something,qualcosa,something,true

to look for,cercare,look for,true
I look for,cerco,look for,false
you look for (familiar),cerchi,look for,false
you look for (formal),Lei cerca,look for,false
we look for,cerchiamo,look for,false
you all look for,cerchiate,look for,false
they look for,cercano,look for,false
