path	text	translation_en
vocabulary/dataframes/NOUN/macchia.tsv	macchia	
vocabulary/dataframes/NOUN/macchia.tsv	macchie	
vocabulary/dataframes/NOUN/macchinetta.tsv	macchinetta	
vocabulary/dataframes/NOUN/macchinetta.tsv	macchinette	
vocabulary/dataframes/NOUN/macchinista.tsv	macchinisti	
vocabulary/dataframes/NOUN/macedonia.tsv	macedonia	
vocabulary/dataframes/NOUN/macellaio.tsv	macellaio	
vocabulary/dataframes/NOUN/macelleria.tsv	macelleria	
vocabulary/dataframes/NOUN/maceta.tsv	macete	
vocabulary/dataframes/NOUN/macheta.tsv	machete	
vocabulary/dataframes/NOUN/machina.tsv	machina	
vocabulary/dataframes/NOUN/machine.tsv	machine	
vocabulary/dataframes/NOUN/madrelingua.tsv	madrelingua	
vocabulary/dataframes/NOUN/madrina.tsv	madrina	
vocabulary/dataframes/NOUN/maestra.tsv	maestra	
vocabulary/dataframes/NOUN/maestra.tsv	maestre	
vocabulary/dataframes/NOUN/maestro.tsv	maestro	
vocabulary/dataframes/NOUN/maestro.tsv	maestri	
vocabulary/dataframes/NOUN/mafia.tsv	mafia	
vocabulary/dataframes/NOUN/maga.tsv	maga	
vocabulary/dataframes/NOUN/magazzino.tsv	magazzino	
vocabulary/dataframes/NOUN/magazzino.tsv	magazzini	
vocabulary/dataframes/NOUN/maggio.tsv	maggio	
vocabulary/dataframes/NOUN/maggioranza.tsv	maggioranza	
vocabulary/dataframes/NOUN/maggiorazione.tsv	maggiorazioni	
vocabulary/dataframes/NOUN/magia.tsv	magia	
vocabulary/dataframes/NOUN/magistrale.tsv	magistrale	
vocabulary/dataframes/NOUN/maglia.tsv	maglia	
vocabulary/dataframes/NOUN/maglia.tsv	maglie	
vocabulary/dataframes/NOUN/maglietta.tsv	maglietta	
vocabulary/dataframes/NOUN/maglietta.tsv	magliette	
vocabulary/dataframes/NOUN/maglione.tsv	maglione	
vocabulary/dataframes/NOUN/maglione.tsv	maglioni	
vocabulary/dataframes/NOUN/magnate.tsv	magnate	
vocabulary/dataframes/NOUN/magneta.tsv	magneti	
vocabulary/dataframes/NOUN/magnete.tsv	magnete	
vocabulary/dataframes/NOUN/magnetismo.tsv	magnetismo	
vocabulary/dataframes/NOUN/magnificenza.tsv	magnificenza	
vocabulary/dataframes/NOUN/magnitudo.tsv	magnitudo	
