path	text	pronunciation	translation_en
vocabulary/dataframes/NOUN/d.tsv	d	DEE	letter d
vocabulary/dataframes/NOUN/dachshund.tsv	dachshund	DAHK-soond	dachshund
vocabulary/dataframes/NOUN/dade.tsv	dadi	DAH-dee	dice
vocabulary/dataframes/NOUN/dado.tsv	dado	DAH-doh	die; gaming cube
vocabulary/dataframes/NOUN/daiquire.tsv	daiquiri	DAI-kwee-ree	daiquiri
vocabulary/dataframes/NOUN/dama.tsv	dama	DAH-mah	lady; dame
vocabulary/dataframes/NOUN/dan.tsv	dan	DAHN	dan rank
vocabulary/dataframes/NOUN/danese.tsv	danese	dah-NEH-zeh	Danish; Dane
vocabulary/dataframes/NOUN/dannazione.tsv	dannazione	dahn-nah-TSYOH-neh	damnation; damn it
vocabulary/dataframes/NOUN/danno.tsv	danni	DAHN-nee	damages; harms
vocabulary/dataframes/NOUN/danno.tsv	danno	DAHN-noh	damage; harm
vocabulary/dataframes/NOUN/danza.tsv	danza	DAHN-tsah	dance
vocabulary/dataframes/NOUN/danzatore.tsv	danzatrice	dahn-tsah-TREE-cheh	dancer (feminine)
vocabulary/dataframes/NOUN/danzatore.tsv	danzatrici	dahn-tsah-TREE-chee	dancers (feminine)
vocabulary/dataframes/NOUN/danzo.tsv	danzo	DAHN-dzoh	I dance
vocabulary/dataframes/NOUN/dardo.tsv	dardo	DAR-doh	dart
vocabulary/dataframes/NOUN/dare.tsv	dia	DEE-ah	give it (formal imperative)
vocabulary/dataframes/NOUN/darle.tsv	darle	DAR-leh	to give her
vocabulary/dataframes/NOUN/data.tsv	data	DAH-tah	date
vocabulary/dataframes/NOUN/data.tsv	date	DAH-teh	dates
vocabulary/dataframes/NOUN/database.tsv	database	DAH-tah-bays	database
vocabulary/dataframes/NOUN/datazione.tsv	datazione	dah-tah-TSYOH-neh	dating; chronology
vocabulary/dataframes/NOUN/dativo.tsv	dativo	dah-TEE-voh	dative case
vocabulary/dataframes/NOUN/dato.tsv	dati	DAH-tee	data; figures
vocabulary/dataframes/NOUN/dato.tsv	dato	DAH-toh	data point; fact
vocabulary/dataframes/NOUN/datore.tsv	datore	dah-TOH-reh	employer
vocabulary/dataframes/NOUN/datore.tsv	datori	dah-TOH-ree	employers
vocabulary/dataframes/NOUN/davanzale.tsv	davanzale	dah-vahn-ZAH-leh	windowsill
vocabulary/dataframes/NOUN/dazio.tsv	dazio	DAH-tsyoh	customs duty
vocabulary/dataframes/NOUN/debito.tsv	debiti	DEH-bee-tee	debts
vocabulary/dataframes/NOUN/debito.tsv	debito	DEH-bee-toh	debt
vocabulary/dataframes/NOUN/debitore.tsv	debitori	deh-bee-TOH-ree	debtors
vocabulary/dataframes/NOUN/debole.tsv	debole	DEH-boh-leh	weakness; soft spot
vocabulary/dataframes/NOUN/debolezza.tsv	debolezze	deh-boh-LET-tseh	weaknesses
vocabulary/dataframes/NOUN/debolezza.tsv	debolezza	deh-boh-LET-tsah	weakness
vocabulary/dataframes/NOUN/debugging.tsv	debugging	dee-BUHG-ghing	debugging
vocabulary/dataframes/NOUN/decappottabile.tsv	decappottabile	deh-kahp-poht-TAH-bee-leh	convertible car
vocabulary/dataframes/NOUN/decennio.tsv	decenni	deh-CHEN-nee	decades
vocabulary/dataframes/NOUN/decenza.tsv	decenza	deh-CHEN-tsah	decency
vocabulary/dataframes/NOUN/decesso.tsv	decesso	deh-CHEH-soh	death
vocabulary/dataframes/NOUN/decimale.tsv	decimali	deh-chee-MAH-lee	decimals
vocabulary/dataframes/NOUN/decina.tsv	decina	deh-CHEE-nah	group of ten
vocabulary/dataframes/NOUN/declinazione.tsv	declinazioni	deh-klee-nah-TSYOH-nee	declensions
vocabulary/dataframes/NOUN/declino.tsv	declino	deh-KLEE-noh	decline
vocabulary/dataframes/NOUN/decollo.tsv	decollo	deh-KOHL-loh	takeoff
vocabulary/dataframes/NOUN/decoratore.tsv	decoratrice	deh-koh-rah-TREE-cheh	decorator (feminine)
vocabulary/dataframes/NOUN/decorazione.tsv	decorazione	deh-koh-rah-TSYOH-neh	decoration
vocabulary/dataframes/NOUN/decorazione.tsv	decorazioni	deh-koh-rah-TSYOH-nee	decorations
vocabulary/dataframes/NOUN/decoro.tsv	decoro	deh-KOH-roh	decorum
vocabulary/dataframes/NOUN/dedizione.tsv	dedizione	deh-dee-TSYOH-neh	dedication; devotion
vocabulary/dataframes/NOUN/defenestro.tsv	defenestro	deh-feh-NEH-stroh	I defenestrate
vocabulary/dataframes/NOUN/deferenza.tsv	deferenza	deh-feh-REN-tsah	deference
vocabulary/dataframes/NOUN/defibrillatore.tsv	defibrillatore	deh-fee-breel-lah-TOH-reh	defibrillator
vocabulary/dataframes/NOUN/defibrillatore.tsv	defibrillatori	deh-fee-breel-lah-TOH-ree	defibrillators
vocabulary/dataframes/NOUN/deficiente.tsv	deficienti	deh-fee-CHEN-tee	idiots; morons
vocabulary/dataframes/NOUN/definizione.tsv	definizione	deh-fee-nee-TSYOH-neh	definition
vocabulary/dataframes/NOUN/definizione.tsv	definizioni	deh-fee-nee-TSYOH-nee	definitions
vocabulary/dataframes/NOUN/defunto.tsv	defunto	deh-FOON-toh	deceased person
vocabulary/dataframes/NOUN/degradazione.tsv	degradazione	deh-grah-dah-TSYOH-neh	degradation
vocabulary/dataframes/NOUN/delegato.tsv	delegati	deh-leh-GAH-tee	delegates
vocabulary/dataframes/NOUN/delfino.tsv	delfini	dehl-FEE-nee	dolphins
vocabulary/dataframes/NOUN/delfino.tsv	delfino	dehl-FEE-noh	dolphin
vocabulary/dataframes/NOUN/delicatezza.tsv	delicatezza	deh-lee-kah-TET-tsah	delicacy; gentleness
vocabulary/dataframes/NOUN/delinquente.tsv	delinquente	deh-leen-KWEN-teh	delinquent
vocabulary/dataframes/NOUN/delinquenza.tsv	delinquenza	deh-leen-KWEN-tsah	delinquency
vocabulary/dataframes/NOUN/delirio.tsv	delirio	deh-LEE-ryoh	delirium
vocabulary/dataframes/NOUN/delitto.tsv	delitto	deh-LEET-toh	crime
vocabulary/dataframes/NOUN/delizia.tsv	delizia	deh-LEE-tsyah	delight
vocabulary/dataframes/NOUN/delucidazione.tsv	delucidazione	deh-loo-chee-dah-TSYOH-neh	clarification
vocabulary/dataframes/NOUN/delusione.tsv	delusione	deh-loo-ZYOH-neh	disappointment
vocabulary/dataframes/NOUN/demagogia.tsv	demagogia	deh-mah-goh-JEE-ah	demagoguery
vocabulary/dataframes/NOUN/demenza.tsv	demenza	deh-MEN-tsah	dementia
