text_it	text_en	hash	text_it_length	text_en_length
Qual è l'obiezione?	What's the objection?	12f35cc4-56a8-5ade-9ccd-677a452a565a	19	21
Tom ha infranto la legge.	Tom broke the law.	517305f2-a601-5cfd-b9d7-15d75233e42a	25	18
Tom infranse la legge.	Tom broke the law.	61d71f06-8a47-57e1-b943-e31d0e1d9919	22	18
Tom ha dei problemi alla schiena.	Tom has back problems.	7e034268-cd56-5486-ad83-da818ab534eb	33	22
Era un sì o un no?	Was that a yes or a no?	75ee5aaa-f5df-5fb7-90a2-1ae840cfea0b	18	23
Tom non ci tradirà mai.	Tom will never betray us.	8a892d1d-c135-56ec-a972-37b3b51700b7	23	25
Ci posso pensare?	May I think about it?	d7265361-da2f-5dc3-9bd1-abcb1f8e964b	17	21
È qualcosa che non dimenticherò mai.	That's something I'll never forget.	de44299f-168c-5ee9-b14e-6cb99ea34bfb	36	35
È qualcosa che non scorderò mai.	That's something I'll never forget.	8d4248b9-2ce8-50a5-aa66-6f88d0ae0e47	32	35
Non sono ricco come ero una volta.	I'm not as rich as I used to be.	647da0ba-5c0a-5bef-8400-6da8192562a7	34	32
Non sono ricca come ero una volta.	I'm not as rich as I used to be.	91b9f102-279d-5ff0-8fe0-2815aff15a43	34	32
Non posso andare da solo.	I can't go alone.	877fb4be-9a2f-5c55-a69d-cbfe2e054676	25	17
Non posso andare da sola.	I can't go alone.	b2bc5517-f767-5ef0-85bd-fd5ef0c091b5	25	17
Sei un perfezionista?	Are you a perfectionist?	cf826cfc-07a0-535c-9ac5-8ddde5ac900c	21	24
Sei una perfezionista?	Are you a perfectionist?	e1a0a81c-a862-57a9-8407-6c7c38dc5937	22	24
È un perfezionista?	Are you a perfectionist?	b0a344eb-a064-5792-abee-8931bc06af62	19	24
È una perfezionista?	Are you a perfectionist?	3732dcd0-4802-5e91-9a2f-d234c739c8a6	20	24
Ho i capelli scuri.	I have dark hair.	797699c3-0905-5886-9caa-a7e7986603ce	19	17
Era un disaccordo.	It was a disagreement.	f84cd3ec-1a40-51d2-8fe1-4199ab1c4c9d	18	22
L'ho visto fatto.	I've seen it done.	ada8216e-1ed0-5a06-bf78-ca1b35cd179e	17	18
L'ho vista fatta.	I've seen it done.	310b9ace-caab-50f5-b1b2-431b3c0158e6	17	18
Ha vissuto qui per due anni?	Has he lived here for two years?	9c630dd9-b482-52f2-a2d0-83be9901ffb9	28	32
Ha abitato qui per due anni?	Has he lived here for two years?	15feca12-678d-516b-8c3c-447e94133376	28	32
Non cambierò idea.	I'm not going to change my mind.	85953f88-0ecf-5c92-b66f-b45a6b834322	18	32
Tom era ossessivo.	Tom used to be obsessive.	e285cdc5-2d23-5a81-b7cd-0f1c90534040	18	25
Rimpiango di essere diventato un insegnante.	I regret becoming a teacher.	6d7434ca-ba90-5235-8a2e-8c1cb27224dd	44	28
Rimpiango di essere diventato un'insegnante.	I regret becoming a teacher.	a33304c3-aa05-5fe7-9a98-187321cca946	44	28
Siamo bloccati qui.	We're stuck here.	a4ef84f4-f515-509a-9284-8ed33faa895a	19	17
Siamo bloccate qui.	We're stuck here.	566112f9-1294-5910-adf0-985dcc0d698c	19	17
Wow! Hai perso peso. Sei a dieta?	Wow! You've lost weight. Are you on a diet?	598a058f-82c5-5af7-a217-1e3e9fc0fdfc	33	43
Wow! Avete perso peso. Siete a dieta?	Wow! You've lost weight. Are you on a diet?	c2edeade-e74b-5aed-a5fb-45f714201726	37	43
Wow! Ha perso peso. È a dieta?	Wow! You've lost weight. Are you on a diet?	7fda223c-e991-595b-bcf3-3a093740e4b7	30	43
È facile farlo.	It's easy to do that.	c0db6e66-35bb-5f21-8444-b9557013f882	15	21
Tom mi stava aiutando.	Tom was helping me.	d2eed3cd-8c99-5bea-ab3a-4a75a3dbb741	22	19
Perché Tom è qui, comunque?	Why is Tom here anyway?	7f6a74fa-d13d-5fce-a2f1-4afa77c08a64	27	23
Tom è tuo zio.	Tom is your uncle.	588105b5-270e-5e4f-9c90-098bbb11a826	14	18
Tom è suo zio.	Tom is your uncle.	8a310dae-36eb-59ce-ad9b-fa5df1e26da9	14	18
Tom è vostro zio.	Tom is your uncle.	a4027243-0cf4-57e4-a095-7fc7d5ab339c	17	18
Possiamo essere in pericolo.	We may be in danger.	aab26c40-07a3-5ab4-94c7-b8cf8cfa6ac5	28	20
Cosa succederà a Tom?	What'll happen to Tom?	7b255983-fcd2-5b47-b2ac-b662c78ea276	21	22
Tom ha quello che vuole.	Tom has what he wants.	e35b0b80-18a8-560b-a0fb-7259a87524f7	24	22
Tom ha ciò che vuole.	Tom has what he wants.	9516f80c-dd7a-55dc-b12d-b113853f6e6a	21	22
Tom, rispondi alla porta.	Tom, answer the door.	14e484a5-2871-5834-9710-9c38b09d15db	25	21
Tom si è rifiutato di mangiare il suo pranzo.	Tom refused to eat his lunch.	615a51f1-324b-5f43-b60c-9c32262881b7	45	29
Tom si rifiutò di mangiare il suo pranzo.	Tom refused to eat his lunch.	10121564-1e50-5684-a5ec-f5ae4215f6fd	41	29
Non penso che ne valga la pena.	I don't think it's worth it.	7c8dcf30-1a3d-524e-9376-37227ee2e93e	31	28
Niente è davvero facile.	Nothing is really easy.	458b55c8-8e88-5cd6-b041-749d9b11b676	24	23
Nulla è davvero facile.	Nothing is really easy.	f089c77f-8b9b-5f15-a1a2-ca8bd5692187	23	23
Nulla è veramente facile.	Nothing is really easy.	eb2e7802-9068-510b-a799-df3e87bde79d	25	23
Niente è veramente facile.	Nothing is really easy.	e9f4d8f5-d537-517c-a44c-ad62241c8cb8	26	23
Mary si è messa un fiore tra i capelli.	Mary put a flower in her hair.	873576a1-5486-5ae8-addf-aed24c8fa6db	39	30
Mary si mise un fiore tra i capelli.	Mary put a flower in her hair.	b53a17e3-d0e7-54a1-88a9-269d96ff9ce8	36	30
Sarò di ritorno fra tre minuti.	I'll be back in three minutes.	9270d7ed-50be-52cf-9e9a-c4b9ba90a60c	31	30
Sarò per sempre grato.	I'll be forever grateful.	b5af2dab-83d4-54ae-91e0-6d709c492664	22	25
Sarò per sempre grata.	I'll be forever grateful.	5f2b8309-3df8-5eec-b6f8-a560ca05416f	22	25
Sarò eternamente grato.	I'll be forever grateful.	c7603340-35d3-5650-b398-92be3de0da6e	23	25
Sarò eternamente grata.	I'll be forever grateful.	6ee7d1e9-c4cc-51ab-90ed-ce348ef5e41e	23	25
Non c'è ragione di preoccuparsi.	There's no reason for concern.	d04592f3-fddb-570b-a5bf-18505f34747e	32	30
