term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,english_audio_hash,english_duration_ms,italian_audio_hash,italian_duration_ms,pronunciation
funzionare,True,funzionare,to function; to work (operate correctly),verb,to function; to work (operate correctly),"technology,core",,,,,non-finite,infinitive,False,False,False,,,,,regular -are verb; often used impersonally,Devo far funzionare la macchina.,I need to make the machine work.,773b8b6d3c5a4d16012cab94049142570faea6da71b4b2a83ffe1401d46a77ae,3576.0,95038de5a263bea5c75505095636b43d968260733700e5e155b08e4a688b5a63,1656.0,foon-dzeeoh-NAH-reh
funzionando,False,funzionare,to function; to work (operate correctly),verb,functioning; operating,"technology,core",,,,,gerund,,False,False,False,,,,,gerund form,La macchina sta funzionando.,The machine is working.,f4e63ccb270c5a0d3bcfd114e3c7bbc1c559a2d194ce739d8df666c93e6ba930,2136.0,2c5d978d9dedbdbf3b5ab6bcae86f6856a8c7735758725895d90046f96ac84c2,1776.0,foon-dzeeoh-NAHN-doh
funzionante,False,funzionare,to function; to work (operate correctly),verb,functioning; operating,"technology,core",,,masculine,singular,participle,present,False,False,False,,,,,present participle; same form for masculine and feminine singular,Un componente funzionante è stato trovato.,A working component was found.,f4e63ccb270c5a0d3bcfd114e3c7bbc1c559a2d194ce739d8df666c93e6ba930,2136.0,6294ca91d4664167001c1192765b56e400e11270fe197d053ed2bcdc9a01d7c1,1800.0,foon-dzeeoh-NAHN-teh
funzionante,False,funzionare,to function; to work (operate correctly),verb,functioning; operating,"technology,core",,,feminine,singular,participle,present,False,False,False,,,,,present participle; same form for masculine and feminine singular,Una lampada funzionante è sul tavolo.,A working lamp is on the table.,f4e63ccb270c5a0d3bcfd114e3c7bbc1c559a2d194ce739d8df666c93e6ba930,2136.0,6294ca91d4664167001c1192765b56e400e11270fe197d053ed2bcdc9a01d7c1,1800.0,foon-dzeeoh-NAHN-teh
funzionanti,False,funzionare,to function; to work (operate correctly),verb,functioning; operating,"technology,core",,,masculine,plural,participle,present,False,False,False,,,,,present participle plural form,I dispositivi funzionanti sono molti.,The working devices are many.,f4e63ccb270c5a0d3bcfd114e3c7bbc1c559a2d194ce739d8df666c93e6ba930,2136.0,28e76987e37aee603e5d990bedb83698e2ca8b01770042f0276a3d7a3052db2e,1824.0,foon-dzeeoh-NAHN-tee
funzionanti,False,funzionare,to function; to work (operate correctly),verb,functioning; operating,"technology,core",,,feminine,plural,participle,present,False,False,False,,,,,present participle plural form,Le unità funzionanti sono nuove.,The working units are new.,f4e63ccb270c5a0d3bcfd114e3c7bbc1c559a2d194ce739d8df666c93e6ba930,2136.0,28e76987e37aee603e5d990bedb83698e2ca8b01770042f0276a3d7a3052db2e,1824.0,foon-dzeeoh-NAHN-tee
funzionato,False,funzionare,to function; to work (operate correctly),verb,functioned; operated,"technology,core",,,masculine,singular,participle,past,False,False,False,,,,,past participle; masculine singular,Il dispositivo ha funzionato.,The device has worked.,863e91ff55d433413d8e868ac57eb5634056e25bd12e94014db78b470e69d906,2136.0,994b0686f9303dc79ab4fce37999d8bd309b381898d52ac655ae56045167e5c0,1728.0,foon-dzeeoh-NAH-toh
funzionata,False,funzionare,to function; to work (operate correctly),verb,functioned; operated,"technology,core",,,feminine,singular,participle,past,False,False,False,,,,,past participle; feminine singular,La macchina è stata funzionata.,The machine has been run.,863e91ff55d433413d8e868ac57eb5634056e25bd12e94014db78b470e69d906,2136.0,5afbc55aa9dbe288f55f84d9ee267ae7ff5e6fc3c5be44e80da34e0fe7bf2b52,1728.0,foon-dzeeoh-NAH-tah
funzionati,False,funzionare,to function; to work (operate correctly),verb,functioned; operated,"technology,core",,,masculine,plural,participle,past,False,False,False,,,,,past participle; masculine plural,I componenti hanno funzionati,This unit has worked.,863e91ff55d433413d8e868ac57eb5634056e25bd12e94014db78b470e69d906,2136.0,bff94292100eff65ac3647a007ff9e0b3bddcb0f225f3f37738fefcb0bbcd439,1728.0,foon-dzeeoh-NAH-tee
funzionate,False,funzionare,to function; to work (operate correctly),verb,functioned; operated,"technology,core",,,feminine,plural,participle,past,False,False,False,,,,,past participle; feminine plural,Le apparecchiature sono state funzionate.,The equipment has been operated.,863e91ff55d433413d8e868ac57eb5634056e25bd12e94014db78b470e69d906,2136.0,f179832ed570fe336c1a67309afd1bf206fc5a945e29f8be3f472a1c4548a765,1704.0,foon-dzeeoh-NAH-teh
funziono,False,funzionare,to function; to work (operate correctly),verb,I function; I operate,"technology,core",,1s,,singular,indicative,present,False,False,False,,,,,,Non funziono senza caffè.,I do not function without coffee.,4686ab3c100a668884c9ba38c9a7e267767937367fc6b9c3c6076a76ecb084c0,2280.0,779447cb72e9cdf034811663cf97881c3e6cc67d334d9c3aaf4614b147af6dfc,1608.0,foon-DZEEOH-noh
