term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,pronunciation
volere,True,volere,to want,verb,to want,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,irregular verb; past participle 'voluto'; passato remoto stem 'voll-',È importante volere ciò che fai.,It is important to want what you do.,voh-LEH-reh
volendo,False,volere,to want,verb,wanting,"core,verb",,,,,gerund,,False,False,False,,,,,,Volendo possiamo iniziare subito.,If you want we can start now.,voh-LEHN-doh
voluto,False,volere,to want,verb,wanted,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,,L'ho voluto.,I wanted it.,voh-LOO-toh
voluta,False,volere,to want,verb,wanted,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,,L'ho voluta.,I wanted it.,voh-LOO-tah
voluti,False,volere,to want,verb,wanted,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,,Li ho voluti.,I wanted them.,voh-LOO-tee
volute,False,volere,to want,verb,wanted,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,,Le ho volute.,I wanted them.,voh-LOO-teh
voglio,False,volere,to want,verb,I want,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,,io voglio un caffè.,I want a coffee.,VOH-lyeeoh
vuoi,False,volere,to want,verb,you want,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,tu vuoi venire?,Do you want to come?,VOOOHEE
vuole,False,volere,to want,verb,he wants/she wants/you (formal) want,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',lui vuole parlare.,He wants to speak.,VOOOH-leh
vogliamo,False,volere,to want,verb,we want,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,noi vogliamo partire.,We want to leave.,voh-LYEEAH-moh
volete,False,volere,to want,verb,you (plural) want,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,,voi volete più tempo.,You want more time.,voh-LEH-teh
vogliono,False,volere,to want,verb,they want,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,,loro vogliono la verità.,They want the truth.,voh-LYEEOH-noh
volevo,False,volere,to want,verb,I wanted,"core,verb",,1s,,singular,indicative,imperfect,False,False,False,,,,,,io volevo studiare.,I wanted to study.,voh-LEH-voh
volevi,False,volere,to want,verb,you wanted,"core,verb",,2s,,singular,indicative,imperfect,False,False,False,,,,,,tu volevi partire prima.,You wanted to leave earlier.,voh-LEH-vee
voleva,False,volere,to want,verb,he wanted/she wanted/you (formal) wanted,"core,verb",,3s,,singular,indicative,imperfect,False,False,False,,,,,,lei voleva un regalo.,She wanted a gift.,voh-LEH-vah
volevamo,False,volere,to want,verb,we wanted,"core,verb",,1p,,plural,indicative,imperfect,False,False,False,,,,,,noi volevamo restare.,We wanted to stay.,voh-leh-VAH-moh
volevate,False,volere,to want,verb,you (plural) wanted,"core,verb",,2p,,plural,indicative,imperfect,False,False,False,,,,,,voi volevate più informazioni.,You wanted more information.,voh-leh-VAH-teh
volevano,False,volere,to want,verb,they wanted,"core,verb",,3p,,plural,indicative,imperfect,False,False,False,,,,,,loro volevano andare.,They wanted to go.,voh-leh-VAH-noh
volli,False,volere,to want,verb,I wanted,"core,verb",,1s,,singular,indicative,passato remoto,False,False,False,,,,,,io volli cambiare tutto.,I wanted to change everything.,VOHL-lee
