term_italian,is_base,base_lemma_italian,base_lemma_english,part_of_speech,translation_english,topics,subtype,person_number,gender,plurality,mood,tense,is_comparative,is_superlative,is_compound,article_type,article_italian,added_particle_italian,preposition,notes,example_sentence_italian,example_sentence_english,italian_audio_hash,english_audio_hash,english_duration_ms,italian_duration_ms
dare,True,dare,to give,verb,to give,"core,verb",,,,,non-finite,infinitive,False,False,False,,,,,irregular present: do/dai/dà/diamo/date/danno; past participle 'dato',Voglio dare una mano.,I want to give a hand.,7bdfb196417792ed6df85184822db07b7e542c03ac2da1b10a42388238da4471,440a2cd4faea1a0cc7413100477de4be5b62cc8a9c6e0f96064124b8c259af68,1080.0,1224.0
dando,False,dare,to give,verb,giving,"core,verb",,,,,gerund,,False,False,False,,,,,gerund form,Sto dando una mano.,I am giving a hand.,7d9a660647a6bfa2ea8d537e1b255cb1f4dac7409448d6155257a9132e627d47,1f0171ae165c8e704f2a23861dec74f1dc1782922a350899c53f2fc45515c496,1056.0,1344.0
dato,False,dare,to give,verb,given,"core,verb",,,masculine,singular,participle,past,False,False,False,,,,,past participle (masculine singular),L'ho dato ieri.,I gave it yesterday.,956c27dc4db81bf345bb8ea6bf73cc41a5d28484e8600d02f83999b1ffc22409,0ddb29510405d4e53d9dfff95bdedc7c721f7a03b13119673c7b04ccf3fbed3c,1032.0,1272.0
data,False,dare,to give,verb,given,"core,verb",,,feminine,singular,participle,past,False,False,False,,,,,past participle (feminine singular),L'ho data al capo.,I gave it to the boss.,326c87b15d5ad0eab0412d7fc4d40af0d012800dfdb1add3f61f70a1b46ee9e5,0ddb29510405d4e53d9dfff95bdedc7c721f7a03b13119673c7b04ccf3fbed3c,1032.0,1272.0
dati,False,dare,to give,verb,given,"core,verb",,,masculine,plural,participle,past,False,False,False,,,,,past participle (masculine plural),Li ho dati a Marco.,I gave them to Marco.,ea675e4f6028fb17459957394e9313b15c8fd1c77c819a24221f989a7c6ce175,0ddb29510405d4e53d9dfff95bdedc7c721f7a03b13119673c7b04ccf3fbed3c,1032.0,1272.0
date,False,dare,to give,verb,given,"core,verb",,,feminine,plural,participle,past,False,False,False,,,,,past participle (feminine plural),Le ho date a Maria.,I gave them to Maria.,5e7a7f1c18d36d94d35aac0b85ef039a3e60ce9f43343f38b657a7e9f423f5f0,0ddb29510405d4e53d9dfff95bdedc7c721f7a03b13119673c7b04ccf3fbed3c,1032.0,1272.0
do,False,dare,to give,verb,I give,"core,verb",,1s,,singular,indicative,present,False,False,False,,,,,,Io do una mano.,I give a hand.,0dd2db437c23b13088169e00eb5bdcd031801289a0d42154ff663e53131310ac,5b34068e7aee0a4600319c902895b496b75d2a413e27c80c4ffdefdd5574ea3b,1080.0,960.0
dai,False,dare,to give,verb,you give,"core,verb",,2s,,singular,indicative,present,False,False,False,,,,,,Tu dai ottimi consigli.,You give great advice.,610681d5f0f26c19795939cca5825064ed8429155e7740ac7855e5b3978bc2e3,f0ee151faf1b69afdd2190dab0a1fb10fcd7d8745eb16626089e2c3888a32b79,1104.0,1152.0
dà,False,dare,to give,verb,he gives/she gives/you (formal) give,"core,verb",,3s,,singular,indicative,present,False,False,False,,,,,also used as formal 'Lei',Lei dà sempre buoni consigli.,She always gives good advice.,1334322b6fa87e467ade9f978f94f119863de85f2d6286d1a26af18191fb86e0,2dd641cf5b00cdf0d564a4ba0805cc62b8954e9d1a21526c2be9a599383b30da,4440.0,960.0
diamo,False,dare,to give,verb,we give,"core,verb",,1p,,plural,indicative,present,False,False,False,,,,,,Noi diamo una festa.,We are throwing a party.,b3da250413fadbdbfd478efa810c192d2943cdbf0420aee6cce21d593249f029,514c6ccb1d400becaa49f8b87d804e729783689091cbe0215485a49c26f39266,1104.0,1272.0
date,False,dare,to give,verb,you (plural) give,"core,verb",,2p,,plural,indicative,present,False,False,False,,,,,,Voi date troppa importanza ai dettagli.,You place too much importance on details.,5e7a7f1c18d36d94d35aac0b85ef039a3e60ce9f43343f38b657a7e9f423f5f0,cb5b53d663c83cd82cd3ecbf48cf21484a77bbbf1a0a71b684a82d0f2c7e43f6,2232.0,1272.0
danno,False,dare,to give,verb,they give,"core,verb",,3p,,plural,indicative,present,False,False,False,,,,,,Loro danno il benvenuto a tutti.,They welcome everyone.,1f0dba2a4785055fad9ac4af801cf5b40c6b38eb92d536449a69448fa773f94d,3d2920138a369ed1b45ff5f769c8b54ac99ff467f9b49717bb00de1dec01a202,1128.0,1296.0
